Bicluster,Genes,Condiciones,NumGenes,NumCondiciones
1,PLA2G2D;E2F2;RUNX3;RUNX3-AS1;CLSPN;CDC20;KIF2C;FOXE3;RAB3B;FOXD3-AS1;DEPDC1;COL11A1;FAM72B;FAM72D;AIM2;LOC105371664;FAM72A;IRF6;DUSP5P1;EXO1;RRM2;LINC01943;NCAPH;RFX8;BUB1;SOCAR;CKAP2L;EN1;DLX1;ICOS;LINC01857;HJURP;PDCD1;SGO1;SGO1-AS1;LOC105377123;TRAT1;ZBED2;CD80;SLC12A8;BFSP2;ZIC4;ZIC1;VEPH1;LRRC15;NCAPG;JCHAIN;FGF5;MTTP;CLGN;LOC105377508;ISL1;LINC02998;CCNB1;TMEM171;THBS4-AS1;LMNB1;PITX1;CDC25C;SPINK1;SLC6A7;HMMR;H2BC9;H2AC13;H2AC16;UBD;KIFC1;RUNX2-AS1;TTK;TCF21;MTFR2;SMOC2;IGF2BP3;GS1-24F4.2;ADAMDEC1;CDCA2;IDO1;LOC105375894;KCNB2;ATP6V0D2;CDKN2B-AS1;AQP7;IGFBPL1;LOC105376041;FAM95C;FAM201A;112268037;SAPCD2;GATA3;MCM10;MKX;LOC105378305;ZWINT;KIF11;CEP55;LOC105378523;C10orf88B;MKI67;LOC105369315;GRIA4;BARX2;ST14;107984129;LOC107984475;SDS;TRAC;LOC100506071;CDKN3;TMEM30B;IGHG3;LOC100288637;ARHGAP11A;SLC27A2;CCNB2;PCLAF;LINC01583;LOC105370924;LOC105370953;MESP2;BLM;PLK1;LINC02195;IL21R;SHCBP1;IRX3;PIMREG;AURKB;MGC12916;NOS2P3;CCL18;101060400;PRAC2;IGF2BP1;BIRC5;DCC;ALPK2;CD70;IFI30;FAM83E;SIGLEC12;SIRPG;TPX2;UBE2C;SLC12A5-AS1;AURKA;CLDN14;LOC107985492;RIPPLY3;IGLV3-1;GTSE1;KLHDC7B;KIF4A;ERCC6L;CSAG1,Tumor3;Tumor5;Tumor7;Tumor11;Tumor12,154,5
2,ICMT-DT;E2F2;CLSPN;CDC20;KIF2C;FOXD3-AS1;FAM72B;IQGAP3;INAVA;FAM72A;LOC102723834;DUSP5P1;EXO1;SOX11;RRM2;DPYSL5;ATP6V1B1-AS1;NCAPH;BUB1;NT5DC4;CKAP2L;IL36G;EN1;SPC25;HOXD13;HJURP;SGO1;SGO1-AS1;KIF15;ZIC4;CENPE;NDST3;LOC105377508;DEPDC1B;CCNB1;LMNB1;CDC25C;KIF4B;PTTG1;H3C3;H2BC9;H3C8;H2AC13;H2AC16;KIFC1;TTK;LOC102723724;ULBP2;ULBP1;ANLN;DLX6-AS1;DLX6;CDCA2;ESCO2;LOC105375894;ZFHX4-AS1;MELK;ANKRD18A;LHX2;SAPCD2;MCM10;ZWINT;CDK1;KIF11;CEP55;C10orf88B;MKI67;DENND2B-AS1;E2F8;KIF18A;FAM111B;CDCA5;107987172;LOC107984475;KRT71;HOXC13;PCDH9;CDKN3;FAM30C;MKRN3;ARHGAP11A;BUB1B;LOC107984763;CCNB2;PCLAF;KIF23;ISL2;BLM;PRC1;PRC1-AS1;CCNF;SRL;SHCBP1;IRX3;LOC105371275;IRX5;CHST6;PIMREG;AURKB;MGC12916;LRRC37A8P;RDM1;TOP2A;PRAC2;MIR3185;HOXB13;PRR11;BIRC5;MIR924HG;LIPG;SKA1;UHRF1;ASF1B;CYP4F2;FAM83E;TPX2;MYBL2;UBE2C;SALL4;AURKA;LOC107985492;RIPK4;CDC45;GTSE1;KIF4A;ERCC6L;CSAG1,Tumor7;Tumor8;Tumor9;Tumor12;Tumor13;Tumor18,127,6
3,ICMT-DT;DRAXIN;E2F2;CLSPN;CDCA8;CDC20;DEPDC1;FAM72B;FAM72C;FAM72D;IQGAP3;NUF2;ASPM;KIF14;FAM72A;LAMB3;CENPF;LINC02257;SOX11;CENPA;ATP6V1B1-AS1;LINC01943;NCAPH;BUB1;NT5DC4;CKAP2L;IL36G;NYAP2;HJURP;LOC105377043;LMOD3;RDUR;POLQ;LOC112268460;NCAPG;LINC02475;SCFD2-AS1;NKX6-1;MTTP;CENPE;MAD2L1;LOC105377508;NEIL3;DEPDC1B;CCNB1;LUCAT1;LMNB1;PITX1;CDC25C;KIF4B;HMMR;TENM2;H3C3;KIFC1;LOC105375027;LINC01016;ULBP1;RAET1K;SMOC2;IGF2BP3;TFR2;GS1-24F4.2;CDCA2;ESCO2;PBK;SFRP1;DNAJC5B;LOC105375894;KCNB2;IFNE;MELK;IGFBPL1;LOC105376042;FAM95C;MCM10;ZWINT;KIF11;LINC02944;C10orf88B;MKI67;KIF18A;LOC105369315;FOLR1;BARX2;TMEM52B;ESPL1;HOXC11;SDS;LINC02370;GALNT9;DIAPH3;COCH;CDKN3;DLGAP5;ARHGAP11A;KNL1;KIF23;MESP2;BLM;CCNF;LOC107984851;HS3ST2;HASPIN;SPAG5;ASIC2;LRRC37A8P;RDM1;TOP2A;KIF18B;HOXB13;DLX4;TBX4;SKA1;LOC105372115;SPC24;ELAVL3;CCDC194;PBX4;WDR62;APOC4-APOC2;APOC2;FAM83E;TPX2;LOC105372613;UBE2C;MMP9;SLC12A5-AS1;AURKA;RIBC2;GTSE1;107985627;VEGFD;GAGE2A;KIF4A;ERCC6L;PLP1,Tumor6;Tumor10;Tumor11;Tumor13;Tumor18,136,5
4,ARHGEF16;E2F2;CLSPN;CDCA8;CDC20;DEPDC1;COL11A1;NBPF6;FAM72B;FAM72C;IQGAP3;LINC00626;FAM72A;NCAPH;NT5DC4;CKAP2L;IL37;SCN7A;LINC01857;NYAP2;SGO1-AS1;TRAT1;CD80;POLQ;ZIC4;MINDY4B;GPR87;NCAPG;NMU;NKX6-1;CENPE;NDST3;MAD2L1;LOC105377404;ISL1;DEPDC1B;CCNB1;FOXD1;THBS4-AS1;HAPLN1;KIF4B;H3C8;KIFC1;RUNX2;LOC107986606;TTK;TBX18;SMOC2;ANLN;LUARIS;AKR1B10;FAM167A;ADAMDEC1;CDCA2;LOC105375894;LOC105375690;MIR31HG;IFNE;CDKN2A-AS1;AQP7;LOC105376041;FAM201A;LHX2;GATA3;MKX;ZWINT;CEP55;LOC105378523;LINC00601;LMO1;E2F8;BBOX1;BBOX1-AS1;LOC105369315;107987172;LOC105369685;LOC107984475;KRT71;KRT8;MIR9898;LGR5;E2F7;SKA3;RXFP2;LINC01050;DIAPH3;CMTM5;LINC00221;FAM30C;LOC100288637;ARHGAP11A;BUB1B;CCNB2;KIF23;LINC01583;LOC105370924;LOC105370953;BLM;PRC1;PRC1-AS1;LOC105371050;PRSS21;ERN2;HASPIN;HS3ST3A1;NOS2P3;KIF18B;DLX4;SYT4;SKA1;LOC105372115;ALPK2;UHRF1;CYP4F2;PBX4;WDR62;LOC101929707;LOC105372613;UBE2C;EYA2-AS1;GATA5;LOC107985492;FRGCA;GTSE1;107985627;TLR8-AS1;LINC02154;LOC105373150;KIF4A;ERCC6L;CSAG3,Tumor2;Tumor4;Tumor5;Tumor9;Tumor13,131,5
5,E2F2;CLSPN;LOC101928202;NUF2;NEK2;CENPF;LINC02257;LOC102723834;EXO1;DPYSL5;BUB1;IL37;IL36G;SPC25;SGO1-AS1;LOC105377043;KIF15;LOC105377123;ZIC1;TACC3;LOC112268460;ASIC5;NEIL3;CDC20B;MCIDAS;CCNO;PITX1;CDC25C;KIF4B;H2AC16;KIFC1;LOC105375027;TTK;ULBP2;GS1-24F4.2;PBK;KCNB2;LINC02849;ATP6V0D2;LOC107986990;AQP7;LOC105376041;LOC105376042;MCM10;MKI67;DENND2B-AS1;E2F8;PRRG4;FAM111B;MTNR1B;BARX2;GLB1L3;FOXM1;107987172;107984129;TROAP;KRT71;ESPL1;GALNT9;SKA3;SIX1;TMEM30B;MAP3K9-DT;FAM30C;MESP2;HS3ST2;ERN2;LINC02195;SHCBP1;IRX5;SPAG5;LRRC37A8P;TOP2A;HOXB13;CACNG5;LINC01152;MIR924HG;SYT4;SKA1;HMSD;ZNF560;SPC24;ASF1B;PBX4;TPX2;LOC105372613;FRGCA;CDC45;WNT7B;107985627;FRMPD4;KIF4A;ERCC6L,Tumor1;Tumor2;Tumor4;Tumor7;Tumor13;Tumor18,93,6
6,HTR1D;E2F2;CLSPN;DEPDC1;LPAR3;FAM72B;FAM72D;IQGAP3;ASPM;KIF14;FAM72A;NEK2;CENPF;ACTA1;NCAPH;BUB1;NT5DC4;CKAP2L;SPC25;HJURP;POLQ;TACC3;LOC112268460;MTTP;NEIL3;HAPLN1;PITX1;KIF4B;PTTG1;HMMR-AS1;TENM2;H3C3;KIFC1;TCF21;ANLN;GS1-24F4.2;SH2D4A;CDCA2;ESCO2;PBK;ATP6V0D2;MELK;LHX2;MCM10;CDK1;KRT71;HOXC13;DIAPH3;COCH;MAP3K9-DT;LOC100288637;ARHGAP11A;KNL1;NUSAP1;PCLAF;PRC1;CCNF;SRL;PLK1;SHCBP1;IRX3;LOC105371275;IRX5;PIMREG;SPAG5;LRRC37A8P;TOP2A;KIF18B;DLX4;PRR11;CACNG5;BIRC5;SKA1;LOC105372115;ASF1B;WDR62;TPX2;AURKA;LOC107985492;WNT7B;FRMPD4;TLR8-AS1;LOC105373150;KIF4A;ERCC6L,Tumor9;Tumor11;Tumor12;Tumor15;Tumor16;Tumor18,85,6
7,DRAXIN;FAM72B;FAM72C;FAM72D;NUF2;ASPM;KIF14;SLC26A9;LOC102723834;RRM2;ATP6V1B1-AS1;NCAPH;EN1;STEAP3;SPC25;POLQ;ZIC1;LOC112268460;LINC02475;MTTP;ASIC5;NEIL3;HAPLN1;PITX1;HMMR;LOC105374986;LOC107986606;ULBP2;ANLN;LUARIS;DLX6-AS1;DLX5;TFR2;PBK;SFRP1;ATP6V0D2;LOC105375690;MIR31HG;IFNE;MELK;CDK1;CEP55;LINC00601;BBOX1-AS1;FAM111B;GLB1L3;107984129;KRT71;CDKN3;KNL1;NUSAP1;PCLAF;ACAN;MESP2;SHCBP1;IRX3;IRX5;AURKB;PRR11;BIRC5;LIPG;LOC105372115;HMSD;UHRF1;ZNF560;KLK6;LOC105372613;MMP9;SLC12A5-AS1;WNT7B;FRMPD4;CSAG2;CSAG1,Tumor1;Tumor7;Tumor8;Tumor9;Tumor13;Tumor18,73,6
8,ICMT-DT;NECTIN4;FAM72A;NEK2;LINC02257;DUSP5P1;EXO1;RRM2;NT5DC4;SPC25;LOC105377123;COL8A1;ZIC1;GPR87;GMNC;TMED11P;TACC3;LOC112268460;NMU;SOWAHB;H3C3;H3C8;LOC105375027;RUNX2-AS1;LUARIS;DLX6-AS1;LOC105375610;ADAMDEC1;CDCA2;PBK;LOC105375690;LOC107986990;KIF11;LINC00601;BBOX1-AS1;GLYATL2;CDCA5;OLR1;TMEM52B;LOC107984475;KRT71;E2F7;LINC01050;PCDH8;DIAPH3;CDKN3;DLGAP5;MAP3K9-DT;MKRN3;ARHGAP11A;CCNB2;LINC01583;LOC105370924;MESP2;SHCBP1;IRX5;MGC12916;LOC105371737;PRR11;BIRC5;LIPG;CYP4F2;WDR62;LOC105372613;AURKA;RIPPLY3;LOC107985513;LINC02575;CDC45;KIF4A;CSAG1,Tumor1;Tumor4;Tumor12;Tumor14;Tumor15;Tumor18,71,6
9,DRAXIN;CDC20;KIF2C;DEPDC1;LPAR3;FAM72B;FAM72C;FAM72D;NUF2;FAM72A;EXO1;CENPA;NT5DC4;SPC25;HJURP;SGO1;SGO1-AS1;TACC3;LOC112268460;NCAPG;DEPDC1B;CCNB1;KIF4B;PTTG1;H2BC9;KIFC1;ULBP1;ANLN;CDCA2;PBK;CDKN2A;CDKN2B-AS1;FAM95C;ANKRD18A;LHX2;ZWINT;KIF11;E2F7;DIAPH3;CDKN3;ARHGAP11A;BUB1B;NUSAP1;CCNB2;PCLAF;CCNF;HASPIN;LRRC37A8P;RDM1;TOP2A;HOXB13;BIRC5;MIR924HG;SKA1;UHRF1;ASF1B;WDR62;MYBL2;CDC45;GTSE1,Tumor2;Tumor3;Tumor10;Tumor13;Tumor14;Tumor16;Tumor18,60,7
10,FAM72B;FAM72C;FAM72D;NUF2;ASPM;KIF14;FAM72A;CENPF;CKAP2L;KIF15;POLQ;NCAPG;CENPE;MAD2L1;NEIL3;CDC25C;CRISP2;TTK;ANLN;MELK;SAPCD2;KIF11;CEP55;BBOX1-AS1;KIF18A;ESPL1;E2F7;LINC02370;SKA3;DLGAP5;LOC100288637;ARHGAP11A;BUB1B;KNL1;PRC1;PRC1-AS1;SHCBP1;TOP2A;KIF18B;ASF1B;UBE2C;SERPIND1;ERCC6L,Tumor3;Tumor4;Tumor5;Tumor9;Tumor10;Tumor13;Tumor15;Tumor16;Tumor18,43,9
