Bicluster,Genes,Condiciones,NumGenes,NumCondiciones
2,ARHGEF16;KCNAB2;TMEM51;FAM110D;CEP85;ZNF683;RPS6KA1;SYTL1;LAPTM5;LCK;ZC3H12A;CDCA8;TAL1;CDKN2C;CYP2J2;DEPDC1;LRRIQ3;IFI44L;ADGRL2;GBP5;CDC7;VCAM1;ADORA3;CD2;H3-7;PRR9;DCST2;CFAP45;CD48;ADAMTS4;HSPA6;FCGR3B;RGS16;LAMC2;LINC00862;ATP2B4;LOC107985259;HLX;CNIH3-AS1;LEFTY2;CCSAP;LOC107985847;DTNB-AS1;SIX2;STON1;HK2;101928152;LINC01106;SLC20A1;PSD4;EN1;HNMT;SCN7A;ITGA6-AS1;PDK1;LOC401021;HOXD3;FTCDNL1;ICOS;MREG;HJURP;ARL4C;FANCD2OS;LRRC3B;XYLB;CCR1;CCRL2;CDC25A;PRKCD;GXYLT2;ECT2;ZMAT3;LRRC15;TACC3;BST1;SEL1L3;MCUB;TIFA;TNIP3;LOC100419170;SAP30;CEP72;UBE2QL1;GZMA;DEPDC1B;CENPK;CCNB1;PDE8B;THBS4;EFNA5;LMNB1;SPINK1;ADAM19;DOCK2;FLT4;NRN1;TFAP2A-AS1;107986517;ZSCAN31;TNXA;PSMB9;COL11A2;KIFC1;FANCE;ETV7;ZFAND3-DT;TREML1;ENPP5;CRISP2;TTK;LOC101928842;REV3L;CCN6;TUBE1;PKIB;TCF21;MTFR2;HOXA11;AQP1;ANLN;INHBA-AS1;PCLO;DBF4;DLX6;PILRA;EPO;102724660;TMEM176B;TMEM176A;LOC105375610;NCAPG2;PBK;LINC01605;XKR9;SLURP2;FAM83H;TONSL;KIFC2;MIR31HG;CDKN2A;CDKN2B;FAM95C;ANKRD18A;MIR4477A;LINC00537;MIR4477B;FAM27E3;PSAT1;CKS2;LOC105376161;SLC31A2;PHF19;PKN3;ITIH5;MASTL;LINC02680;MKX;RASGEF1A;VSTM4;LIPM;ENTPD1;AFAP1L2;C10orf88B;C10orf143;ADAM8;PGGHG;CTSD;MIR675;105376579;HTATIP2;SVIP;MUC15;CCDC34;ALX4;CD82;LOC105369315;LINC02724;UNC93B1;FOLR1;RELT;CEP126;BIRC3;DSCAML1;CD3D;H2AX;LINC00942;CACNA2D4;FOXM1;RAD51AP1;CDCA3;LOC408186;MGST1;BMAL2-AS1;ABCD2;DDN;GALNT6;SCN8A;KRT18;LOC100240735;PRIM1;STAC3;LYZ;LGR5;OAS2;HCAR3;LINC02340;RXFP2;RFC3;LINC01050;LOC101929657;TEX30;SLC7A7;LRR1;SPTB;ACYP1;LINC02328;BDKRB1;BCL11B;EXOC3L4;IGHG3;LINC00221;FAM30C;ATP10A;SPINT1;NUSAP1;C15orf48;AQP9;CA12;LCTL;BCL2A1;ANPEP;SYNGR3;LOC105371050;TEDC2-AS1;PRSS21;OTOAP1;HS3ST2;LCMT1-AS2;ORC6;IRX5;HSD11B2;ATP6V0D1;ADAD2;FOXL1;PIMREG;YBX2;CD68;HS3ST3B1;TOP3A;SHMT1;SPAG5;EVI2A;RAB11FIP4;LOC147004;TMEM132E;RDM1;HOXB6;HOXB9;IGF2BP1;CD300A;JPT1;ITGB4;RNF157;NDC80;LIPG;ALPK2;PMAIP1;GIPC3;SPC24;ELAVL3;LOC105372296;USHBP1;LOC105372326;CCNE1;PLAUR;KCNN4;107984140;HRC;SHANK1;KLK6;SIGLEC10;SIGLEC8;LILRA5;TTYH1;NLRP2;TMEM238;NLRP9;SIRPG;MCM8;RBL1;CD40;RIPOR3;CBLN4;DPH3P1;MYT1;MIR155HG;DOP1B;MX2;RIPK4;ITGB2;FAM247D;SERPIND1;AIFM3;FAM247A;RIMBP3C;RFPL1;NFAM1;MIOX;KLHDC7B;ANOS1;DIPK2B;PIM2;PFKFB1;EDA2R;FTX;GPR174;PLP1;IRAK1,Control4;Control6;Control9;Control11;Control12,318,5
3,DRAXIN;PLA2G2D;C1QB;RAB42;LAPTM5;NHSL3;KIF2C;FOXD2-AS1;DIRAS3;GBP1;ADORA3;CD2;TENT5C;LIX1L-AS1;H2BC18;PLEKHO1;CKS1B;IQGAP3;HDGF;LOC101928202;AIM2;NECTIN4;OLFML2B;NUF2;NAV1;TRAF3IP3;LOC107985259;NEK2;LINC02608;LOC102723834;CHRM3;GAREM2;CLHC1;SMANTIS;101928152;NCAPH;IL1R2;BUB1;STEAP3;TFCP2L1;HNMT;KYNU;CFAP210;LOC401021;HOXD4;HOXD3;SGO2;BARD1;IGFBP5;TUBA4A;SP140;ARMC9;SNED1;BOK;CEP15;LOC105377123;GXYLT2;LINC00960;CIP2A;POLQ;SPSB4;CAMK2N2;AFAP1-AS1;CD38;ANTXR2;ABCG2;MCUB;PLK4;SLC7A11;ARHGAP10;MND1;RXFP1;SAP30;OTULINL;C5orf34;CD180;DHFR;RGMB;ISOC1;KIF20A;PCDHAC1;ITK;LOC107986466;HMMR;TFAP2A;E2F3;ZKSCAN8P1;PSMB9;ETV7;PTCHD4;C6orf141;CRISP2;CGAS;TCF21;SLC2A12;SAMD5;ZDHHC14;105378077;EZR;IGF2BP3;HOXA10;HOXA11;INMT-MINDY4;MINDY4;SLC25A40;GPR22;SLC26A4-AS1;TFEC;102724660;AKR1B10;EZH2;TMEM176B;ESCO2;PBK;LINC01605;GINS4;GGH;PI15;ZFHX4;RAD54B;LOC105375798;CDKN2B;ENHO;FANCG;CA9;MELK;FAM27E3;GCNT1;FBP1;GALNT12;C9orf43;112268056;FAM78A;ITIH5;MCM10;ST8SIA6;VSTM4;CDK1;RTKN2;TACR2;PPIF;CEP55;PKD2L1;RAB11FIP2;MIR210HG;H19;IGF2;INS-IGF2;CD6;SAXO4;ASRGL1;LINC02724;CNIH2;UNC93B1;P2RY6;DGAT2;BIRC3;102724852;107987172;BMAL2;TMEM106C;C1QL4;RACGAP1;KRT71;CBX5;GPR84;CAPS2;E2F7;TMPO-AS1;GAS2L3;PARPBP;PMCH;WSCD2;LOC105369965;KNTC1;BRI3BP;THRIL;LINC00944;LOC101929657;CKAP2;PRECSIT;CMTM5;COCH;PAX9;LRR1;WDHD1;TMEM30B;LOC105370569;ACYP1;BATF;BEGAIN;CHRFAM7A;RYR3;BUB1B-PAK6;KNSTRN;RAD51;PIF1;CELF6;CPLX3;ISG20;MCTP2;LMF1-AS1;SYNGR3;CCNF;RMI2;PLK1;IL21R;TBX6;ITGAX;SHCBP1;LOC107984886;CRNDE;MT2A;PMFBP1;CENPN;SLC7A5;PIMREG;SHMT1;SPAG5;LINC00671;HOXB6;HOXB9;PPM1E;TBX4;BRIP1;CD300LF;QRICH2;DCXR;TYMS;OSBPL1A;MOCOS;MIR924HG;PMAIP1;LOC105372212;ADAMTSL5;CHAF1A;MAST1;ASF1B;LOC105372296;COLGALT1;JAK3;IGFLR1;APLP1;WDR62;DPF1;MAP4K1;KCNN4;CEACAM16-AS1;APOC1;APOC2;EML2-AS1;HRC;KLK5;SIGLEC7;LOC101928517;SIGLEC8;SIGLEC12;PEG3;GINS1;FAM83D;UBE2C;MMP9;SLC12A5-AS1;CBLN4;DPH3P1;OPRL1;MYT1;LOC105379504;MX2;LOC105372863;PRAME;RFPL1;APOL6;APOBEC3G;NFAM1;TYMP;GK;KIF4A;COL4A5;SASH3,Control1;Control3;Control5;Control10;Control13,280,5
4,KCNAB2;FHAD1;FHAD1-AS1;PLA2G2D;RUNX3;CD52;ZNF683;RPS6KA1;PTAFR;RAB42;LCK;CLSPN;HIVEP3;TAL1;DHCR24;HOOK1;IFI44L;IFI44;MCOLN2;LOC105378825;GBP1;DENND2D;ADORA3;CD2;FAM72B;H2BC18;CTSS;S100A3;BCAN-AS1;CFAP45;ADAMTS4;NPL;LAMC2;PACERR;TNNI1;NAV1;SLC26A9-AS1;G0S2;HSD11B1;HLX;CNIH3-AS1;RSAD2;DTNB;DTNB-AS1;CENPA;RMDN2;LOC102724497;CD8A;CD8B;ITPRIPL1;IL1R2;BUB1;SOCAR;IL1B;PSD4;PGM5P4-AS1;LOC105373581;HNMT;TNFAIP6;LY75;STK17B;FTCDNL1;SGO2;CTLA4;ICOS;IGFBP5;DOCK10;105373991;BOK;PDCD1;FANCD2OS;SGO1-AS1;EOMES;MOBP;CCR1;CCR5;CCRL2;CELSR3;GXYLT2;CD96;POLQ;105374129;PTX3;TRIM59;DGKG;GMNC;107986257;BST1;CXCL10;MCUB;ZGRF1;ARHGAP10;MND1;ASB5;TRIP13;UBE2QL1;IL7R;CCNO;CENPK;CD180;CCNB1;DHFR;EFNA5;LMNB1;IRF1;ITK;HMMR-AS1;TENM2;DOCK2;STC2;F12;FOXCUT;LOC105374947;H3C2;ZSCAN31;UBD;MICB-DT;TAP1;COL11A2;LOC105375027;LINC01016;ETV7;TREML1;MMS22L;SESN1;COL10A1;105378077;LINC03016;LOC105375172;CDCA7L;OSBPL3;INMT-MINDY4;MINDY4;HGF;DBF4;SPDYE2B;KCP;TMEM176B;TMEM176A;LGI3;LOC105379362;XKR9;CA3;HAS2-AS1;SLURP2;LOC105375798;LOC107987042;ENHO;ANKRD18A;LINC00537;GALNT12;TRAF1;GARNL3;UAP1L1;ITIH5;MASTL;ZWINT;LINC00595;KIF20B;SEC31B;NEURL1;LHPP;MIR675;RRM1;LMO1;105376579;PTPRJ;FAM111B;CD5;SAXO4;ASRGL1;LINC02754;TESMIN;P2RY2;CEP126;CD3D;H2AX;VSIG10L2;GAPDH-DT;CDCA3;107987172;GPR19;RERG;DDX11;ABCD2;WNT10B;DDN;KRT18;HOXC6;CBX5;MIR3198-2;TIMELESS;LYZ;GOLGA2P5;GAS2L3;OAS3;KNTC1;CRYL1;SKA3;TFDP1;TRAC;SLC7A7;ADCY4;LRR1;TMEM30B;LINC02316;LGMN;ITPK1;BEGAIN;TMEM179;ATP8B4;AQP9;CA12;LCTL;KIF23;TICRR;PRC1;TEDC2-AS1;APOBR;ORC6;SALL1;RFLNB;PIMREG;HS3ST3B1;SHMT1;ASIC2;SLFN11;RDM1;CCR7;LINC00671;LOC105371793;HOXB3;PPM1E;LRRC45;ARHGAP28;SIGLEC15;MATK;UHRF1;ICAM1;MAST1;BRME1;HAUS8;ZNF208;ZNF726;FAAP24;APLP1;MAP4K1;PLAUR;KCNN4;GRIN2D;SIGLEC7;SIGLEC10;SIGLEC12;FPR3;LILRB4;FAM110A;MGME1;LOC101929707;TPX2;PABPC1L;CD40;LOC105372793;CLDN14;UBASH3A;ITGB2;DGCR11;USP41P;OSM;APOBEC3B;MEI1;IL2RG;GLRA4;COL4A5;IRAK1,Control3;Control4;Control5;Control15;Control16,274,5
5,PLCH2;MAD2L2;FHAD1;C1QC;C1QB;E2F2;RUNX3-AS1;CRYBG2;ZNF683;RAB42;CLSPN;ORC1;PLPP3;HOOK1;USP1;FOXD3-AS1;IFI44L;IFI44;LPAR3;GBP1P1;NBPF6;TENT5C;H2BC20P;PLEKHO1;ZNF687-AS1;DCST1;IQGAP3;SLAMF9;ATP1A2;UAP1;DARS2;NPL;PTGS2;LOC105371664;ZNF281;MIR4260;HSD11B1;NEK2;LINC02608;107985272;105373264;RSAD2;RRM2;KCNF1;STON1-GTF2A1L;GTF2A1L;BCL2L11;NT5DC4;EN1;DBI;MCM6;CXCR4;SCN7A;HOXD13;SGO2;LINC01857;BARD1;TUBA4A;DOCK10;BOK;EMC3-AS1;NUP210;CDHR4;TRAIP;POC1A;ARHGEF3;RDUR;MYH15;ILDR1;CD86;PLXNA1;105374129;MINDY4B;GPR87;VEPH1;ECT2;DGKG;P3H2;LOC107986249;LCORL;ABCG2;BANK1;CLGN;MND1;ISL1;LRRC70;TMEM171;ISOC1;CDC25C;ITK;GPRIN1;FOXCUT;TFAP2A;ADTRP;GMNN;H3C3;H3C8;H2AC11;NKAPL;ZSCAN31;KIFC1;LINC01016;HMGA1;ETV7;ZFAND3-DT;PTCHD4;HMGCLL1;CRYBG1;EPM2A;ULBP1;SYTL3;LINC01615;C1GALT1;LOC105375172;NFE2L3;DBF4;CFAP69;PILRA;PCOLCE-AS1;PCOLCE;CASP2;LOC105375610;CDCA2;KCNB2;LOC105375690;SLA;FOXH1;LOC107986990;CDKN2A-AS1;FAM201A;RMI1;ZNF367;SMC2;ZDHHC12;OBP2A;CIMIP2A;LOC105376369;MCM10;APBB1IP;VSTM4;LINC00595;KIF20B;LINC02944;MKI67;ANO9;MIR210HG;PHLDA2;PARVA;HTATIP2;MUC15;LRRC55;INCENP;FOSL1;RIN1;PGR;MMP1;GRIA4;DSCAML1;LOC105369551;BARX2;LINC00942;CCND2;LOC105369685;TROAP;C1QL4;CBX5;GOLGA2P5;GAS2L3;LINC00944;CRYL1;SKA3;LINC02340;LINC01050;CKAP2;DIAPH3;LINC01232;TEX30;CMTM5;DLGAP5;RHOJ;PLEKHG3;RGS6;BATF;ISM2;CDCA4;102724055;ARHGAP11B;LOC100288637;LOC107984763;BUB1B-PAK6;RAD51;LIPC;CA12;CIAO2A;PIF1;PPIAP46;LOC102723714;ISL2;ACAN;MESP2;BLM;FURIN;CCNF;PKMYT1;ARL6IP1;OTOA;SBK1;APOBR;CENPN-AS1;AURKB;SHMT1;LOC105371737;IGFBP4;LINC00671;BRCA1;RNU2-1;HIGD1B;FMNL1;MYL4;HOXB13;LOC729683;JPT1;TK1;BIRC5;PDE6G;LRRC45;NDC80;SIGLEC15;DCC;ALPK2;PMAIP1;ABCA7;UHRF1;DNMT1;RNASEH2A;CCDC194;APLP1;CYP2S1;CEACAM16-AS1;ODAD1;FAM83E;LILRA6;UBE2S;MGME1;DNMT3B;DSN1;CD40;PELATON;ZBP1;CTSZ;HELZ2;107987293;SAMSN1;MIR155HG;LOC105372793;LOC107985492;LOC107985513;RIPK4;ITGB2;CDC45;LOC107985532;APOBEC3B-AS1;APOBEC3H;EP300-AS1;MEI1;GDPD2;FTX;CENPI;CHRDL1;FIRRE;MIR503HG;FATE1;CSAG1,Control1;Control6;Control7;Control9;Control17,273,5
7,DDX11L17;TNFRSF9;CASZ1;TMEM51;E2F2;RUNX3-AS1;CRYBG2;CLSPN;SNORD160;RAD54L;RAB3B;ZYG11A;DHCR24;DEPDC1;AK5;IFI44;MCOLN2;LOC105378825;GFI1;COL11A1;DENND2D;PTPN22;H3-7;ITGA10;ECM1;DCST2;SLAMF8;UAP1;PRDX6;NCF2;TNNI1;FAM72A;IRF6;NEK2;CENPF;DUSP5P1;SOX11;RRM2;GAREM2;STON1-GTF2A1L;GTF2A1L;PLEK;LOC102724497;CD8A;BUB1;EN1;MCM6;SCN7A;CFAP210;DLX1;SGO2;SNHG31;IGFBP5;CXCR2P1;ECEL1;SCARNA5;LINC01238;RAD18;EMC3-AS1;SGO1-AS1;ITGA9;CCRL2;CDHR4;TRAIP;ARHGEF3;ADAMTS9-AS1;COL8A1;LOC107986126;TRIM59;SOX2;KLHL6;DGKG;P3H2-AS1;LRRC15;LOC112268460;RASGEF1B;UNC5C;TNIP3;MND1;NEIL3;LRRC14B;CDC25C;SPINK1;C5orf46;ITK;ADAM19;IL12B;PTTG1;FOXCUT;NRN1;TFAP2A-AS1;GMNN;H3C2;HLA-G;MICB;LINC01016;ETV7;ENPP5;HMGCLL1;LINC00472;PKIB;101928096;ULBP2;LINC01615;LOC107986675;NUDT1;C1GALT1;LOC105375172;DNAH11;NFE2L3;ADCY1;DBF4;LOC107986750;TACC1;DNAJC5B;STMN2;CTHRC1;HAS2-AS1;GLIS3;LOC107986990;CDKN2B-AS1;PHF24;MELK;IGFBPL1;SEMA4D;ZNF367;GALNT12;B3GALT9;TRAF1;LOC105376369;CXCL12;ZNF503;KCNMA1;LINC00601;MKI67;PGGHG;ANO9;RRM1;PARVA;E2F8;ALX4;SLC43A3;GLYATL2;CDCA5;SLC29A2;TBC1D10C;PGR;MMP1;CRTAM;NCAPD2;CDCA3;RERG;BMAL2;BMAL2-AS1;SMCO2;TROAP;RACGAP1;HOXC13;CDK2;SOCS2-AS1;GAS2L3;IGF1;CIT;LOC105370047;BRI3BP;LINC02370;GALNT9-AS1;SACS-AS1;LINC02340;RXFP2;STARD13;STARD13-AS;LOC107984551;LINC01050;DIAPH3;GPR183;NDRG2;LOC105378179;RN7SL2;DLGAP5;KCNK13;LINC00221;RAD51;GCHFR;OIP5;PATL2;PPIAP46;ISL2;FANCI;MCTP2;ZP2;IL21R;IL21R-AS1;KIF22;MYL11;CRNDE;MARVELD3;PMFBP1;CENPN-AS1;GINS2;LOC107985017;CD68;SHMT1;LOC147004;TMEM132E;SLFN11;KRT31;RNU2-1;HROB;TK1;BIRC5;ALYREF;RAC3;TYMSOS;MIR924HG;SIGLEC15;LIPG;LMNB2;CD70;RNASEH2A;LOC105372296;HAUS8;ZNF726;CCNE1;APLP1;KCNK6;PAFAH1B3;PRR19;CKM;C19orf81;SIGLEC12;LILRA6;NLRP9;PEG3-AS1;TPX2;LOC105372613;KCNS1;ZBP1;CTSZ;FNDC11;107987293;C21orf58;LOC102723305;RAC2;APOBEC3H;EP300-AS1;ADM2;MIOX;107985627;VEGFD;SLC9A7;CXCR3;AGTR2;SNORA69,Control1;Control5;Control6;Control10;Control11,254,5
12,UTS2;CASZ1;RUNX3-AS1;CEP85;RAB42;CDKN2C;FOXD3-AS1;IFI44L;PSRC1;PTPN22;CD58;105371441;ATP1A2;CD84;OLFML2B;FMO3;SLC26A9-AS1;RAB7B;HLX;DUSP5P1;105373264;CENPA;LINC01914;SMANTIS;HK2;101928152;SLC20A1;IL1B;IL1RN;MARCO;TFCP2L1;LOC100129455;LOC401021;TUBA4A;PTPRN;CCR1;LOC105377123;PARP14;SPSB4;CLRN1-AS1;VEPH1;WDR49;ECT2;KLHL6;CAMK2N2;P3H2-AS1;CLDN1;TACC3;LOC107986249;107986257;TMEM156;CLGN;CBR4;HMGB2;NIM1K;EDIL3-DT;EFNA5;STC2;CDHR2;GPRIN1;HK3;SCGB3A1;FLT4;LOC105374898;UBD;TCF19;MICB-DT;TREM1;FOXP4-AS1;CRISP2;LINC00472;101928096;MYB;LOC102723724;LINC01615;RPA3;STEAP1B;OSBPL3;INMT-MINDY4;HGF;DLX5;LOC105375521;FAM167A;MSR1;LGI3;NEFL;IDO1;PXDNL;ZFHX4-AS1;CTHRC1;LOC105375690;TBC1D31;SLURP2;LOC107987042;PDCD1LG2;CCDC171;MIR31HG;CDKN2A;AQP7;ENHO;PHF24;PSAT1;LOC105376161;GALNT12;PTPN3;PHF19;TRAF1;112268056;FAM78A;SLC2A6;SAPCD2;ACBD7;TACR2;KCNMA1;ENTPD1;NEURL1;LINC00601;EBF3;ANO9;PHLDA2;DENND2B-AS1;LYVE1;GALNT18;BBOX1-AS1;PRRG4;CD6;FEN1;FOSL1;UNC93B1;PDE2A;P2RY2;P2RY6;CASP1;CARD17P;DRD2;107984489;LOC408186;107984129;HOXC8;TMPO-AS1;GAS2L3;SDS;RNFT2;LINC00944;UBE2L5;STARD13-AS;LOC107984551;RFC3;LINC01232;TNFSF13B;DUXAP10;NDRG2;PAX9;ISM2;STON2;TMEM179;FAM30C;MIR147B;ATP8B4;CIAO2A;BCL2A1;HAPLN3;BLM;RCCD1;TEDC2;ZP2;OTOA;ERN2;CORO1A;ITGAX;CRNDE;MARVELD3;CDT1;LOC107985017;COX10-DT;TRPV2;SLFN11;LINC00671;ETV4;KIF18B;DLX4;PRR11;CD300LF;SIGLEC15;GIPC3;ZNF560;IL12RB1;LOC105372326;CCNE1;KLK3;SIGLEC9;MYBL2;DPH3P1;CYYR1;DOP1B;LOC107985492;PRAME;APOBEC3A;APOBEC3H;ADM2;TYMP;LINC02968;FRMPD4;SUV39H1;FTX;CENPI;GLRA4;SASH3;MIR503HG;IRAK1;MT-TV,Control1;Control9;Control12;Control16;Control17,211,5
18,DDX11L17;TNFRSF9;C1QC;RUNX3-AS1;HIVEP3;ZYG11A;IFI44;ADORA3;TENT5C;AIM2;SLAMF8;CD48;ARHGAP30;HSPA6;PTPRC;NUAK2;SLC26A9-AS1;LOC102723834;RSAD2;DPYSL5;PLEK;ITPRIPL1;LINC01123;IL1B;MARCO;STEAP3;LOC105373581;TUBA3E;HNMT;CYTIP;LY75;LOC100129455;LOC401021;HOXD3;HECW2-AS1;CTLA4;DOCK10;PDCD1;EDEM1;SGO1;EOMES;CCR1;CDC25A;POC1A;NT5DC2;PRKCD;KBTBD8;CD96;POLQ;KBTBD12;GPR171;SOX2;KLHL6;CXCL9;ARHGAP10;OTULINL;CENPH;SOWAHA;PITX1;SLC6A7;HAVCR2;ITK;IL12B;TFAP2A;LOC102724765;H3C3;COL11A2;ZFAND3-DT;TREML1;TREM1;CALHM6;SAMD5;ZDHHC14;C1GALT1;NFE2L3;TFEC;DNAJC5B;ATP6V0D2;FAM83H;CD274;CDKN2A-AS1;CDKN2A;CDKN2B-AS1;ANKRD18A;LOC105376266;CIMIP2A;LOC105378305;FFAR4;MIR210HG;LMO1;ALX4;LOC105369315;FEN1;CDC42EP2;RELT;DRD2;WNT10B;HOXC6;CBX5;MIR3198-2;CRADD-AS1;GPR12;BRCA2;LINC01050;DLEU7;TRAC;SPTB;KCNK13;AQP9;FANCI;LOC105371050;RMI2;EVI2A;FMNL1-AS1;LINC01152;RNF157;LMNB2;107985297;TNFSF9;CD70;TNFSF14;ICAM1;SPC24;COLGALT1;IL12RB1;KCNK6;CEACAM16-AS1;ZNF114;SPIB;SIRPG;GINS1;EYA2-AS1;ZBP1;LOC101928212;ITGB2;CDC45;LOC105372863;USP41P;RIMBP3C;HMOX1;APOBEC3B-AS1;CENPM;LOC101927344;KLHDC7B;LINC02154;LOC107985681,Control2;Control5;Control6;Control7;Control8;Control13,146,6
29,EPHB2;NHSL3;PDE4B;DEPDC1;CCDC18;COL11A1;DENND2D;CD2;S100A9;TAGLN2;KIF14;SLC26A9-AS1;LEFTY2;SDC1;SRD5A2;DQX1;IL1B;PSD4;LOC112268423;SPC25;HOXD9;STK17B;FTCDNL1;ICOS;LINC02084;KIF15;CCR5;CELSR3;LOC107986126;ECT2;KLHL6;ABCG2;BANK1;TNIP3;MND1;OTULINL;C6;LINC02998;MAST4;CENPH;MMS22L;EPM2A;EZR;CDCA7L;SAMD9;PCOLCE-AS1;TMEM176B;TMEM176A;XRCC2;LOC107986750;C8orf48;MSC;MSC-AS1;ZFHX4;TBC1D31;CCDC171;LOC107986990;RASEF;ZDHHC12;FAM78A;UAP1L1;RASGEF1A;ZWINT;PTEN;ENTPD1;CC2D2B;PARVA;CACNA2D4;FOXM1;RAD51AP1;CD4;HOXC6;BRI3BP;ADCY4;POLE2;LOC105370569;BCL11B;TEDC1;FURIN;CCNF;RMI2;TBX6;LOC101927272;SALL1;LOC107984886;IRX3;RFLNB;EVI2B;TOP2A;FMNL1;FMNL1-AS1;LOC107985034;SPHK1;LOC105372212;TNFSF9;STXBP2;ICAM1;KLK6;SIGLEC7;FPR3;MIMT1;FAM110A;SIRPG;RASSF2;RBL1;GATA5;LOC105379504;CHAF1B;DGCR11;CDC45;OSM;CENPM;KLHDC7B-DT;PIM2;IL2RG;CXCR3;SNORA69,Control4;Control8;Control10;Control11;Control12;Control13,117,6
35,MAD2L2;HTR1D;SYTL1;HIVEP3;SNORD160;PLPP3;LPAR3;H3C14;LOC101928202;MIR3658;EXO1;LOC107985847;DBI;NOSTRIN;HECW2-AS1;CFAP20DC;LMOD3;RDUR;PLSCR2;GPR171;GPR87;KLHL6;LOC107986249;LCORL;TMEM156;NMU;CXCL10;TIFA;LOC105377404;ANXA2R-OT1;FST;PCDHAC2;CDHR2;SCGB3A1;OR2B6;ZSCAN31;MICB-DT;LOC100294145;NFKBIE;LOC101929756;SKAP2;PCOLCE-AS1;SPDYE2B;MCM4;LOC105375894;ATAD2;CASC8;RECQL4;FAM201A;SEMA4D;105378369;LINC00595;PKD2L1;DENND2B-AS1;HTATIP2;MUC15;INCENP;DOC2GP;PGR;GUCY1A2;CD3E;LOC105369551;MGST1;SCAT2;CDK2;LINC02370;GALNT9;CRYL1;STARD13-AS;PCDH8;ADCY4;BATF;BCL11B;LOC102724682;MKRN3;GCHFR;FANCI;LOC105371050;IGSF6;IL21R-AS1;TRAF4;ETV4;FMNL1-DT;TBX4;JPT1;BIRC5;LOC105372115;LOC284240;TNFSF14;JAK3;FAM187B;KLC3;FAM83E;IL4I1;PABPC1L;SAMSN1;MX2;RIMBP3;CDC45;MTFP1;POLA1;DIPK2B;SLC9A7;ERCC6L;MIR503HG;CSAG3,Control5;Control7;Control10;Control13;Control15;Control16,106,6
39,TNFRSF18;IL22RA1;STMN1;ECM1;DCST2;FCGR3B;RGS1;NUAK2;MIR4260;LOC107985847;LOC100506274;PLEK;CYTOR;LOC107985915;MIR4435-2HG;112268426;CXCR4;SNHG31;CXCR2P1;SNED1;FANCD2OS;ILDR1;EFCC1;BST1;PI4K2B;FGF5;LOC101928007;RXFP1;C4orf46;NIM1K;THBS4;ADTRP;H3C2;TREM2;SMOC2;ETV1;TACC1;ATAD2;RECQL4;GLIS3;SMC2;ZDHHC12;CIMIP2A;MKX;LOC105378305;RTKN2;ADM;ALX4;INCENP;GRIA4;DSCAML1;H2AX;GAPDH-DT;HOXC11;HOXC6;SLC7A7;DAAM1;RGS6;SERPINA1;ATP10A;CHRFAM7A;SRL;CORO1A;LOC105371275;LRRC37A8P;HIGD1B;LINC00673;CD300A;LOC107985034;QRICH2;SPHK1;TNFSF14;DNMT1;CYP4F2;USHBP1;PAFAH1B3;APOC1;PPP1R13L;C19orf81;KLK6;LILRA5;MAFB;WNT7B;TLR8-AS1;POLA1;GDPD2;MT-TV,Control2;Control3;Control5;Control9;Control12;Control16,87,6
