"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:1903131","mononuclear cell differentiation","25/211","481/18870",1.82179144127068e-10,3.80847242684919e-07,3.34559298221084e-07,"26279/864/257101/3932/914/3142/91543/925/3553/1493/55619/8320/3575/3659/3702/1794/10537/28959/55365/5795/915/7480/1236/11006/3561",25
"BP","GO:0030217","T cell differentiation","20/211","307/18870",2.75178643558468e-10,3.80847242684919e-07,3.34559298221084e-07,"26279/864/257101/3932/914/3142/91543/925/3553/1493/8320/3575/3659/3702/1794/915/7480/1236/11006/3561",20
"BP","GO:0030098","lymphocyte differentiation","22/211","429/18870",3.10029950538178e-09,2.86054301029892e-06,2.51287433594102e-06,"26279/864/257101/3932/914/3142/91543/925/3553/1493/55619/8320/3575/3659/3702/1794/5795/915/7480/1236/11006/3561",22
"BP","GO:0050852","T cell receptor signaling pathway","13/211","144/18870",8.57848713826041e-09,5.9363130996762e-06,5.2148171814162e-06,"3932/2633/925/926/1493/3702/5795/915/28755/1236/3783/11006/53347",13
"BP","GO:0046631","alpha-beta T cell activation","13/211","181/18870",1.31211811018188e-07,7.26388585796689e-05,6.38103754635819e-05,"26279/864/257101/3142/91543/8320/3659/3702/1794/915/28755/11006/3561",13
"BP","GO:0002757","immune response-activating signaling pathway","20/211","473/18870",3.85929090928069e-07,0.000178041953948149,0.000156402842112954,"3932/2633/1520/91543/925/926/1493/3659/3702/5795/915/4940/28755/1236/3783/2359/11006/958/53347/3654",20
"BP","GO:0050851","antigen receptor-mediated signaling pathway","13/211","205/18870",5.51921819839618e-07,0.000216631745323207,0.000190302453489735,"3932/2633/925/926/1493/3702/5795/915/28755/1236/3783/11006/53347",13
"BP","GO:0050856","regulation of T cell receptor signaling pathway","7/211","45/18870",6.26103310182678e-07,0.000216631745323207,0.000190302453489735,"3932/2633/5795/1236/3783/11006/53347",7
"BP","GO:0002764","immune response-regulating signaling pathway","20/211","500/18870",9.19286022361591e-07,0.000282731523321876,0.000248368504287167,"3932/2633/1520/91543/925/926/1493/3659/3702/5795/915/4940/28755/1236/3783/2359/11006/958/53347/3654",20
"BP","GO:0007159","leukocyte cell-cell adhesion","18/211","419/18870",1.20671166221527e-06,0.00031856492370397,0.000279846734771893,"26279/864/5724/3932/3142/3553/1493/29851/3575/3659/921/7480/1236/3383/11006/3689/3561/3654",18
