"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","9/113","38/9397",4.64016204797321e-10,1.04403646079397e-07,9.32916790697771e-08,"3932/925/926/29851/3575/6890/915/958/3561",9
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecules","10/113","160/9397",2.13006179300643e-05,0.00189770547036485,0.0016957274612383,"914/925/926/1493/29851/5133/3383/958/23562/3689",10
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","8/113","100/9397",2.53027396048646e-05,0.00189770547036485,0.0016957274612383,"914/925/926/7850/3553/3575/921/915",8
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","8/113","122/9397",0.000105196058006261,0.00591727826285216,0.00528748607347257,"3932/925/926/1493/29851/5133/3702/915",8
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","5/113","50/9397",0.000316714824441237,0.0142521670998557,0.012735269782795,"3553/3082/3383/958/3689",5
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","8/113","158/9397",0.000614805835845865,0.0230552188442199,0.0206013885344843,"699/9319/891/10926/1663/7027/90381/23594",8
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","6/113","105/9397",0.00162169330634514,0.0521258562753796,0.0465779581220936,"3932/3553/7185/3383/958/3654",6
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","5/113","81/9397",0.00285211351455213,0.0706082062794729,0.0630931808158097,"1520/925/926/6890/5641",5
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","10/113","298/9397",0.00307348591506677,0.0706082062794729,0.0630931808158097,"7850/3553/1230/1234/3627/3575/1236/958/5008/3561",10
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","8/113","204/9397",0.0031381425013099,0.0706082062794729,0.0630931808158097,"864/3627/6890/915/4940/3383/958/3654",8
"Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","3/113","30/9397",0.00542726132777685,0.103361324454217,0.0923602946000259,"3553/1719/6470",3
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","8/113","224/9397",0.0055126039708916,0.103361324454217,0.0923602946000259,"3932/7850/915/196883/3383/958/3689/3561",8
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","6/113","138/9397",0.00629588055593781,0.107104792944178,0.0957053354495343,"6195/3932/925/926/3553/3654",6
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","5/113","100/9397",0.00700301353427423,0.107104792944178,0.0957053354495343,"1230/1234/3627/1236/3561",5
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","5/113","102/9397",0.00760282584569705,0.107104792944178,0.0957053354495343,"5724/3875/3383/2359/3689",5
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","5/113","103/9397",0.00791577678988138,0.107104792944178,0.0957053354495343,"3918/7850/3553/3689/1287",5
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","7/113","193/9397",0.0085617241613775,0.107104792944178,0.0957053354495343,"1230/1234/3627/3702/1794/196883/1236",7
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","5/113","105/9397",0.00856838343553422,0.107104792944178,0.0957053354495343,"1302/1300/9056/3783/1287",5
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","5/113","111/9397",0.010748475131609,0.127284573926949,0.113737326877414,"6195/699/891/100310812/196883",5
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","5/113","119/9397",0.0142080863808218,0.153240845596907,0.136931001211739,"3553/3627/3659/7185/3383",5
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","4/113","78/9397",0.014302478922378,0.153240845596907,0.136931001211739,"3553/3659/3689/3654",4
"Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","2/113","17/9397",0.0173269638068326,0.17720758438806,0.158346894119857,"761/771",2
"Metabolism","Glycan biosynthesis and metabolism","hsa00541","Biosynthesis of various nucleotide sugars","2/113","20/9397",0.0236476383757782,0.224491016409753,0.200597820511171,"80896/91373",2
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","4/113","93/9397",0.0255525759191608,0.224491016409753,0.200597820511171,"864/3932/915/3561",4
"Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","5/113","139/9397",0.0259411841184604,0.224491016409753,0.200597820511171,"6195/699/891/100310812/196883",5
"Human Diseases","Infectious disease: viral","hsa05162","Measles","5/113","139/9397",0.0259411841184604,0.224491016409753,0.200597820511171,"3553/915/4940/3561/3654",5
