"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0044772","mitotic cell cycle phase transition","20/244","470/18870",3.40949272328393e-06,0.00717089020938779,0.00659438491728682,"55143/1031/8317/993/10460/891/7272/54443/10926/1029/1030/1164/84930/2305/10403/147841/898/5933/5988/11040",20
"BP","GO:0000070","mitotic sister chromatid segregation","12/244","184/18870",5.11308813920667e-06,0.00717089020938779,0.00659438491728682,"55143/126731/64105/891/3833/7272/54892/90990/51203/10615/10403/147841",12
"BP","GO:0000819","sister chromatid segregation","13/244","225/18870",7.77626253615548e-06,0.00717089020938779,0.00659438491728682,"55143/126731/10460/64105/891/3833/7272/54892/90990/51203/10615/10403/147841",13
"BP","GO:0007059","chromosome segregation","18/244","424/18870",1.10105725120572e-05,0.00717089020938779,0.00659438491728682,"64793/55143/126731/55355/1894/10460/64105/891/3833/7272/54892/90990/51203/7156/10615/10403/147841/898",18
"BP","GO:0140014","mitotic nuclear division","14/244","274/18870",1.41180550869638e-05,0.00717089020938779,0.00659438491728682,"64793/55143/126731/64105/891/3833/7272/54443/54892/90990/51203/10615/10403/147841",14
"BP","GO:0098813","nuclear chromosome segregation","15/244","312/18870",1.4346562606311e-05,0.00717089020938779,0.00659438491728682,"55143/126731/1894/10460/64105/891/3833/7272/54892/90990/51203/10615/10403/147841/898",15
"BP","GO:0000280","nuclear division","18/244","441/18870",1.86509076471869e-05,0.00786413728057043,0.00723189823804234,"64793/55143/126731/64105/891/3833/7272/54443/54892/90990/1164/84930/10635/51203/10615/10403/147841/898",18
"BP","GO:0048285","organelle fission","19/244","488/18870",2.09780254233289e-05,0.00786413728057043,0.00723189823804234,"64793/55143/126731/64105/891/3833/7272/113115/54443/54892/90990/1164/84930/10635/51203/10615/10403/147841/898",19
"BP","GO:0048704","embryonic skeletal system morphogenesis","8/244","94/18870",2.97767941345134e-05,0.0099222895121562,0.0091245848692895,"10736/3232/3207/60529/57453/10265/3216/3219",8
"BP","GO:0008608","attachment of spindle microtubules to kinetochore","6/244","49/18870",3.85952150350641e-05,0.0115747049890157,0.0106441540412493,"55143/1894/891/10615/10403/147841",6
"BP","GO:2000116","regulation of cysteine-type endopeptidase activity","11/244","195/18870",4.86870791189991e-05,0.0122572468147966,0.0112718227671564,"6195/7805/3932/5698/358/1509/330/5366/5329/55655/5988",11
"BP","GO:0007052","mitotic spindle organization","9/244","130/18870",4.93642003279061e-05,0.0122572468147966,0.0112718227671564,"55143/126731/10460/891/3833/7272/90990/57562/10403",9
"BP","GO:1902850","microtubule cytoskeleton organization involved in mitosis","10/244","163/18870",5.31324470131228e-05,0.0122572468147966,0.0112718227671564,"55143/126731/10460/891/3833/7272/90990/57562/51203/10403",10
"BP","GO:0007051","spindle organization","11/244","202/18870",6.69838693169403e-05,0.0143489017201074,0.0131953186173221,"55143/126731/10460/55722/891/3833/7272/90990/57562/10615/10403",11
"BP","GO:0051304","chromosome separation","7/244","81/18870",8.54800829175198e-05,0.0170903179113095,0.0157163380522036,"55143/891/7272/54892/7156/10403/147841",7
"BP","GO:0071900","regulation of protein serine/threonine kinase activity","13/244","285/18870",9.15549908316005e-05,0.0171608385939981,0.0157811892091311,"1031/493/993/5580/891/5570/1029/1030/101/11314/898/958/3654",13
"BP","GO:2000377","regulation of reactive oxygen species metabolic process","9/244","147/18870",0.000127617576474125,0.0225132418732883,0.020703284852149,"80149/3099/5580/683/8838/100033819/2305/225/3689",9
"BP","GO:0051988","regulation of attachment of spindle microtubules to kinetochore","4/244","21/18870",0.000137295919619751,0.0228750257188684,0.021035983006067,"55143/1894/891/10615",4
"BP","GO:0051310","metaphase chromosome alignment","7/244","96/18870",0.000248724430138085,0.0325512929223796,0.0299343245842069,"55143/1894/891/3833/10615/10403/147841",7
"BP","GO:0006261","DNA-templated DNA replication","9/244","161/18870",0.0002531403998101,0.0325512929223796,0.0299343245842069,"8317/5980/10926/4796/5557/5983/23594/898/84515",9
"BP","GO:0048706","embryonic skeletal system development","8/244","128/18870",0.000262587997606513,0.0325512929223796,0.0299343245842069,"10736/3232/3207/60529/57453/10265/3216/3219",8
"BP","GO:0018108","peptidyl-tyrosine phosphorylation","12/244","276/18870",0.000264591294141632,0.0325512929223796,0.0299343245842069,"3932/5580/683/7060/1946/6690/2324/2056/11314/353514/958/3689",12
"BP","GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process","9/244","163/18870",0.000277449783943816,0.0325512929223796,0.0299343245842069,"6195/7805/3932/358/1509/5366/5329/55655/5988",9
"BP","GO:0018212","peptidyl-tyrosine modification","12/244","278/18870",0.000282584936031198,0.0325512929223796,0.0299343245842069,"3932/5580/683/7060/1946/6690/2324/2056/11314/353514/958/3689",12
"BP","GO:0007094","mitotic spindle assembly checkpoint signaling","5/244","46/18870",0.000308606952098106,0.0325512929223796,0.0299343245842069,"55143/891/7272/10403/147841",5
"BP","GO:0071173","spindle assembly checkpoint signaling","5/244","46/18870",0.000308606952098106,0.0325512929223796,0.0299343245842069,"55143/891/7272/10403/147841",5
"BP","GO:0071174","mitotic spindle checkpoint signaling","5/244","46/18870",0.000308606952098106,0.0325512929223796,0.0299343245842069,"55143/891/7272/10403/147841",5
"BP","GO:1901987","regulation of cell cycle phase transition","16/244","456/18870",0.000308951230734188,0.0325512929223796,0.0299343245842069,"55143/1031/8317/493/993/891/7272/54443/10926/1029/1030/3014/10403/147841/5933/5988",16
"BP","GO:0031577","spindle checkpoint signaling","5/244","47/18870",0.000341740892215387,0.0325512929223796,0.0299343245842069,"55143/891/7272/10403/147841",5
"BP","GO:0033046","negative regulation of sister chromatid segregation","5/244","48/18870",0.000377497214240469,0.0325512929223796,0.0299343245842069,"55143/891/7272/10403/147841",5
"BP","GO:0033048","negative regulation of mitotic sister chromatid segregation","5/244","48/18870",0.000377497214240469,0.0325512929223796,0.0299343245842069,"55143/891/7272/10403/147841",5
"BP","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","5/244","48/18870",0.000377497214240469,0.0325512929223796,0.0299343245842069,"55143/891/7272/10403/147841",5
"BP","GO:2000816","negative regulation of mitotic sister chromatid separation","5/244","48/18870",0.000377497214240469,0.0325512929223796,0.0299343245842069,"55143/891/7272/10403/147841",5
"BP","GO:0052548","regulation of endopeptidase activity","12/244","288/18870",0.000388956359937895,0.0325512929223796,0.0299343245842069,"6195/7805/3932/5698/358/1509/330/5366/5329/55655/3053/5988",12
"BP","GO:0002224","toll-like receptor signaling pathway","6/244","74/18870",0.000390745763656441,0.0325512929223796,0.0299343245842069,"79931/81622/330/11314/958/3654",6
"BP","GO:1905818","regulation of chromosome separation","6/244","74/18870",0.000390745763656441,0.0325512929223796,0.0299343245842069,"55143/891/7272/54892/10403/147841",6
"BP","GO:0051985","negative regulation of chromosome segregation","5/244","50/18870",0.000457411135374869,0.0345975200525653,0.0318160448351981,"55143/891/7272/10403/147841",5
"BP","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","5/244","50/18870",0.000457411135374869,0.0345975200525653,0.0318160448351981,"55143/891/7272/10403/147841",5
"BP","GO:1905819","negative regulation of chromosome separation","5/244","50/18870",0.000457411135374869,0.0345975200525653,0.0318160448351981,"55143/891/7272/10403/147841",5
"BP","GO:0002757","immune response-activating signaling pathway","16/244","473/18870",0.000461454085396003,0.0345975200525653,0.0318160448351981,"7805/3932/80149/115362/5580/92610/79931/81622/330/915/3502/11314/3783/958/150372/3654",16
"BP","GO:0048562","embryonic organ morphogenesis","12/244","295/18870",0.000482089976845554,0.0352631180624345,0.0324281319469923,"3142/10736/3232/6943/3207/1750/60529/2348/57453/10265/3216/3219",12
"BP","GO:0051303","establishment of chromosome localization","7/244","108/18870",0.000510522163240951,0.0364537135133241,0.0335230092153206,"55143/1894/891/3833/10615/10403/147841",7
"BP","GO:0044771","meiotic cell cycle phase transition","3/244","13/18870",0.000554930475160423,0.0387031743024676,0.0355916241106563,"993/7272/10403",3
"BP","GO:0090068","positive regulation of cell cycle process","11/244","262/18870",0.000635010236530019,0.042685067701666,0.0392533923161633,"55143/8317/993/1894/891/10926/54892/10635/51203/10615/10403",11
"BP","GO:0090322","regulation of superoxide metabolic process","4/244","31/18870",0.000652192643319657,0.042685067701666,0.0392533923161633,"5580/683/100033819/3689",4
"BP","GO:0033047","regulation of mitotic sister chromatid segregation","5/244","54/18870",0.000654722612296311,0.042685067701666,0.0392533923161633,"55143/891/7272/10403/147841",5
"BP","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","6/244","82/18870",0.000677907137160962,0.0431861862757596,0.0397142233525175,"1031/993/891/1029/1030/898",6
"BP","GO:0043122","regulation of canonical NF-kappaB signal transduction","11/244","265/18870",0.000697567392690266,0.0431861862757596,0.0397142233525175,"80149/6574/1894/92610/79931/330/958/5988/11040/60401/3654",11
"BP","GO:0006816","calcium ion transport","15/244","445/18870",0.000717134417636517,0.0431861862757596,0.0397142233525175,"3932/493/6332/1230/55013/6690/2056/93589/6334/246329/623/3783/3270/353514/5354",15
"BP","GO:0022407","regulation of cell-cell adhesion","16/244","493/18870",0.000720009774520833,0.0431861862757596,0.0397142233525175,"7805/3932/80149/7412/3142/29851/5580/1946/8728/2056/101/11314/5329/55423/3689/3654",16
"BP","GO:1901990","regulation of mitotic cell cycle phase transition","13/244","355/18870",0.000759982677263634,0.0438296773969304,0.0403059808637818,"55143/1031/8317/993/891/7272/54443/1029/1030/10403/147841/5933/5988",13
"BP","GO:0045839","negative regulation of mitotic nuclear division","5/244","56/18870",0.000774419557080099,0.0438296773969304,0.0403059808637818,"55143/891/7272/10403/147841",5
"BP","GO:0050000","chromosome localization","7/244","116/18870",0.000782552200992683,0.0438296773969304,0.0403059808637818,"55143/1894/891/3833/10615/10403/147841",7
"BP","GO:0052547","regulation of peptidase activity","12/244","312/18870",0.000789197258897713,0.0438296773969304,0.0403059808637818,"6195/7805/3932/5698/358/1509/330/5366/5329/55655/3053/5988",12
"BP","GO:1904029","regulation of cyclin-dependent protein kinase activity","6/244","85/18870",0.000819953431219642,0.0447098243677765,0.0411153682257505,"1031/993/891/1029/1030/898",6
"BP","GO:0002764","immune response-regulating signaling pathway","16/244","500/18870",0.000835867234054218,0.044763675623725,0.0411648900981588,"7805/3932/80149/115362/5580/92610/79931/81622/330/915/3502/11314/3783/958/150372/3654",16
"BP","GO:0048568","embryonic organ development","15/244","453/18870",0.000858943549045766,0.0451924860278641,0.0415592261957508,"6886/3142/10736/2019/3232/6943/3207/1750/60529/2348/57453/6692/10265/3216/3219",15
"BP","GO:0050730","regulation of peptidyl-tyrosine phosphorylation","10/244","231/18870",0.000881454213889161,0.0455772618526481,0.0419130678836588,"5580/683/7060/1946/6690/2056/11314/353514/958/3689",10
