"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","12/127","158/9397",1.3644830704212e-06,0.000302915241633507,0.000291568487679478,"1031/8317/993/891/7272/10926/1029/1030/23594/10403/898/5933",12
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","6/127","75/9397",0.000508690686593468,0.039240767650997,0.0377708669186931,"64393/891/1029/3732/5366/898",6
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","7/127","105/9397",0.000530280643932392,0.039240767650997,0.0377708669186931,"3932/7412/330/597/958/60401/3654",7
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","9/127","201/9397",0.00157677751962822,0.0730791496978501,0.0703417135545925,"1031/440686/51513/3207/330/64919/6692/597/958",9
"Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","4/127","38/9397",0.00164592679499662,0.0730791496978501,0.0703417135545925,"3932/29851/915/958",4
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","5/127","75/9397",0.00337941254378233,0.125038264119946,0.120354516910143,"5980/1029/330/4257/5366",5
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","4/127","50/9397",0.00453415141368039,0.143797373405292,0.138410937891296,"7412/7060/958/3689",4
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","7/127","157/9397",0.00533243779801911,0.14797514889503,0.1424322201313,"993/891/1029/1030/2305/898/5933",7
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","5/127","93/9397",0.00839867783123698,0.207167386503846,0.199407204648083,"3918/1030/1164/330/898",5
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","8/127","224/9397",0.0108931976012955,0.227716827177987,0.219186893869755,"3932/1031/1029/1030/915/898/958/3689",8
"Human Diseases","Infectious disease: viral","hsa05162","Measles","6/127","139/9397",0.0112832662115219,0.227716827177987,0.219186893869755,"3310/915/4939/898/4600/3654",6
