Gene,Degree,Elite
KCNAB2,27,False
FHAD1,51,False
FHAD1-AS1,25,False
PLA2G2D,17,False
RUNX3,44,False
CD52,31,False
ZNF683,72,False
RPS6KA1,42,False
PTAFR,28,False
RAB42,21,False
LCK,44,False
CLSPN,17,False
HIVEP3,43,False
TAL1,52,False
DHCR24,51,False
HOOK1,51,False
IFI44L,11,False
IFI44,36,False
MCOLN2,69,False
LOC105378825,38,False
GBP1,43,False
DENND2D,66,False
ADORA3,65,False
CD2,60,False
FAM72B,50,False
H2BC18,8,False
CTSS,50,False
S100A3,24,False
BCAN-AS1,15,False
CFAP45,16,False
ADAMTS4,26,False
NPL,24,False
LAMC2,31,False
PACERR,37,False
TNNI1,12,False
NAV1,19,False
SLC26A9-AS1,21,False
G0S2,6,False
HSD11B1,23,False
HLX,37,False
CNIH3-AS1,8,False
RSAD2,43,False
DTNB,20,False
DTNB-AS1,23,False
CENPA,22,False
RMDN2,39,False
LOC102724497,18,False
CD8A,58,False
CD8B,40,False
ITPRIPL1,62,False
IL1R2,27,False
BUB1,36,False
SOCAR,11,False
IL1B,85,False
PSD4,80,False
PGM5P4-AS1,27,False
LOC105373581,22,False
HNMT,45,False
TNFAIP6,16,False
LY75,30,False
STK17B,73,False
FTCDNL1,47,False
SGO2,16,False
CTLA4,58,False
ICOS,57,False
IGFBP5,41,False
DOCK10,82,False
105373991,40,False
BOK,30,False
PDCD1,56,False
FANCD2OS,18,False
SGO1-AS1,17,False
EOMES,67,False
MOBP,20,False
CCR1,39,False
CCR5,46,False
CCRL2,24,False
CELSR3,13,False
GXYLT2,23,False
CD96,77,False
POLQ,36,False
105374129,14,False
PTX3,68,False
TRIM59,31,False
DGKG,30,False
GMNC,18,False
107986257,27,False
BST1,60,False
CXCL10,31,False
MCUB,44,False
ZGRF1,19,False
ARHGAP10,30,False
MND1,62,False
ASB5,34,False
TRIP13,44,False
UBE2QL1,11,False
IL7R,69,False
CCNO,42,False
CENPK,32,False
CD180,17,False
CCNB1,30,False
DHFR,38,False
EFNA5,34,False
LMNB1,28,False
IRF1,34,False
ITK,71,False
HMMR-AS1,33,False
TENM2,40,False
DOCK2,29,False
STC2,16,False
F12,21,False
FOXCUT,18,False
LOC105374947,34,False
H3C2,21,False
ZSCAN31,16,False
UBD,22,False
MICB-DT,60,False
TAP1,9,False
COL11A2,19,False
LOC105375027,22,False
LINC01016,13,False
ETV7,34,False
TREML1,47,False
MMS22L,36,False
SESN1,6,False
COL10A1,9,False
105378077,24,False
LINC03016,15,False
LOC105375172,7,False
CDCA7L,23,False
OSBPL3,29,False
INMT-MINDY4,30,False
MINDY4,37,False
HGF,10,False
DBF4,44,False
SPDYE2B,20,False
KCP,60,False
TMEM176B,55,False
TMEM176A,63,False
LGI3,14,False
LOC105379362,30,False
XKR9,7,False
CA3,17,False
HAS2-AS1,19,False
SLURP2,27,False
LOC105375798,11,False
LOC107987042,31,False
ENHO,14,False
ANKRD18A,54,False
LINC00537,24,False
GALNT12,6,False
TRAF1,24,False
GARNL3,8,False
UAP1L1,43,False
ITIH5,25,False
MASTL,38,False
ZWINT,38,False
LINC00595,24,False
KIF20B,17,False
SEC31B,27,False
NEURL1,17,False
LHPP,28,False
MIR675,24,False
RRM1,54,False
LMO1,29,False
105376579,30,False
PTPRJ,47,False
FAM111B,25,False
CD5,77,False
SAXO4,25,False
ASRGL1,31,False
LINC02754,13,False
TESMIN,29,False
P2RY2,46,False
CEP126,25,False
CD3D,45,False
H2AX,14,False
VSIG10L2,23,False
GAPDH-DT,17,False
CDCA3,19,False
107987172,4,False
GPR19,22,False
RERG,21,False
DDX11,21,False
ABCD2,35,False
WNT10B,47,False
DDN,18,False
KRT18,28,False
HOXC6,65,False
CBX5,41,False
MIR3198-2,72,False
TIMELESS,47,False
LYZ,34,False
GOLGA2P5,24,False
GAS2L3,58,False
OAS3,61,False
KNTC1,24,False
CRYL1,14,False
SKA3,31,False
TFDP1,35,False
TRAC,65,False
SLC7A7,14,False
ADCY4,48,False
LRR1,24,False
TMEM30B,29,False
LINC02316,31,False
LGMN,33,False
ITPK1,29,False
BEGAIN,28,False
TMEM179,14,False
ATP8B4,18,False
AQP9,55,False
CA12,9,False
LCTL,28,False
KIF23,30,False
TICRR,33,False
PRC1,27,False
TEDC2-AS1,23,False
APOBR,59,False
ORC6,25,False
SALL1,42,False
RFLNB,33,False
PIMREG,36,False
HS3ST3B1,10,False
SHMT1,53,True
ASIC2,4,False
SLFN11,48,False
RDM1,18,False
CCR7,67,False
LINC00671,15,False
LOC105371793,13,False
HOXB3,55,False
PPM1E,71,False
LRRC45,22,False
ARHGAP28,19,False
SIGLEC15,11,False
MATK,44,False
UHRF1,28,False
ICAM1,75,False
MAST1,28,False
BRME1,39,False
HAUS8,43,False
ZNF208,61,False
ZNF726,36,False
FAAP24,21,False
APLP1,30,False
MAP4K1,50,False
PLAUR,46,False
KCNN4,23,False
GRIN2D,10,False
SIGLEC7,29,False
SIGLEC10,61,False
SIGLEC12,16,False
FPR3,54,False
LILRB4,32,False
FAM110A,44,False
MGME1,35,False
LOC101929707,13,False
TPX2,41,False
PABPC1L,51,False
CD40,29,False
LOC105372793,22,False
CLDN14,11,False
UBASH3A,79,False
ITGB2,43,False
DGCR11,55,False
USP41P,78,False
OSM,37,False
APOBEC3B,14,False
MEI1,48,False
IL2RG,56,False
GLRA4,11,False
COL4A5,32,False
IRAK1,21,False
