Gene,Degree_normal,Degree_tumor,Sentido,Elite,SentidoElite
KCNAB2,27,150,aumenta,SHMT1,aumenta
RPS6KA1,42,135,aumenta,SHMT1,aumenta
CLSPN,17,290,aumenta,SHMT1,aumenta
DHCR24,51,196,aumenta,SHMT1,aumenta
IFI44L,11,37,aumenta,SHMT1,aumenta
LOC105378825,38,46,aumenta,SHMT1,aumenta
ADORA3,65,82,aumenta,SHMT1,aumenta
FAM72B,50,291,aumenta,SHMT1,aumenta
H2BC18,8,85,aumenta,SHMT1,aumenta
BCAN-AS1,15,65,aumenta,SHMT1,aumenta
NPL,24,83,aumenta,SHMT1,aumenta
NAV1,19,38,aumenta,SHMT1,aumenta
G0S2,6,42,aumenta,SHMT1,aumenta
DTNB,20,100,aumenta,SHMT1,aumenta
CENPA,22,278,aumenta,SHMT1,aumenta
LOC102724497,18,70,aumenta,SHMT1,aumenta
BUB1,36,256,aumenta,SHMT1,aumenta
SOCAR,11,92,aumenta,SHMT1,aumenta
IL1B,85,132,aumenta,SHMT1,aumenta
LOC105373581,22,122,aumenta,SHMT1,aumenta
SGO2,16,218,aumenta,SHMT1,aumenta
DOCK10,82,84,aumenta,SHMT1,aumenta
FANCD2OS,18,129,aumenta,SHMT1,aumenta
SGO1-AS1,17,269,aumenta,SHMT1,aumenta
POLQ,36,288,aumenta,SHMT1,aumenta
105374129,14,56,aumenta,SHMT1,aumenta
TRIM59,31,234,aumenta,SHMT1,aumenta
107986257,27,168,aumenta,SHMT1,aumenta
MCUB,44,101,aumenta,SHMT1,aumenta
ZGRF1,19,308,aumenta,SHMT1,aumenta
ARHGAP10,30,111,aumenta,SHMT1,aumenta
MND1,62,206,aumenta,SHMT1,aumenta
ASB5,34,36,aumenta,SHMT1,aumenta
TRIP13,44,289,aumenta,SHMT1,aumenta
CENPK,32,263,aumenta,SHMT1,aumenta
CCNB1,30,308,aumenta,SHMT1,aumenta
DHFR,38,224,aumenta,SHMT1,aumenta
LMNB1,28,302,aumenta,SHMT1,aumenta
HMMR-AS1,33,156,aumenta,SHMT1,aumenta
STC2,16,74,aumenta,SHMT1,aumenta
FOXCUT,18,65,aumenta,SHMT1,aumenta
LOC105374947,34,90,aumenta,SHMT1,aumenta
H3C2,21,105,aumenta,SHMT1,aumenta
TREML1,47,62,aumenta,SHMT1,aumenta
COL10A1,9,116,aumenta,SHMT1,aumenta
105378077,24,201,aumenta,SHMT1,aumenta
LINC03016,15,129,aumenta,SHMT1,aumenta
CDCA7L,23,160,aumenta,SHMT1,aumenta
OSBPL3,29,106,aumenta,SHMT1,aumenta
SPDYE2B,20,29,aumenta,SHMT1,aumenta
LOC105379362,30,65,aumenta,SHMT1,aumenta
SLURP2,27,67,aumenta,SHMT1,aumenta
LOC107987042,31,61,aumenta,SHMT1,aumenta
LINC00537,24,33,aumenta,SHMT1,aumenta
GALNT12,6,40,aumenta,SHMT1,aumenta
GARNL3,8,225,aumenta,SHMT1,aumenta
ITIH5,25,51,aumenta,SHMT1,aumenta
ZWINT,38,263,aumenta,SHMT1,aumenta
KIF20B,17,339,aumenta,SHMT1,aumenta
105376579,30,67,aumenta,SHMT1,aumenta
PTPRJ,47,88,aumenta,SHMT1,aumenta
FAM111B,25,207,aumenta,SHMT1,aumenta
H2AX,14,131,aumenta,SHMT1,aumenta
VSIG10L2,23,38,aumenta,SHMT1,aumenta
GAPDH-DT,17,239,aumenta,SHMT1,aumenta
CDCA3,19,170,aumenta,SHMT1,aumenta
107987172,4,201,aumenta,SHMT1,aumenta
GPR19,22,82,aumenta,SHMT1,aumenta
DDN,18,22,aumenta,SHMT1,aumenta
CBX5,41,229,aumenta,SHMT1,aumenta
TIMELESS,47,236,aumenta,SHMT1,aumenta
OAS3,61,80,aumenta,SHMT1,aumenta
KNTC1,24,137,aumenta,SHMT1,aumenta
SKA3,31,295,aumenta,SHMT1,aumenta
TRAC,65,103,aumenta,SHMT1,aumenta
LINC02316,31,69,aumenta,SHMT1,aumenta
LCTL,28,184,aumenta,SHMT1,aumenta
KIF23,30,237,aumenta,SHMT1,aumenta
TICRR,33,172,aumenta,SHMT1,aumenta
PRC1,27,290,aumenta,SHMT1,aumenta
ORC6,25,214,aumenta,SHMT1,aumenta
SALL1,42,117,aumenta,SHMT1,aumenta
RFLNB,33,116,aumenta,SHMT1,aumenta
PIMREG,36,127,aumenta,SHMT1,aumenta
ASIC2,4,231,aumenta,SHMT1,aumenta
RDM1,18,145,aumenta,SHMT1,aumenta
LRRC45,22,66,aumenta,SHMT1,aumenta
ARHGAP28,19,137,aumenta,SHMT1,aumenta
UHRF1,28,290,aumenta,SHMT1,aumenta
ICAM1,75,81,aumenta,SHMT1,aumenta
BRME1,39,64,aumenta,SHMT1,aumenta
ZNF726,36,133,aumenta,SHMT1,aumenta
PLAUR,46,97,aumenta,SHMT1,aumenta
KCNN4,23,85,aumenta,SHMT1,aumenta
GRIN2D,10,64,aumenta,SHMT1,aumenta
SIGLEC7,29,142,aumenta,SHMT1,aumenta
MGME1,35,286,aumenta,SHMT1,aumenta
TPX2,41,263,aumenta,SHMT1,aumenta
LOC105372793,22,50,aumenta,SHMT1,aumenta
DGCR11,55,86,aumenta,SHMT1,aumenta
OSM,37,90,aumenta,SHMT1,aumenta
APOBEC3B,14,187,aumenta,SHMT1,aumenta
GLRA4,11,31,aumenta,SHMT1,aumenta
IRAK1,21,123,aumenta,SHMT1,aumenta
