Bicluster,Genes,Condiciones,NumGenes,NumCondiciones
1,ABCG2;ABLIM3;ACKR4;ACSL5;ADAM12;ADGRL3;ADH1B;ADIRF;AF099143;AF105974;AF206665;AF206666;AF206667;AF349571;AKR1C2;ALDH1A1;AMFR;ANK3;ANXA3;APOBEC3B;ASPM;ATP8A1;BAMBI;BC005931;BCHE;BG397856;BHLHE41;BUB1B;C1QL1;C4orf19;CAPN6;CASQ2;CCN5;CCNB1;CDH2;CDK1;CEACAM1;CEMIP;CENPF;CEP55;CFI;CKS2;CLDN1;COL1A1;COL4A5;COL4A6;CRHBP;CXCL13;CXCR4;CYP1B1;DCX;DEPTOR;DLGAP5;DPP6;DTL;DUSP1;ECM2;EGFL6;EMP1;ENC1;ENPEP;FABP4;FAM107A;FBLN2;FGFR2;FHOD3;FLT1;FOS;FOXM1;GDF15;GNA14;GREB1;GUCY1A1;GULP1;H49382;HBA2;HBB;HLF;HMGB3;HMMR;HOXA11;HOXD10;HPGD;HTR2B;ID1;IL13RA2;ITIH3;JUN;KCNAB1;KIF11;KIF20A;KIF4A;KIT;KLF2;KRT13;KRT19;LEFTY2;LMNB1;LRRC17;MARCKS;MECOM;MELK;MEST;MICB;MIR22HG;MME;MMP11;MPZL2;MS4A2;MSLN;MYBL1;N4BP2L1;NAP1L2;NDP;NDRG4;NEDD9;NEFL;NEK2;NFASC;NHERF2;NME1;NM_000558;NM_002983;NM_003294;NM_004469;NM_004659;NM_022804;NM_024164;NPR3;NPTX2;NTRK2;NUSAP1;PAGE4;PCLAF;PER2;PGM5;PGR;PHLDA1;PHLDA2;PID1;PLCL1;PLN;PMAIP1;PPP1R16B;PRC1;PROM1;PTGDS;PTGER3;PTGFR;PTTG1;REV3L;RGCC;RGS1;RNASE1;RRM2;RUNX1T1;RYR3;S100A4;SAMD4A;SCD;SCG5;SELE;SGMS1;SLC1A1;SLC24A3;SMARCA2;SMTN;SOX9;SRGN;STK26;SYNE3;T50399;TAC1;TACR2;TCF21;TCIM;TDO2;THBD;THBS1;TIAM1;TMEM47;TNFAIP6;TNFSF10;TOP2A;TPSAB1;TPX2;TWIST1;TYMS;UBE2C;UCHL1;VCAN;VGLL3;WNT5A;ZWINT,NormalMyometrium_1;NormalMyometrium_9;NormalMyometrium_18;NormalMyometrium_23,194,4
2,ABCA8;ACKR1;ACSL5;ADAMTS5;ADAMTSL3;ADCY2;ADM;ADRA2C;AGTR2;AHNAK2;ALDH1A1;ALDH1A3;AQP3;ARAP2;ARG2;ASPM;ATRNL1;BAMBI;BG397856;BUB1B;C4orf19;CA11;CACNB2;CADM1;CAPN6;CCDC68;CCL21;CCN2;CCN3;CCNB1;CD69;CEMIP;CFH;CFI;CFLAR;CHL1;CKS2;CLDN5;CMAHP;COL4A5;CORIN;CPE;CRHBP;CRYAB;CXCL13;CYP4B1;DLGAP5;DMD;DPT;DSP;ECM2;EFEMP1;EGFL6;EGR1;ENPP2;F8;FBLN1;FGL2;FHL5;FILIP1L;FLNC;FLT1;GPM6B;GPR161;GPX3;HACD1;HBB;HHEX;HLA-DPA1;HMGA1;HMGB3;HOPX;HOXA11;HPSE;HS3ST1;HSD17B6;HSPB6;IDH2;IGFBP6;ITIH3;ITPR1;JUN;KCNB1;KCND3;KCNMA1;KCNMB1;KCNN3;KDELR3;KIF20A;KL;LDB3;LEFTY2;LRRC2;MARCKS;MEOX2;MEST;MIR22HG;MITF;MMP11;MMP28;MS4A2;MYBL1;N4BP2L1;NACC2;NDP;NEFL;NEK2;NME1;NM_003278;NM_004166;NM_004469;NM_004659;NM_006989;NM_022804;NOX4;NREP;NRXN3;NTRK3;PALMD;PCLAF;PDK4;PDLIM3;PGM5;PIK3IP1;PLA2G4A;PLCL1;PLN;PLVAP;PMAIP1;PRC1;PRL;PROM1;PTGER2;PTTG1;RAMP3;RAP2C;RASA4;RCAN2;RNASE1;SCD;SCG2;SCG5;SELE;SGCA;SGMS1;SLC16A3;SLC1A1;SMARCA2;SMTN;SORBS1;SOX18;SOX4;SPRY1;SRGN;SYNE3;SYT1;T50399;TIAM1;TMEM158;TMEM47;TNFAIP6;TNFRSF11B;TNFSF10;TPX2;TRPC4;TWIST1;TYMS;ZBTB16;ZEB1;ZFPM2,NormalMyometrium_4;NormalMyometrium_5;NormalMyometrium_21;NormalMyometrium_29,170,4
3,ABCG2;ADAM12;ADCY2;ADGRL3;ADIRF;ADM;AF206665;AF206666;AF206667;AL049443;AMIGO2;AOX1;APOD;AQP3;ARG2;ARL4C;ARMC9;ASPM;ATP8A1;BAMBI;C4orf19;CA11;CADM1;CAVIN1;CCNA2;CD69;CDH13;CDK1;CEMIP;CENPU;CHI3L1;CKAP2;CKS2;CLIC5;COL4A5;COL4A6;CORIN;CSGALNACT1;CXCL13;CXCR4;DEPTOR;DIPK1A;DLX5;DMD;DNAJB4;DPP6;DPT;DUSP1;EMCN;F8;FBLN1;FBLN2;FBN2;FCER1A;FGF2;FGL2;FHL5;FHOD3;FILIP1L;FZD2;GDF15;GINS1;GPM6B;GPR37;GULP1;HACD1;HLA-DRA;HMGB3;HPGDS;HS3ST1;HSPA2;HTR2B;ID1;IGFBP6;IL13RA2;ITPR1;KCNB1;KCNMA1;KCNN3;KIF4A;KLF2;KLF9;LOX;LOXL2;LRRC17;LRRC2;MAFB;MALL;MAP3K8;MECOM;MELK;MEOX1;MEST;MITF;MMP11;MMRN1;MPZL2;MTCL1;MYBL1;MYOZ2;NACC2;NAP1L2;NDP;NDRG4;NEDD9;NEFL;NM_002983;NM_003294;NM_022804;NM_024164;NTRK2;PAGE4;PALMD;PCLAF;PCOLCE2;PCYOX1;PDE10A;PEG3;PHLDA1;PHLDA2;PLA2G4A;PLA2G7;PLVAP;PPP1R16B;PRC1;PTGER3;PTGFR;RELN;RERGL;RGS1;RGS13;RIPOR2;RUNDC3B;S100A4;SAMD4A;SATB2;SCN7A;SELE;SLC1A1;SLC24A3;SMAD6;SMPDL3A;SOCS1;SORBS1;SOX18;SPP1;SPRY1;SRGN;STK26;SYNE3;SYT1;TCIM;TDO2;THBS1;TMEM158;TNFAIP6;TPSAB1;TRPC4;TSPAN2;TUBB2B;UBE2C;ZWINT,NormalMyometrium_18;NormalMyometrium_23;NormalMyometrium_25;NormalMyometrium_28,162,4
4,ABCG2;ABLIM3;AHNAK2;AL049443;ARAP2;ARHGAP6;ATRNL1;BAMBI;BCL11A;CADM1;CADPS2;CCN2;CKS2;CMAHP;CNR1;COL4A5;CORIN;CSGALNACT1;CXCR4;DEPTOR;DMD;DSP;EDNRB;FABP4;FBLN1;FCER1A;FGF2;FHL1;FHL5;FRZB;GIPC2;GPM6A;GPM6B;GREB1;HMGA1;HMGB3;HS3ST1;IFIH1;IRAK3;ITPR1;KRT19;LMCD1;MEOX2;MFAP2;MMP11;MMP28;MS4A2;NEK2;NFASC;NM_003278;NM_004166;NPY1R;NRXN3;NTRK2;NTRK3;OSGIN2;PALMD;PDE10A;PDLIM3;PGR;PHLDA1;PIK3IP1;PLCL1;PLVAP;PMAIP1;PRELP;PTTG1;RAP2C;RCAN2;RIPOR2;RRAS;RUNX1T1;RYR3;S100A4;SAMD4A;SGMS1;SOCS1;SORBS1;SOX9;STK26;STON1;SYNE3;TMEM158;TMSB15A;TNFAIP6;TSPAN2;VGLL3;ZFPM2,NormalMyometrium_1;NormalMyometrium_10;NormalMyometrium_14;NormalMyometrium_20;NormalMyometrium_22,88,5
5,AA889653;ACKR1;ACKR4;ALDH1A1;AOX1;APOBEC3B;APOD;ASPM;ATF3;ATP8A1;BST2;BUB1B;CALCRL;CAVIN1;CCN2;CCN3;CCNA2;CCNB1;CCNB2;CDC20;CEP55;CHI3L1;CKAP2;CKS2;CLDN1;CLDN5;COL4A6;CYP4B1;DCX;DES;DLGAP5;DLX5;DMD;DNAJB4;EDNRB;EMCN;EMP1;FABP4;FBLN1;FGF2;FGL2;FRZB;GPM6A;GPM6B;GULP1;HMGA1;HPGDS;IGFBP2;IGFBP6;KCNMB1;KRT19;LMNB1;MAD2L1;MAP3K8;MARCKS;MELK;MMP28;MRC1;MTCL1;NACC2;NEFL;NETO2;NHERF2;NM_004469;NM_004659;NM_022804;NOX4;NTRK3;NUSAP1;OMD;P2RY14;PALMD;PBK;PCLAF;PCOLCE2;PCYOX1;PDE10A;PEG3;PHACTR2;PLA2G4C;PMAIP1;PTGER2;RBP1;RUNDC3B;RYR3;S73751;SAMD4A;SCD;SELE;SORBS1;SPRY1;TAF9B;TOP2A;TYMS;VAMP3;ZFP36;ZNF204P,NormalMyometrium_1;NormalMyometrium_14;NormalMyometrium_17;NormalMyometrium_22,97,4
7,ADAMTS5;ADIRF;ANK3;APOBEC3B;ATRNL1;BAMBI;BG397856;BIRC3;BUB1B;CADPS2;CCN2;CCN3;CCNB1;CD69;CDC20;CDH13;CFLAR;CHRDL1;CITED2;CLDN1;CLDN5;CNR1;CSGALNACT1;CX3CR1;DEPTOR;DLGAP5;DMD;DTL;EDNRB;FAM107A;FERMT2;FGF2;FHL5;GNA14;HTR2B;ID1;IGF1;KCNMB1;KIF11;KIF4A;LYVE1;MAFB;MECOM;MELK;MFAP3L;MME;MS4A2;NACC2;NM_002983;NM_004469;NM_004659;NRIP1;NTRK2;PALMD;PCLAF;PLA2G4A;PRELP;PROM1;PTGDS;PTGER2;PTTG1;RGS1;RRM2;SCRG1;SLC39A8;SMAD6;SRGN;STK26;TACSTD2;TCF4;THBS1;TMEM47;TRPC4;UBE2C,NormalMyometrium_5;NormalMyometrium_12;NormalMyometrium_17;NormalMyometrium_20;NormalMyometrium_22,74,5
8,ACKR1;ADH1B;APOBEC3B;ATF3;BST2;CACNB2;CAVIN1;CCL23;CITED2;CLDN5;COL1A1;DEPTOR;DHFR;DNAJB4;DUSP1;ECM2;EGR1;FGFR2;FLT1;GRK5;IFIH1;IGF1;KDELR3;KLF2;KLF4;MAP3K8;MARCKS;MELK;MME;MYRIP;N4BP2L1;NAP1L2;NDRG4;PDZD2;PPP1R16B;RCAN2;TCF4;TCIM;TDO2;THBD;THBS1;TMEM158;TMEM47;TUBB2B;VGLL3;ZFP36;ZNF204P,NormalMyometrium_9;NormalMyometrium_11;NormalMyometrium_14;NormalMyometrium_15;NormalMyometrium_17;NormalMyometrium_21,47,6
16,AA889653;AF086641;AF206667;AMIGO2;ASPM;CCNB1;CDK1;CRYAB;DEPTOR;DES;EMP1;FHL5;FOS;GPX3;HPGDS;KCND3;KCNN3;MMP28;NACC2;NM_003294;NM_024164;NOS3;NREP;NTRK2;NUSAP1;PRC1;SYNE3;TMSB15A;TPSAB1;TPX2;TSPAN2,NormalMyometrium_1;NormalMyometrium_4;NormalMyometrium_7;NormalMyometrium_14;NormalMyometrium_25;NormalMyometrium_28,31,6
23,ACKR4;CD69;CKS2;DPT;ECM2;EGR1;KLF4;NEK2;NM_004469;NTRK3;RCAN2;SCG5;TNFRSF11B;ZFP36,NormalMyometrium_6;NormalMyometrium_7;NormalMyometrium_9;NormalMyometrium_14;NormalMyometrium_16;NormalMyometrium_17;NormalMyometrium_20,14,7
68,ACSL5;CKAP2;EGFL6;FGFR2;RAPGEF4;SLCO2A1,NormalMyometrium_1;NormalMyometrium_2;NormalMyometrium_3;NormalMyometrium_7;NormalMyometrium_8;NormalMyometrium_9;NormalMyometrium_13;NormalMyometrium_15;NormalMyometrium_23;NormalMyometrium_25;NormalMyometrium_28,6,11
