"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0000819","sister chromatid segregation","16/174","234/18805",0.0683760683760684,7.38972394144808,9.50504203230492,5.7465404885528e-10,1.25211292564207e-06,9.54728475972436e-07,"701/891/983/1063/9787/1843/3832/24137/4751/51203/9055/6595/7153/22974/11065/11130",16
"BP","GO:0000280","nuclear division","21/174","448/18805",0.046875,5.06600215517241,8.41758324537476,1.13411465538332e-09,1.25211292564207e-06,9.54728475972436e-07,"259266/701/891/983/1063/1164/9787/1843/3832/24137/4603/4751/51203/9055/9232/28984/7153/22974/11065/7474/11130",21
"BP","GO:0098813","nuclear chromosome segregation","18/174","322/18805",0.0559006211180124,6.04144356393232,8.81816612961495,1.19972493673785e-09,1.25211292564207e-06,9.54728475972436e-07,"259266/701/891/983/1063/9787/1843/3832/24137/4751/51203/9055/9232/6595/7153/22974/11065/11130",18
"BP","GO:0000070","mitotic sister chromatid segregation","14/174","193/18805",0.0725388601036269,7.83961646119945,9.22986914502793,3.33793980858925e-09,2.61277238517323e-06,1.99222302260011e-06,"701/891/983/1063/9787/1843/3832/24137/4751/51203/9055/22974/11065/11130",14
"BP","GO:0048285","organelle fission","21/174","498/18805",0.0421686746987952,4.55736740063703,7.7752876339873,7.39167233452799e-09,4.62866521588143e-06,3.5293290220441e-06,"259266/701/891/983/1063/1164/9787/1843/3832/24137/4603/4751/51203/9055/9232/28984/7153/22974/11065/7474/11130",21
"BP","GO:0007611","learning or memory","15/174","282/18805",0.0531914893617021,5.74865492785522,7.76463714100953,5.94387752684883e-08,2.65861150522339e-05,2.02717507231476e-05,"267/10396/590/10882/1393/2353/3815/4311/65009/4739/4885/4915/5350/6505/6865",15
"BP","GO:0140014","mitotic nuclear division","15/174","282/18805",0.0531914893617021,5.74865492785522,7.76463714100953,5.94387752684883e-08,2.65861150522339e-05,2.02717507231476e-05,"701/891/983/1063/9787/1843/3832/24137/4751/51203/9055/28984/22974/11065/11130",15
"BP","GO:0050890","cognition","16/174","329/18805",0.0486322188449848,5.2559130768962,7.52607226330152,7.31917998306075e-08,2.8645440658704e-05,2.18419739494497e-05,"267/10396/590/10882/1393/11170/2353/3815/4311/65009/4739/4885/4915/5350/6505/6865",16
"BP","GO:0007059","chromosome segregation","18/174","431/18805",0.0417633410672854,4.51356108488679,7.13125473116819,1.08384263278572e-07,3.77056809250232e-05,2.87503519433686e-05,"259266/701/891/983/1063/9787/1843/3832/24137/4751/51203/9055/9232/6595/7153/22974/11065/11130",18
"BP","GO:0051783","regulation of nuclear division","11/174","147/18805",0.0748299319727891,8.08722339510517,8.33650294217039,1.23562960027264e-07,3.86875627845362e-05,2.94990308780878e-05,"701/891/1063/9787/1843/4751/51203/28984/11065/7474/11130",11
"BP","GO:0048511","rhythmic process","15/174","303/18805",0.0495049504950495,5.35023329919199,7.37744850584795,1.51580574438752e-07,4.31453435061575e-05,3.2898061514554e-05,"79365/983/1545/51514/3131/3397/4915/8864/5241/5350/5730/7130/7153/7291/7298",15
"BP","GO:0007088","regulation of mitotic nuclear division","10/174","121/18805",0.0826446280991736,8.93179443336183,8.45884113334739,1.85387806553955e-07,4.83707685267028e-05,3.68824162512606e-05,"701/891/1063/9787/1843/4751/51203/28984/11065/11130",10
"BP","GO:0007612","learning","11/174","160/18805",0.06875,7.43013649425287,7.89370063350366,2.92125205872001e-07,7.03572322757874e-05,5.36469608840242e-05,"10396/590/10882/2353/3815/65009/4885/4915/5350/6505/6865",11
"BP","GO:0033045","regulation of sister chromatid segregation","9/174","108/18805",0.0833333333333333,9.00622605363985,8.06371972458133,7.20870347924046e-07,0.000161217504239299,0.000122927364593364,"701/891/983/1063/9787/1843/6595/11065/11130",9
"BP","GO:0038063","collagen-activated tyrosine kinase receptor signaling pathway","7/174","58/18805",0.120689655172414,13.0434998018232,8.87733235145352,1.03976327705927e-06,0.000217033254698173,0.000165486534201434,"1277/1287/1288/2263/2321/3815/4915",7
"BP","GO:0010965","regulation of mitotic sister chromatid separation","7/174","62/18805",0.112903225806452,12.2019836855766,8.53793591041019,1.64863979498914e-06,0.000303640658712412,0.000231524152014575,"701/891/1063/9787/1843/11065/11130",7
"BP","GO:0038065","collagen-activated signaling pathway","7/174","62/18805",0.112903225806452,12.2019836855766,8.53793591041019,1.64863979498914e-06,0.000303640658712412,0.000231524152014575,"1277/1287/1288/2263/2321/3815/4915",7
"BP","GO:0051306","mitotic sister chromatid separation","7/174","65/18805",0.107692307692308,11.6388152077807,8.30322512230714,2.2800719998852e-06,0.000393140956494329,0.000299767583697537,"701/891/1063/9787/1843/11065/11130",7
"BP","GO:0030071","regulation of mitotic metaphase/anaphase transition","8/174","93/18805",0.0860215053763441,9.296749474725,7.75123687308503,2.38571643992087e-06,0.000393140956494329,0.000299767583697537,"701/891/1063/9787/1843/6595/11065/11130",8
"BP","GO:1902099","regulation of metaphase/anaphase transition of cell cycle","8/174","96/18805",0.0833333333333333,9.00622605363985,7.60010932730407,3.03406047511197e-06,0.000450323901639874,0.000343369230923106,"701/891/1063/9787/1843/6595/11065/11130",8
"BP","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","8/174","97/18805",0.0824742268041237,8.91337836236521,7.5511966453057,3.28095873929811e-06,0.000450323901639874,0.000343369230923106,"701/891/1063/9787/1843/6595/11065/11130",8
"BP","GO:0048545","response to steroid hormone","14/174","338/18805",0.0414201183431953,4.47646738760797,6.23275416636592,3.29731386114392e-06,0.000450323901639874,0.000343369230923106,"306/590/9076/1277/1545/11170/2353/3725/4747/5241/5730/6943/7057/7298",14
"BP","GO:0014831","gastro-intestinal system smooth muscle contraction","4/174","12/18805",0.333333333333333,36.0249042145594,11.728735296362,3.3080324936816e-06,0.000450323901639874,0.000343369230923106,"3357/3815/5733/6865",4
"BP","GO:0044784","metaphase/anaphase transition of cell cycle","8/174","100/18805",0.08,8.64597701149425,7.40859397571129,4.12644512400397e-06,0.000538329153469018,0.000410472699177237,"701/891/1063/9787/1843/6595/11065/11130",8
"BP","GO:0051384","response to glucocorticoid","9/174","136/18805",0.0661764705882353,7.15200304259635,6.9583637908819,4.94478087124477e-06,0.000619284356314695,0.000472200548041395,"306/590/9076/1545/11170/2353/4747/5730/7298",9
"BP","GO:0051983","regulation of chromosome segregation","9/174","137/18805",0.0656934306569343,7.09979864082557,6.92482095234435,5.25085759783783e-06,0.000632324428416548,0.00048214352355855,"701/891/983/1063/9787/1843/6595/11065/11130",9
"BP","GO:0044772","mitotic cell cycle phase transition","16/174","457/18805",0.0350109409190372,3.78379737920974,5.8221450150264,5.61125095623141e-06,0.000650697286813353,0.000496152716129935,"701/891/983/1063/1164/9787/51514/1843/11170/2305/9833/28984/6241/6595/11065/11130",16
"BP","GO:0071560","cellular response to transforming growth factor beta stimulus","13/174","308/18805",0.0422077922077922,4.56159501418122,6.09047138590614,6.10077798182427e-06,0.000682197709324707,0.000520171596345017,"25805/9076/1277/2263/2353/9518/3248/3397/3725/4693/6662/7057/7474",13
"BP","GO:1905818","regulation of chromosome separation","7/174","77/18805",0.0909090909090909,9.82497387669801,7.49885149771425,7.17542081741522e-06,0.000774698019976795,0.000590702519560716,"701/891/1063/9787/1843/11065/11130",7
"BP","GO:0071559","response to transforming growth factor beta","13/174","315/18805",0.0412698412698413,4.4602262360883,5.98512160127012,7.77118032197948e-06,0.000811052186270591,0.000618422349833314,"25805/9076/1277/2263/2353/9518/3248/3397/3725/4693/6662/7057/7474",13
"BP","GO:0048762","mesenchymal cell differentiation","12/174","275/18805",0.0436363636363636,4.71598746081505,5.9990784270031,1.00516371242964e-05,0.00101521534955393,0.00077409551775566,"25805/1000/1277/2263/3357/28984/6275/6662/6943/7074/7291/7474",12
