"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","12/110","254/9397",3.93301579740723e-05,0.00794469191076261,0.00712082860162152,"845/7852/2263/2321/9630/3357/4915/5350/5733/5737/6263/6865",12
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","6/110","101/9397",0.00115481324110643,0.0912234622947477,0.081763603515876,"1277/1287/1288/3725/6401/7056",6
NA,NA,"hsa04820","Cytoskeleton in muscle cells","9/110","232/9397",0.00155675556148475,0.0912234622947477,0.081763603515876,"288/1277/1287/1288/2199/4001/161176/7057/1462",9
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","5/110","75/9397",0.0018064051939554,0.0912234622947477,0.081763603515876,"891/983/5366/6241/7057",5
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","4/110","50/9397",0.00270589791949901,0.10931827594776,0.0979819878218588,"3040/3043/6401/7057",4
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","5/110","89/9397",0.0038184866330511,0.128555716646054,0.115224508927156,"1277/1287/1288/3161/7057",5
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","6/110","139/9397",0.00572627037767258,0.160175647942283,0.143565458291156,"2353/9687/3725/3860/3880/5241",6
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","6/110","142/9397",0.00634359001751617,0.160175647942283,0.143565458291156,"1843/2353/3725/10365/6401/7056",6
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","5/110","105/9397",0.00766941095504819,0.166999275985194,0.149681477172764,"1277/1287/1288/4311/6505",5
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","3/110","37/9397",0.00908257500544564,0.166999275985194,0.149681477172764,"3040/3043/6401",3
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","7/110","203/9397",0.00967142888783655,0.166999275985194,0.149681477172764,"1277/1287/1288/2012/2321/3725/7057",7
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","7/110","204/9397",0.00992074906842737,0.166999275985194,0.149681477172764,"288/1277/3236/7057/7074/7291/7474",7
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","5/110","130/9397",0.0180936132767742,0.281146913992953,0.251992022963981,"1277/1287/1288/2353/3725",5
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","5/110","137/9397",0.0221568418471327,0.292594505154837,0.262252500711995,"2353/3725/4001/5366/8743",5
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","8/110","300/9397",0.0242616977546525,0.292594505154837,0.262252500711995,"1843/2263/2321/2353/3725/3815/2122/4915",8
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","4/110","97/9397",0.0268375060294935,0.292594505154837,0.262252500711995,"2353/2982/8864/6263",4
"Organismal Systems","Endocrine system","hsa04614","Renin-angiotensin system","2/110","23/9397",0.0292736152005014,0.292594505154837,0.262252500711995,"2028/4311",2
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","4/110","100/9397",0.0295827381574575,0.292594505154837,0.262252500711995,"51554/10563/7852/8743",4
