Gene,Degree
AA889653,120
ABCB1,30
ABCG2,189
ACKR1,179
ACTG2,70
ADAM12,32
ADGRL3,8
ADGRL4,68
ADH1B,123
ADIRF,53
ADM,36
ADORA2B,103
ADRA2A,2
AF105974,11
AF180519,36
AF349571,12
AHNAK2,16
ALDH1A2,43
AMIGO2,90
ANK2,93
ANP32E,162
ANPEP,35
AOC3,74
APOBEC3B,76
APOC1,34
APOD,18
APOE,22
AQP1,10
AR,154
ARG2,18
ARHGEF3,36
ARL4C,70
ARMC9,10
ASF1B,170
ASPM,186
ASS1,31
ATAD2,190
ATF3,6
ATP1A2,23
ATRX,30
AURKA,197
AURKB,197
BAG2,66
BAMBI,12
BC005931,10
BCAM,84
BCHE,5
BCL11A,18
BEX4,92
BIRC5,188
BLM,174
BMAL2,61
BOP1,40
BST2,9
BTG2,65
BUB1,208
BUB1B,166
C14orf132,58
C1QB,41
C1RL,32
CA2,26
CADM1,29
CADPS2,40
CAMK2G,47
CAPN6,65
CASQ2,18
CAV1,58
CAV2,25
CAVIN2,86
CCDC69,143
CCN2,26
CCN3,4
CCNA2,194
CCNB1,185
CCNB2,187
CCNE1,45
CCNE2,167
CCNF,147
CD59,121
CD69,23
CDC20,189
CDC25A,182
CDC25C,186
CDC45,185
CDC6,151
CDC7,165
CDCA3,184
CDCA4,139
CDK1,177
CDK16,19
CDK2,159
CDT1,116
CEACAM1,65
CELF2,16
CENPA,175
CENPE,178
CENPF,208
CENPI,173
CENPM,143
CENPN,150
CEP43,20
CEP55,178
CFD,10
CFH,53
CFLAR,19
CHEK1,141
CHI3L1,14
CHL1,11
CHRDL1,95
CIT,157
CLDN1,115
CLIC2,7
CLIC5,5
CNR1,6
COL11A1,26
COL4A5,30
COL5A2,39
CPVL,50
CRIM1,49
CSGALNACT1,16
CSTA,49
CTSO,106
CXCR4,39
CYLD,12
CYP1B1,123
D43968,128
DBF4,82
DCN,36
DCX,41
DDX11,145
DES,128
DHFR,144
DHRS2,2
DIXDC1,59
DKK3,21
DLC1,29
DLGAP5,202
DNA2,139
DNAJB4,1
DSN1,189
DTL,183
E2F1,154
E2F8,174
ECT2,157
EFHD1,74
EGFL6,32
ELK3,57
EML1,8
ENC1,32
ENDOD1,43
ENO1,124
ENPEP,17
ENPP2,33
ENTREP1,73
EPB41L3,12
EPHA3,43
EPHX2,75
ERCC6L,198
ERG,28
ESPL1,198
ESR1,107
FANCI,173
FBLN1,6
