Origin	Destination	Weight1	Weight2	Weight3
151648	9133	1.0	0.8382353	0.95343137
151648	100874028	1.0	0.86764705	0.9607843
11339	57082	1.0	0.8382353	0.95343137
554282	728833	0.97036463	0.85294116	0.9607843
105378179	378706	1.0	0.9264706	0.97794116
100289137	253650	0.9522031	0.93846154	0.98263025
259266	9928	0.98539865	0.88235295	0.9730392
51299	105374898	0.98539865	0.86764705	0.96568626
101929215	7060	1.0	0.88235295	0.96813726
701	57082	1.0	0.85294116	0.96568626
701	653820	0.98539865	0.8382353	0.95343137
701	64151	1.0	0.85294116	0.9607843
701	728833	0.98539865	0.8235294	0.95343137
701	51203	1.0	0.9117647	0.98284316
11004	4998	1.0	0.8088235	0.95098037
11006	10437	1.0	0.86764705	0.9607843
4751	157313	1.0	0.8382353	0.95343137
4751	653820	0.98539865	0.8382353	0.95343137
4751	150468	1.0	0.8382353	0.9558824
4751	728833	0.98539865	0.85294116	0.95343137
6241	80119	1.0	0.8088235	0.95098037
6241	993	0.98539865	0.86764705	0.96568626
6241	9133	1.0	0.8382353	0.95098037
9824	57082	1.0	0.8382353	0.95098037
9824	81624	1.0	0.8382353	0.9558824
9824	64151	1.0	0.89705884	0.9583333
54821	4288	1.0	0.8382353	0.95098037
54821	3833	1.0	0.86764705	0.95343137
100533990	344	0.983801	1.0	1.0
915	27334	0.9634854	0.8634745	0.9699573
915	27240	0.95487833	0.89705884	0.9632353
915	914	0.95487833	0.86764705	0.96813726
915	6352	0.98539865	0.9558824	0.99019605
915	84636	0.97036463	0.8382353	0.9558824
81930	55789	1.0	0.86764705	0.9705882
220134	9837	1.0	0.89705884	0.9754902
925	926	0.95487833	0.86764705	0.9558824
51512	22974	1.0	0.89705884	0.97794116
51512	891	1.0	0.86764705	0.9607843
51512	3833	1.0	0.8235294	0.95098037
995	4001	0.98539865	0.86764705	0.96568626
4288	4001	1.0	0.88235295	0.9705882
157313	150468	1.0	0.88235295	0.9754902
157313	7153	1.0	0.8235294	0.95098037
157313	699	1.0	0.86764705	0.9632353
57082	653820	0.98539865	0.8382353	0.9558824
57082	64151	1.0	0.88235295	0.96568626
57082	728833	0.98539865	0.85294116	0.9607843
57082	51203	1.0	0.9117647	0.97794116
27240	6352	0.97036463	0.88235295	0.96568626
27240	3702	0.9634854	0.85294116	0.9558824
84419	100126311	0.9161209	0.9705882	0.99264705
103021296	338382	0.9849595	0.85294116	0.9583333
914	6352	0.97036463	0.9117647	0.97794116
1058	84057	0.98539865	0.8235294	0.95098037
723961	3481	0.0	1.0	1.0
22974	3833	1.0	0.86764705	0.9632353
124222	63967	1.0	0.8382353	0.95098037
146909	7468	1.0	0.85294116	0.95098037
113130	79019	0.98539865	0.8382353	0.95343137
78995	55388	1.0	0.89705884	0.9705882
100507118	983	1.0	0.86764705	0.9632353
100507118	9055	1.0	0.9558824	0.99264705
6352	1043	1.0	0.8382353	0.95098037
6352	84636	0.98539865	0.85294116	0.9583333
6352	921	0.97036463	0.8487143	0.9527899
11262	3575	0.97036463	0.85294116	0.96568626
11262	57823	1.0	0.8382353	0.95098037
112268460	10460	0.98539865	0.9117647	0.98039216
7272	11065	1.0	0.86764705	0.9632353
55247	83540	0.98539865	0.85294116	0.95343137
105373581	55240	0.97036463	0.86764705	0.9632353
24137	3833	1.0	0.88235295	0.9730392
3561	57823	1.0	0.88235295	0.9705882
10112	3833	0.98539865	0.85294116	0.9558824
149628	921	0.9694595	0.837037	0.95828223
653820	64151	0.98539865	0.86764705	0.9558824
653820	729533	0.98539865	0.9264706	0.9877451
653820	728833	0.97036463	0.89705884	0.96813726
56833	9595	0.98539865	0.86764705	0.96568626
9582	100874530	0.98539865	0.86764705	0.95343137
55143	11130	0.98539865	0.86764705	0.9583333
107987206	6029	1.0	1.0	1.0
9595	57823	0.98539865	0.86764705	0.9607843
9595	26191	0.97036463	0.86764705	0.9607843
9156	8318	1.0	0.86764705	0.9632353
4001	9833	1.0	0.85294116	0.9558824
25818	5650	0.75889504	0.9714286	0.99622643
4085	10733	1.0	0.85294116	0.95098037
1033	254251	1.0	0.86764705	0.95343137
150468	7153	1.0	0.85294116	0.95343137
150468	699	1.0	0.89705884	0.9754902
10721	54443	1.0	0.9117647	0.9754902
11065	100874028	1.0	0.85294116	0.9607843
8318	100874028	1.0	0.8235294	0.95343137
983	9055	1.0	0.85294116	0.95343137
7153	64151	1.0	0.8382353	0.9607843
64151	728833	0.98539865	0.9117647	0.98284316
