Gene1	Gene2	Weight
107987206	6029	1.0
100533990	344	0.9946003
100507118	9055	0.9828431
915	6352	0.977159
105378179	378706	0.96813726
653820	729533	0.96653813
701	51203	0.96486926
10721	54443	0.96241826
84419	100126311	0.9597854
112268460	10460	0.9591852
51512	22974	0.9583333
100289137	253650	0.9577649
220134	9837	0.9575164
78995	55388	0.9558824
24137	3833	0.9517974
4288	4001	0.95098037
3561	57823	0.95098037
101929215	7060	0.95016336
259266	9928	0.9469302
81930	55789	0.9460785
157313	699	0.9436274
100507118	983	0.9436274
7272	11065	0.9436274
9156	8318	0.9436274
151648	100874028	0.9428105
11006	10437	0.9428105
51512	891	0.9428105
54821	3833	0.9403594
1033	254251	0.9403594
51299	105374898	0.93957734
6241	993	0.93957734
995	4001	0.93957734
56833	9595	0.93957734
701	57082	0.9395425
915	27240	0.9383908
9595	57823	0.9379433
701	64151	0.9379085
11065	100874028	0.9379085
55143	11130	0.93712634
4001	9833	0.9362745
9582	100874530	0.93549234
146909	7468	0.93464047
4085	10733	0.93464047
105373581	55240	0.933749
9595	26191	0.9329321
915	27334	0.93230575
103021296	338382	0.93207794
10112	3833	0.9314074
4751	150468	0.9313726
9824	81624	0.9313726
55247	83540	0.9305904
151648	9133	0.9305556
11339	57082	0.9305556
4751	157313	0.9305556
915	914	0.9302209
6241	9133	0.9297386
9824	57082	0.9297386
54821	4288	0.9297386
124222	63967	0.9297386
6352	1043	0.9297386
11262	57823	0.9297386
11262	3575	0.9296641
554282	728833	0.92803
925	926	0.92613596
701	653820	0.92568845
4751	653820	0.92568845
113130	79019	0.92568845
8318	100874028	0.92565364
51512	3833	0.92483664
157313	7153	0.92483664
27240	3702	0.92410296
6352	921	0.9239562
149628	921	0.9215929
915	84636	0.92149407
701	728833	0.92078644
1058	84057	0.9199695
11004	4998	0.9199347
6241	80119	0.9199347
25818	5650	0.90885
723961	3481	0.6666667
701	51203	0.96486926
915	6352	0.977159
