interaction,Kendall,name,NMI,selected,shared interaction,shared name,Spearman,Weight
RN7SL2,0.9264706,LOC105378179,1.0,False,RN7SL2,LOC105378179,0.97794116,0.968137264251709
ANKRD18A,0.93846154,FAM95C,0.9522031,False,ANKRD18A,FAM95C,0.98263025,0.9577649235725404
CKAP2L,0.89705884,BUB1,1.0,False,CKAP2L,BUB1,0.9754902,0.9575163722038268
GINS1,0.89705884,SKA1,1.0,False,GINS1,SKA1,0.9754902,0.9575163722038268
MCM10,0.89705884,HROB,1.0,False,MCM10,HROB,0.9705882,0.9558823704719543
IL2RG,0.88235295,SLAMF7,1.0,False,IL2RG,SLAMF7,0.9705882,0.9509803652763368
THBS4,0.88235295,THBS4-AS1,1.0,False,THBS4,THBS4-AS1,0.96813726,0.9501633644104004
CDCA2,0.86764705,BUB1,1.0,False,CDCA2,BUB1,0.9632353,0.9436274170875548
CYTIP,0.86764705,SLAMF7,0.98539865,False,CYTIP,SLAMF7,0.9607843,0.9379432797431946
SP140,0.8382353,SLAMF7,1.0,False,SP140,SLAMF7,0.95098037,0.9297385811805724
TOP2A,0.8382353,BUB1,1.0,False,TOP2A,BUB1,0.9485294,0.928921639919281
ERCC6L,0.8235294,BUB1,1.0,False,ERCC6L,BUB1,0.9460784,0.9232026934623718
GPR174,0.8382353,SLAMF7,0.98539865,False,GPR174,SLAMF7,0.9411765,0.9216034412384032
CD8A,0.9166985,TRAT1,0.86922663,False,CD8A,TRAT1,0.97774273,0.9212226271629332
NEK2,0.8235294,BUB1,1.0,False,NEK2,BUB1,0.9387255,0.9207516312599182
RN7SL1,0.8235294,LOC105378179,1.0,False,RN7SL1,LOC105378179,0.9387255,0.9207516312599182
SLAMF8,0.8235294,SLAMF7,1.0,False,SLAMF8,SLAMF7,0.9362745,0.9199346899986268
DLX6-AS1,0.8793571,DLX6,0.9110675,False,DLX6-AS1,DLX6,0.9653174,0.9185807108879088
SPAG5,0.8235294,SKA1,1.0,False,SPAG5,SKA1,0.9264706,0.9166666865348816
CCL5,0.8088235,SLAMF7,1.0,False,CCL5,SLAMF7,0.9338235,0.9142157435417176
SPAG5,0.7941176,BUB1,1.0,False,SPAG5,BUB1,0.9289216,0.9076797366142272
PRAC2,0.87655455,MIR3185,0.9285906,False,PRAC2,MIR3185,0.9129703,0.906038463115692
PTPN22,0.7941176,SLAMF7,0.98539865,False,PTPN22,SLAMF7,0.9362745,0.905263602733612
CENPF,0.7941176,BUB1,1.0,False,CENPF,BUB1,0.9191176,0.904411792755127
PKMYT1,0.7941176,SKA1,1.0,False,PKMYT1,SKA1,0.9191176,0.904411792755127
