interaction,Kendall,name,NMI,selected,shared interaction,shared name,Spearman,Weight
ICMT-DT,1.0,MCIDAS,1.0,False,ICMT-DT,MCIDAS,1.0,1.0
GAGE12H,1.0,DLX6-AS1,1.0,False,GAGE12H,DLX6-AS1,1.0,1.0
FRGCA,1.0,MCIDAS,1.0,False,FRGCA,MCIDAS,1.0,1.0
LINC01971,1.0,TMEM171,1.0,False,LINC01971,TMEM171,1.0,1.0
FOXD3-AS1,0.83094895,LOC107985492,1.0,False,FOXD3-AS1,LOC107985492,0.8438159,0.8915882706642151
LOC105372115,0.83094895,CSAG3,1.0,False,LOC105372115,CSAG3,0.8438159,0.8915882706642151
DACT2,0.76799405,STMN2,0.97727835,False,DACT2,STMN2,0.8997089,0.8816604614257812
BUB1,0.76666665,NUSAP1,0.9508197,False,BUB1,NUSAP1,0.92058825,0.8793582320213318
MELK,0.75,NUSAP1,0.984127,False,MELK,NUSAP1,0.90294117,0.8790227770805359
APOC4-APOC2,0.9178263,APOC2,0.7470848,False,APOC4-APOC2,APOC2,0.96732014,0.8774104118347168
ANLN,0.76666665,NUSAP1,0.9677419,False,ANLN,NUSAP1,0.89411765,0.8761754035949707
SKA1,0.78333336,PRC1-AS1,0.92403245,False,SKA1,PRC1-AS1,0.91764706,0.8750042915344238
LINC01016,0.78333336,LOC105375027,0.90827006,False,LINC01016,LOC105375027,0.9264706,0.8726913332939148
CEP55,0.73333335,NUSAP1,0.984127,False,CEP55,NUSAP1,0.89411765,0.8705260157585144
SLC26A9,0.797925,LOC105374986,1.0,False,SLC26A9,LOC105374986,0.81053984,0.8694882392883301
CDC20,0.75,SPAG5,0.9677419,False,CDC20,SPAG5,0.87941176,0.865717887878418
LUCAT1,0.9310345,LOC107985492,0.6706538,False,LUCAT1,LOC107985492,0.9911111,0.8642664551734924
CDK1,0.71666664,NUSAP1,0.984127,False,CDK1,NUSAP1,0.87941176,0.8600685000419617
UHRF1,0.71666664,NUSAP1,0.984127,False,UHRF1,NUSAP1,0.87352943,0.8581077456474304
HMMR,0.75,TTK,0.91525424,False,HMMR,TTK,0.90588236,0.8570454716682434
TOP2A,0.71666664,NUSAP1,0.984127,False,TOP2A,NUSAP1,0.86470586,0.855166494846344
ZWINT,0.75,TTK,0.91525424,False,ZWINT,TTK,0.89705884,0.8541043400764465
IQGAP3,0.73333335,ESPL1,0.984127,False,IQGAP3,ESPL1,0.84411764,0.8538593649864197
NUF2,0.68333334,NUSAP1,1.0,False,NUF2,NUSAP1,0.86764705,0.8503268361091614
KLK7,0.72803986,KLK5,0.9508197,False,KLK7,KLK5,0.8653424,0.8480672836303711
CKAP2L,0.73333335,CDCA2,0.9015527,False,CKAP2L,CDCA2,0.9,0.844961941242218
LOC107984763,0.765559,LPAR3,0.93286014,False,LOC107984763,LPAR3,0.82358265,0.8406672477722168
TOP2A,0.71666664,PRC1-AS1,0.91525424,False,TOP2A,PRC1-AS1,0.8882353,0.84005206823349
UHRF1,0.71666664,PRC1-AS1,0.91525424,False,UHRF1,PRC1-AS1,0.8882353,0.84005206823349
NCAPH,0.73333335,TTK,0.8965517,False,NCAPH,TTK,0.87941176,0.8364322781562805
SHCBP1,0.68333334,NUSAP1,0.984127,False,SHCBP1,NUSAP1,0.84117645,0.8362122178077698
CDCA5,0.71666664,PRC1-AS1,0.93333334,False,CDCA5,PRC1-AS1,0.85588235,0.8352940678596497
ANLN,0.7,TTK,0.91525424,False,ANLN,TTK,0.88529414,0.8335161209106445
ASPM,0.6666667,SPAG5,0.9677419,False,ASPM,SPAG5,0.86470586,0.8330381512641907
IGLV3-1,0.7544335,IGKJ5,0.89503926,False,IGLV3-1,IGKJ5,0.84448475,0.8313191533088684
PRR9,0.7676103,KRT71,0.8806598,False,PRR9,KRT71,0.83906454,0.8291115760803223
KIF23,0.65,ARHGAP11A,0.9677419,False,KIF23,ARHGAP11A,0.85588235,0.8245413899421692
SKA1,0.65,NUSAP1,0.9614192,False,SKA1,NUSAP1,0.85588235,0.8224338889122009
TOP2A,0.68333334,KNL1,0.91525424,False,TOP2A,KNL1,0.86470586,0.8210977911949158
TENM2,0.6945667,IRF6,0.90827006,False,TENM2,IRF6,0.85798407,0.8202736377716064
CEP55,0.6666667,TTK,0.93333334,False,CEP55,TTK,0.85588235,0.8186274170875549
MKI67,0.65,SPAG5,1.0,False,MKI67,SPAG5,0.80588233,0.8186274170875549
NCAPH,0.6666667,NUSAP1,0.9508197,False,NCAPH,NUSAP1,0.8382353,0.8185738921165466
UHRF1,0.68333334,TTK,0.93333334,False,UHRF1,TTK,0.8382353,0.8183006644248962
THBS4-AS1,0.6333333,COL8A1,0.984127,False,THBS4-AS1,COL8A1,0.8352941,0.8175848126411438
SHCBP1,0.68333334,KNL1,0.91525424,False,SHCBP1,KNL1,0.85294116,0.8171761631965637
AURKB,0.65,SPAG5,0.984127,False,AURKB,SPAG5,0.8088235,0.8143168091773987
NCAPG,0.68333334,KNL1,0.93333334,False,NCAPG,KNL1,0.82058823,0.8124182820320129
SPC25,0.6333333,SPAG5,0.9677419,False,SPC25,SPAG5,0.8352941,0.8121231198310852
CEP55,0.6666667,KNL1,0.91525424,False,CEP55,KNL1,0.85294116,0.8116207122802734
PCLAF,0.6666667,KNL1,0.9491525,False,PCLAF,KNL1,0.81764704,0.811155378818512
NEK2,0.7,TTK,0.877193,False,NEK2,TTK,0.85588235,0.8110251426696777
LMNB1,0.6333333,NUSAP1,0.984127,False,LMNB1,NUSAP1,0.8117647,0.8097416758537292
LUARIS,0.6851852,LOC105373150,1.0,False,LUARIS,LOC105373150,0.7423858,0.8091903328895569
PCLAF,0.65,E2F2,0.93333334,False,PCLAF,E2F2,0.84411764,0.8091502785682678
NUF2,0.65,KNL1,0.93333334,False,NUF2,KNL1,0.84117645,0.8081699013710022
MYBL2,0.65,SPAG5,0.9677419,False,MYBL2,SPAG5,0.8029412,0.8068943023681641
CEP55,0.6666667,PRC1-AS1,0.91525424,False,CEP55,PRC1-AS1,0.8352941,0.8057382702827454
SKA3,0.68333334,TTK,0.88932383,False,SKA3,TTK,0.84411764,0.8055915832519531
KIFC1,0.65,ESPL1,0.9508197,False,KIFC1,ESPL1,0.8147059,0.8051751255989075
PBK,0.6666667,PRC1-AS1,0.93333334,False,PBK,PRC1-AS1,0.8147059,0.8049020171165466
HMMR,0.6166667,NUSAP1,0.9677419,False,HMMR,NUSAP1,0.82941175,0.8046067357063293
NCAPG,0.6166667,NUSAP1,1.0,False,NCAPG,NUSAP1,0.7970588,0.8045751452445984
PRR11,0.6166667,SPAG5,1.0,False,PRR11,SPAG5,0.7941176,0.8035947680473328
UBE2C,0.65,PRC1-AS1,0.93333334,False,UBE2C,PRC1-AS1,0.8264706,0.8032679557800293
SKA1,0.65,SPAG5,0.9614192,False,SKA1,SPAG5,0.7970588,0.8028259873390198
CDCA5,0.6166667,SPAG5,1.0,False,CDCA5,SPAG5,0.7911765,0.8026143908500671
LOC107985017,0.6666667,ESPL1,0.89285713,False,LOC107985017,ESPL1,0.84117645,0.8002334237098694
HJURP,0.6666667,KNL1,0.91525424,False,HJURP,KNL1,0.81764704,0.7998559474945068
PTTG1,0.6166667,SPAG5,0.984127,False,PTTG1,SPAG5,0.7970588,0.7992841601371765
RRM2,0.6166667,NUSAP1,0.984127,False,RRM2,NUSAP1,0.7941176,0.7983037829399109
SKA3,0.68333334,PRC1-AS1,0.86970836,False,SKA3,PRC1-AS1,0.8382353,0.7970923781394958
CDC20,0.65,PRC1-AS1,0.8965517,False,CDC20,PRC1-AS1,0.84117645,0.7959094047546387
KIF4A,0.6666667,PRC1-AS1,0.88534427,False,KIF4A,PRC1-AS1,0.8352941,0.7957684397697449
CDK1,0.6166667,KNL1,0.9491525,False,CDK1,KNL1,0.81764704,0.7944887280464172
LOC105375690,0.83094895,LOC107985492,0.70732546,False,LOC105375690,LOC107985492,0.8438159,0.7940301299095154
JCHAIN,0.6166667,RUNX3,0.9265807,False,JCHAIN,RUNX3,0.8382353,0.7938275933265686
CMTM5,0.6166667,IRS4,0.984127,False,CMTM5,IRS4,0.7764706,0.7924214005470276
LINC01943,0.65,IRX3,0.877193,False,LINC01943,IRX3,0.85,0.792397677898407
SHCBP1,0.65,PRC1-AS1,0.91525424,False,SHCBP1,PRC1-AS1,0.8117647,0.7923396229743958
SMOC2,0.6160831,STMN2,0.9614192,False,SMOC2,STMN2,0.7994135,0.7923052310943604
KNL1,0.6333333,NUSAP1,0.93333334,False,KNL1,NUSAP1,0.8088235,0.7918300628662109
TRAT1,0.7220712,SLC27A2,0.83993757,False,TRAT1,SLC27A2,0.8107929,0.7909339070320129
HJURP,0.6,NUSAP1,0.984127,False,HJURP,NUSAP1,0.7882353,0.790787398815155
SPC25,0.6666667,PRC1-AS1,0.8965517,False,SPC25,PRC1-AS1,0.8088235,0.7906806468963623
MELK,0.65,PRC1-AS1,0.91525424,False,MELK,PRC1-AS1,0.80588233,0.7903788685798645
IQGAP3,0.5833333,NUSAP1,1.0,False,IQGAP3,NUSAP1,0.7852941,0.7895424365997314
SLAMF9,0.83992106,ILDR1,0.6706538,False,SLAMF9,ILDR1,0.85588473,0.7888198494911194
E2F7,0.6166667,NUSAP1,0.9677419,False,E2F7,NUSAP1,0.7794118,0.7879400849342346
LOC100288637,0.65,TTK,0.91525424,False,LOC100288637,TTK,0.7970588,0.7874376773834229
IQGAP3,0.6166667,PRC1-AS1,0.93333334,False,IQGAP3,PRC1-AS1,0.8117647,0.7872548699378967
BIRC5,0.6333333,PRC1-AS1,0.93333334,False,BIRC5,PRC1-AS1,0.7941176,0.786928117275238
CXCL9,0.610884,CXCL10,0.93333334,False,CXCL9,CXCL10,0.8153056,0.7865076065063477
RUNX3,0.6,TRAC,0.984127,False,RUNX3,TRAC,0.7705882,0.7849050164222717
KRT31,0.68657154,KRT71,0.8697488,False,KRT31,KRT71,0.794435,0.7835850715637207
BUB1,0.6333333,TTK,0.8965517,False,BUB1,TTK,0.82058823,0.7834911346435547
FAM72B,0.65,MAD2L1,0.85714287,False,FAM72B,MAD2L1,0.84117645,0.7827730774879456
