"interaction","Kendall","name","NMI","selected","shared interaction","shared name","Spearman","Weight"
"345643","1.0","148645","1.0","false","345643","148645","1.0","1.0"
"106481742","1.0","148645","1.0","false","106481742","148645","1.0","1.0"
"107987206","1.0","6029","1.0","false","107987206","6029","1.0","1.0"
"729442","1.0","285987","1.0","false","729442","285987","1.0","1.0"
"134285","1.0","105371927","1.0","false","134285","105371927","1.0","1.0"
"3481","0.98333335","723961","1.0","false","3481","723961","0.9970588","0.9934640526771545"
"84182","0.96666664","100526825","1.0","false","84182","100526825","0.9941176","0.9869281649589539"
"105378179","0.96666664","6029","1.0","false","105378179","6029","0.9941176","0.9869281649589539"
"378706","0.95","6029","1.0","false","378706","6029","0.9882353","0.979411780834198"
"283120","0.93333334","103344718","1.0","false","283120","103344718","0.9882353","0.9738562107086182"
"101929215","0.9166667","7060","0.984127","false","101929215","7060","0.9823529","0.9610488414764404"
"112267876","0.9","103344718","1.0","false","112267876","103344718","0.9764706","0.9588235020637512"
"6066","0.8833333","6029","1.0","false","6066","6029","0.9705882","0.9513071179389954"
"55107","0.8833333","8622","1.0","false","55107","8622","0.9617647","0.9483659863471985"
"84253","0.8666667","112268056","1.0","false","84253","112268056","0.9647059","0.943790853023529"
"102724852","0.8666667","103344718","1.0","false","102724852","103344718","0.9647059","0.943790853023529"
"338382","0.8666667","103021296","1.0","false","338382","103021296","0.9617647","0.9428104758262634"
"57823","0.8833333","6352","0.9508197","false","57823","6352","0.9647059","0.9329529404640198"
"93589","0.8333333","3856","1.0","false","93589","3856","0.95","0.9277777671813965"
"441376","0.8451957","105375715","0.984127","false","441376","105375715","0.94922763","0.9261834621429443"
"115677","0.8333333","3429","1.0","false","115677","3429","0.9382353","0.9238561987876892"
"6332","0.8333333","107985770","0.984127","false","6332","107985770","0.9529412","0.9234671592712402"
"714","0.81666666","920","1.0","false","714","920","0.9470588","0.9212417602539062"
"29941","0.8333333","79825","1.0","false","29941","79825","0.92941177","0.9209149479866028"
"348235","0.85","107984131","0.9677419","false","348235","107984131","0.94411767","0.920619785785675"
"54443","0.8666667","55165","0.9508197","false","54443","55165","0.94411767","0.920534610748291"
"7083","0.8333333","5888","0.984127","false","7083","5888","0.9382353","0.9185652136802673"
"80342","0.81666666","3683","1.0","false","80342","3683","0.9352941","0.9173202514648438"
"55286","0.81666666","85301","0.984127","false","55286","85301","0.95","0.9169312119483948"
"55010","0.8666667","5367","0.91525424","false","55010","5367","0.9617647","0.914561927318573"
"64077","0.8","100130733","1.0","false","64077","100130733","0.9382353","0.9127450585365295"
"10437","0.8","1890","1.0","false","10437","1890","0.9382353","0.9127450585365295"
"7146","0.8","7148","1.0","false","7146","7148","0.9382353","0.9127450585365295"
"128239","0.81666666","5888","0.984127","false","128239","5888","0.9352941","0.9120292663574219"
"677775","0.81666666","6029","0.984127","false","677775","6029","0.9352941","0.9120292663574219"
"4521","0.8","6029","1.0","false","4521","6029","0.9352941","0.9117646813392639"
"2056","0.81666666","1869","0.9677419","false","2056","1869","0.94411767","0.9095087051391602"
"11314","0.8","11151","1.0","false","11314","11151","0.9264706","0.9088234901428223"
"11262","0.8333333","3683","0.9442873","false","11262","3683","0.9470588","0.908226490020752"
"3310","0.8","84868","1.0","false","3310","84868","0.9235294","0.9078431129455566"
"983","0.81666666","55165","0.9677419","false","983","55165","0.9382353","0.9075479507446289"
"1301","0.81666666","107985770","0.9677419","false","1301","107985770","0.9352941","0.9065675735473633"
"55038","0.8","953","0.984127","false","55038","953","0.9352941","0.906473696231842"
"55872","0.8","55165","0.984127","false","55872","55165","0.9352941","0.906473696231842"
"3932","0.78333336","6352","1.0","false","3932","6352","0.9352941","0.9062091708183289"
"4521","0.8","55300","1.0","false","4521","55300","0.91764706","0.9058823585510254"
"3161","0.81666666","55165","0.9508197","false","3161","55165","0.95","0.9058287739753723"
"90865","0.8","4085","0.984127","false","90865","4085","0.92941177","0.904512882232666"
"57648","0.78333336","7430","1.0","false","57648","7430","0.9264706","0.9032679200172424"
"2151","0.81666666","11036","0.9677419","false","2151","11036","0.9235294","0.902646005153656"
"3702","0.81666666","925","0.9677419","false","3702","925","0.9235294","0.902646005153656"
"113130","0.8","9232","0.984127","false","113130","9232","0.9235294","0.9025521278381348"
"3561","0.78333336","3683","0.984127","false","3561","3683","0.9382353","0.9018985629081726"
"28959","0.78333336","55365","0.984127","false","28959","55365","0.9382353","0.9018985629081726"
"79825","0.8","29015","0.984127","false","79825","29015","0.92058825","0.9015717506408691"
"92369","0.85","401021","0.90119535","false","92369","401021","0.9529412","0.901378870010376"
"115362","0.8333333","149628","0.9265807","false","115362","149628","0.94411767","0.9013438820838928"
"1063","0.81666666","9212","0.9442873","false","1063","9212","0.9411765","0.9007101058959961"
"112268426","0.8","7852","0.9614192","false","112268426","7852","0.9382353","0.8998848795890808"
"8320","0.8","3683","0.9677419","false","8320","3683","0.92941177","0.8990511894226074"
"23204","0.78333336","3835","1.0","false","23204","3835","0.9117647","0.8983659744262695"
"54440","0.78333336","3561","0.984127","false","54440","3561","0.9264706","0.8979769349098206"
"54749","0.78333336","3619","0.984127","false","54749","3619","0.9235294","0.8969965577125549"
"375444","0.78333336","6299","0.984127","false","375444","6299","0.9235294","0.8969965577125549"
"1063","0.8","332","0.9614192","false","1063","332","0.92941177","0.8969437479972839"
"6241","0.8","9212","0.9677419","false","6241","9212","0.92058825","0.8961100578308105"
"1622","0.78333336","286749","0.984127","false","1622","286749","0.92058825","0.8960161805152893"
"1718","0.76666665","2324","1.0","false","1718","2324","0.91764706","0.8947712779045105"
"991","0.8","9232","0.9508197","false","991","9232","0.93235296","0.894390881061554"
"5880","0.78333336","3683","0.984127","false","5880","3683","0.9147059","0.8940553665161133"
"11184","0.8","80342","0.9508197","false","11184","80342","0.92941177","0.8934105038642883"
"7378","0.76666665","8928","0.984127","false","7378","8928","0.92941177","0.8934018015861511"
"80010","0.78333336","5422","0.984127","false","80010","5422","0.9117647","0.8930749893188477"
"10561","0.78333336","91543","0.984127","false","10561","91543","0.9117647","0.8930749893188477"
"9212","0.78333336","5888","0.9677419","false","9212","5888","0.9264706","0.892515242099762"
"7153","0.78333336","55165","0.9677419","false","7153","55165","0.9264706","0.892515242099762"
"375449","0.75","7466","1.0","false","375449","7466","0.9264706","0.8921568393707275"
"5106","0.76666665","225","1.0","false","5106","225","0.90882355","0.8918300271034241"
"6241","0.76666665","64151","0.984127","false","6241","64151","0.9235294","0.8914410471916199"
"23204","0.76666665","7027","1.0","false","23204","7027","0.90588236","0.8908496499061584"
"84525","0.76666665","126326","1.0","false","84525","126326","0.90588236","0.8908496499061584"
"55165","0.78333336","79801","0.9677419","false","55165","79801","0.92058825","0.8905544877052307"
"23550","0.76666665","752","0.984127","false","23550","752","0.92058825","0.8904606699943542"
"3561","0.78333336","752","0.984127","false","3561","752","0.90294117","0.8901338577270508"
"3687","0.78333336","3683","0.9677419","false","3687","3683","0.91764706","0.8895741105079651"
"79019","0.8","8318","0.9508197","false","79019","8318","0.91764706","0.889488935470581"
"342035","0.81666666","160518","0.90827006","false","342035","160518","0.9411765","0.8887043595314026"
"9787","0.78333336","5888","0.9677419","false","9787","5888","0.9147059","0.8885936737060547"
