"interaction","Kendall","name","NMI","selected","shared interaction","shared name","Spearman","Weight"
"100533990","1.0","344","0.983801","false","100533990","344","1.0","0.9946002960205078"
"51203","0.9117647","701","1.0","false","51203","701","0.98284316","0.9648692607879639"
"100126311","0.9705882","84419","0.9161209","false","100126311","84419","0.99264705","0.9597854018211365"
"10460","0.9117647","112268460","0.98539865","false","10460","112268460","0.98039216","0.9591851830482483"
"100289137","0.93846154","253650","0.9522031","false","100289137","253650","0.98263025","0.9577649235725403"
"338376","0.92781705","554202","0.94629127","false","338376","554202","0.9789931","0.9510338306427002"
"101929690","0.9331953","105370924","0.922679","false","101929690","105370924","0.9760432","0.9439725279808044"
"51512","0.86764705","891","1.0","false","51512","891","0.9607843","0.9428104758262634"
"57082","0.85294116","701","1.0","false","57082","701","0.96568626","0.9395424723625183"
"64151","0.85294116","701","1.0","false","64151","701","0.9607843","0.9379084706306458"
"4001","0.85294116","9833","1.0","false","4001","9833","0.9558824","0.936274528503418"
"9582","0.86764705","100874530","0.98539865","false","9582","100874530","0.95343137","0.9354923367500305"
"983","0.85294116","9055","1.0","false","983","9055","0.95343137","0.9354575276374817"
"150468","0.8382353","4751","1.0","false","150468","4751","0.9558824","0.9313725829124451"
"157313","0.8382353","4751","1.0","false","157313","4751","0.95343137","0.9305555820465088"
"9133","0.8382353","6241","1.0","false","9133","6241","0.95098037","0.9297385811805725"
"653820","0.8382353","701","0.98539865","false","653820","701","0.95343137","0.9256884455680847"
"54821","0.8382353","9833","1.0","false","54821","9833","0.9338235","0.9240196347236633"
"3627","0.8235294","4283","1.0","false","3627","4283","0.9436275","0.9223856925964355"
"1063","0.8235294","4751","1.0","false","1063","4751","0.9411765","0.9215686321258545"
"83540","0.8235294","64151","1.0","false","83540","64151","0.9411765","0.9215686321258545"
"728833","0.8235294","701","0.98539865","false","728833","701","0.95343137","0.920786440372467"
"699","0.8235294","4751","1.0","false","699","4751","0.9387255","0.9207516312599182"
"55789","0.8382353","284958","0.98539865","false","55789","284958","0.9362745","0.9199694991111755"
"1750","0.8793571","285987","0.9110675","false","1750","285987","0.9653174","0.9185807108879089"
"2305","0.8088235","891","1.0","false","2305","891","0.9411765","0.9166666865348816"
"10615","0.8235294","220134","1.0","false","10615","220134","0.9264706","0.9166666865348816"
"9824","0.8088235","701","1.0","false","9824","701","0.9362745","0.915032684803009"
"55165","0.8235294","10721","1.0","false","55165","10721","0.92156863","0.915032684803009"
"89958","0.8088235","7272","1.0","false","89958","7272","0.9362745","0.915032684803009"
"9055","0.8088235","10721","1.0","false","9055","10721","0.9313725","0.9133987426757812"
"146909","0.8088235","64151","1.0","false","146909","64151","0.9313725","0.9133987426757812"
"23397","0.8088235","9833","1.0","false","23397","9833","0.9313725","0.9133987426757812"
"1062","0.8088235","9833","1.0","false","1062","9833","0.9313725","0.9133987426757812"
"332","0.8235294","9156","1.0","false","332","9156","0.9166667","0.9133987426757812"
"113130","0.8088235","89958","1.0","false","113130","89958","0.9289216","0.912581741809845"
"81930","0.8235294","284958","0.98539865","false","81930","284958","0.9264706","0.9117994904518127"
"63967","0.8088235","991","1.0","false","63967","991","0.9264706","0.9117646813392639"
"24137","0.8088235","891","1.0","false","24137","891","0.92401963","0.9109477400779724"
"1033","0.8235294","701","1.0","false","1033","701","0.90686274","0.9101307392120361"
"7153","0.8088235","701","1.0","false","7153","701","0.9191176","0.9093137383460999"
"64151","0.7941176","4751","1.0","false","64151","4751","0.9338235","0.9093137383460999"
"81930","0.8088235","891","1.0","false","81930","891","0.9191176","0.9093137383460999"
"25818","0.9714286","5650","0.75889504","false","25818","5650","0.99622643","0.9088500142097473"
"9493","0.8088235","701","1.0","false","9493","701","0.9166667","0.9084967970848083"
"4605","0.7941176","9156","1.0","false","4605","9156","0.9289216","0.9076797366142273"
"11130","0.8088235","701","1.0","false","11130","701","0.9117647","0.906862735748291"
"332","0.7941176","55771","1.0","false","332","55771","0.9264706","0.906862735748291"
"221150","0.7941176","64151","1.0","false","221150","64151","0.9264706","0.906862735748291"
"284403","0.7941176","79733","0.98539865","false","284403","79733","0.9387255","0.9060805439949036"
"360205","0.87655455","100422978","0.9285906","false","360205","100422978","0.9129703","0.9060384631156921"
"81930","0.7941176","9833","1.0","false","81930","9833","0.92156863","0.9052287936210632"
"864","0.8191938","105376878","0.9489113","false","864","105376878","0.9454324","0.9045124650001526"
"100048912","0.7941176","1029","0.98539865","false","100048912","1029","0.9338235","0.9044466018676758"
"729533","0.7941176","701","1.0","false","729533","701","0.9191176","0.904411792755127"
"151648","0.7941176","6241","1.0","false","151648","6241","0.9191176","0.904411792755127"
