interaction,Kendall,name,NMI,selected,shared interaction,shared name,Spearman,Weight
APOC2,1.0,APOC4-APOC2,0.983801,False,APOC2,APOC4-APOC2,1.0,0.9946002960205078
C15orf48,0.9705882,MIR147B,0.9161209,False,C15orf48,MIR147B,0.99264705,0.9597854018211364
ANKRD18A,0.93846154,FAM95C,0.9522031,False,ANKRD18A,FAM95C,0.98263025,0.9577649235725404
SKA1,0.89705884,GINS1,1.0,False,SKA1,GINS1,0.9754902,0.9575163722038268
MIR31HG,0.92781705,IFNE,0.94629127,False,MIR31HG,IFNE,0.9789931,0.9510338306427002
THBS4-AS1,0.88235295,THBS4,1.0,False,THBS4-AS1,THBS4,0.96813726,0.9501633644104004
ASPM,0.88235295,KIF14,0.98539865,False,ASPM,KIF14,0.9730392,0.9469302296638488
LINC01583,0.9331953,LOC105370924,0.922679,False,LINC01583,LOC105370924,0.9760432,0.9439725279808044
TTK,0.86764705,UBE2C,1.0,False,TTK,UBE2C,0.9632353,0.9436274170875548
SLAMF8,0.86764705,CYTIP,0.98539865,False,SLAMF8,CYTIP,0.96568626,0.939577341079712
NRN1,0.86764705,LOC105374898,0.98539865,False,NRN1,LOC105374898,0.96568626,0.939577341079712
SLAMF7,0.86764705,CYTIP,0.98539865,False,SLAMF7,CYTIP,0.9607843,0.9379432797431946
SGO1-AS1,0.85294116,UBE2C,1.0,False,SGO1-AS1,UBE2C,0.9607843,0.9379084706306458
APOBEC3B,0.86764705,APOBEC3B-AS1,0.98539865,False,APOBEC3B,APOBEC3B-AS1,0.95343137,0.9354923367500304
CKAP2L,0.85294116,TOP2A,1.0,False,CKAP2L,TOP2A,0.95343137,0.9354575276374816
ARHGAP11A,0.85294116,TOP2A,1.0,False,ARHGAP11A,TOP2A,0.9485294,0.9338235259056092
LMNB1,0.85294116,UBE2C,1.0,False,LMNB1,UBE2C,0.9485294,0.9338235259056092
STEAP3,0.86764705,LOC105373581,0.97036463,False,STEAP3,LOC105373581,0.9632353,0.93374902009964
NCAPG,0.8382353,TOP2A,1.0,False,NCAPG,TOP2A,0.9607843,0.9330065846443176
PTPN22,0.86764705,CYTIP,0.97036463,False,PTPN22,CYTIP,0.9607843,0.9329320788383484
RAB7B,0.85294116,SLC26A9-AS1,0.9849595,False,RAB7B,SLC26A9-AS1,0.9583333,0.932077944278717
ARHGAP11A,0.8382353,CENPF,1.0,False,ARHGAP11A,CENPF,0.9485294,0.928921639919281
MAD2L1,0.8382353,UHRF1,1.0,False,MAD2L1,UHRF1,0.9485294,0.928921639919281
BUB1,0.8382353,TOP2A,1.0,False,BUB1,TOP2A,0.9485294,0.928921639919281
RN7SL1,0.8382353,RN7SL2,1.0,False,RN7SL1,RN7SL2,0.9485294,0.928921639919281
KIF18A,0.8382353,DLGAP5,1.0,False,KIF18A,DLGAP5,0.9460784,0.9281045794487
IFI30,0.85294116,CYTIP,0.98539865,False,IFI30,CYTIP,0.9436275,0.9273223876953124
ADM2,0.88235295,MIOX,0.93891907,False,ADM2,MIOX,0.95343137,0.9249011874198914
CDCA2,0.8235294,TOP2A,1.0,False,CDCA2,TOP2A,0.95098037,0.9248366355895996
RACGAP1,0.8235294,CENPF,1.0,False,RACGAP1,CENPF,0.9460784,0.9232026934623718
NEK2,0.8235294,CENPF,1.0,False,NEK2,CENPF,0.9411765,0.9215686321258544
MKI67,0.8235294,UBE2C,1.0,False,MKI67,UBE2C,0.9387255,0.9207516312599182
GPR84,0.8235294,TREM2,1.0,False,GPR84,TREM2,0.9387255,0.9207516312599182
PDCD1,0.8634745,CXCR3,0.94108313,False,PDCD1,CXCR3,0.9576948,0.9207507967948914
CD96,0.8382353,CXCR6,0.98539865,False,CD96,CXCR6,0.9362745,0.9199694991111756
