interaction,Kendall,name,NMI,selected,shared interaction,shared name,Spearman,Weight
ICMT-DT,1.0,FRGCA,1.0,False,ICMT-DT,FRGCA,1.0,1.0
LINC01971,1.0,TMEM171,1.0,False,LINC01971,TMEM171,1.0,1.0
MCIDAS,1.0,FRGCA,1.0,False,MCIDAS,FRGCA,1.0,1.0
GAGE12H,1.0,DLX6-AS1,1.0,False,GAGE12H,DLX6-AS1,1.0,1.0
COCH,0.8786688,LOC100506071,0.8777288,False,COCH,LOC100506071,0.965416,0.9072712063789368
COL11A1,0.78333336,SCN7A,0.9836066,False,COL11A1,SCN7A,0.9264706,0.8978034853935242
FOXD3-AS1,0.83094895,LOC107985492,1.0,False,FOXD3-AS1,LOC107985492,0.8438159,0.8915882706642151
LOC105372115,0.83094895,CSAG3,1.0,False,LOC105372115,CSAG3,0.8438159,0.8915882706642151
AURKB,0.78333336,CCNB2,0.9508197,False,AURKB,CCNB2,0.92941177,0.8878548741340637
SLC12A5-AS1,0.8,MMP9,0.9508197,False,SLC12A5-AS1,MMP9,0.9117647,0.887528121471405
CENPF,0.8,CCNB2,0.9265807,False,CENPF,CCNB2,0.9352941,0.8872916102409363
DACT2,0.76799405,STMN2,0.97727835,False,DACT2,STMN2,0.8997089,0.8816604614257812
CDC20,0.78333336,CCNB2,0.93333334,False,CDC20,CCNB2,0.92058825,0.8790850043296814
APOC4-APOC2,0.9178263,APOC2,0.7470848,False,APOC4-APOC2,APOC2,0.96732014,0.8774104118347168
BIRC5,0.76666665,CCNB2,0.9677419,False,BIRC5,CCNB2,0.8882353,0.8742146492004395
MKI67,0.75,CCNB2,0.9677419,False,MKI67,CCNB2,0.90294117,0.8735610842704773
UHRF1,0.76666665,SKA3,0.9265807,False,UHRF1,SKA3,0.9264706,0.873239278793335
LOC105375027,0.78333336,LINC01016,0.90827006,False,LOC105375027,LINC01016,0.9264706,0.8726913332939148
CCNB1,0.78333336,SKA3,0.9442873,False,CCNB1,SKA3,0.8882353,0.8719519972801208
ASPM,0.76666665,CCNB2,0.93333334,False,ASPM,CCNB2,0.9147059,0.8715686798095703
SERPINA1,0.73333335,IFI30,1.0,False,SERPINA1,IFI30,0.87647057,0.869934618473053
LOC105374986,0.797925,SLC26A9,1.0,False,LOC105374986,SLC26A9,0.81053984,0.8694882392883301
DLGAP5,0.75,CCNB2,0.9508197,False,DLGAP5,CCNB2,0.90588236,0.868900716304779
LUCAT1,0.9310345,LOC107985492,0.6706538,False,LUCAT1,LOC107985492,0.9911111,0.8642664551734924
PTTG1,0.75,CCNB2,0.9508197,False,PTTG1,CCNB2,0.88529414,0.8620379567146301
RRM2,0.71666664,CCNB2,0.9508197,False,RRM2,CCNB2,0.89411765,0.8538680076599121
CDCA5,0.73333335,CDC25C,0.9265807,False,CDCA5,CDC25C,0.89705884,0.8523243069648743
NEK2,0.75,SKA3,0.90503,False,NEK2,SKA3,0.89411765,0.8497158885002136
CDC20,0.73333335,MYBL2,0.93333334,False,CDC20,MYBL2,0.88235295,0.8496732711791992
IQGAP3,0.71666664,CCNB2,0.9677419,False,IQGAP3,CCNB2,0.8617647,0.8487244248390198
KLK5,0.72803986,KLK7,0.9508197,False,KLK5,KLK7,0.8653424,0.8480672836303711
ARHGAP11A,0.71666664,ANLN,0.9508197,False,ARHGAP11A,ANLN,0.87352943,0.8470051884651184
TROAP,0.75,CCNB2,0.8965517,False,TROAP,CCNB2,0.89411765,0.8468897938728333
BUB1,0.73333335,LMNB1,0.93333334,False,BUB1,LMNB1,0.87352943,0.8467320799827576
MKI67,0.73333335,CDC25C,0.9265807,False,MKI67,CDC25C,0.87647057,0.8454615473747253
TOP2A,0.73333335,SKA3,0.9265807,False,TOP2A,SKA3,0.87352943,0.8444811701774597
HMMR,0.73333335,SKA3,0.90827006,False,HMMR,SKA3,0.8882353,0.8432796001434326
HJURP,0.7,CCNB2,0.9508197,False,HJURP,CCNB2,0.87352943,0.8414497375488281
LOC107984763,0.765559,LPAR3,0.93286014,False,LOC107984763,LPAR3,0.82358265,0.8406672477722168
KIF4A,0.73333335,CCNB2,0.88932383,False,KIF4A,CCNB2,0.8882353,0.8369641304016113
UBE2C,0.7,SKA3,0.9442873,False,UBE2C,SKA3,0.86470586,0.8363310694694519
BIRC5,0.71666664,CDC25C,0.9265807,False,BIRC5,CDC25C,0.86470586,0.8359844088554382
CENPF,0.71666664,CDC25C,0.9169381,False,CENPF,CDC25C,0.87058824,0.8347310423851013
CDCA5,0.68333334,CCNB2,0.9677419,False,CDCA5,CCNB2,0.85294116,0.8346721529960632
SPC25,0.7,CCNB2,0.93333334,False,SPC25,CCNB2,0.8617647,0.8316993713378906
CDC45,0.7,MYBL2,0.91525424,False,CDC45,MYBL2,0.87941176,0.8315553069114685
ASF1B,0.68333334,FAM111B,0.9491525,False,ASF1B,FAM111B,0.8617647,0.8314168453216553
IGLV3-1,0.7544335,IGKJ5,0.89503926,False,IGLV3-1,IGKJ5,0.84448475,0.8313191533088684
CEP55,0.71666664,SKA3,0.9265807,False,CEP55,SKA3,0.84411764,0.8291216492652893
SMOC2,0.6666667,SRL,1.0,False,SMOC2,SRL,0.8117647,0.8261438012123108
PTTG1,0.7,CDC25C,0.90827006,False,PTTG1,CDC25C,0.86764705,0.825305700302124
PBK,0.68333334,SKA3,0.9442873,False,PBK,SKA3,0.84705883,0.8248931765556335
RRM2,0.7,CDC25C,0.90827006,False,RRM2,CDC25C,0.86470586,0.8243253231048584
PRR11,0.6666667,MYBL2,0.9677419,False,PRR11,MYBL2,0.8382353,0.8242146372795105
PRLHR,0.6333333,SFRP1,1.0,False,PRLHR,SFRP1,0.83235294,0.8218954205513
CDC20,0.7,CDC25C,0.88932383,False,CDC20,CDC25C,0.87352943,0.8209510445594788
SAPCD2,0.65,MYBL2,0.9508197,False,SAPCD2,MYBL2,0.8617647,0.8208613991737366
IRF6,0.6945667,TENM2,0.90827006,False,IRF6,TENM2,0.85798407,0.8202736377716064
CCNB2,0.71666664,CDC25C,0.88932383,False,CCNB2,CDC25C,0.84411764,0.816702663898468
BUB1B,0.65,SRL,0.984127,False,BUB1B,SRL,0.8147059,0.8162775635719299
NCAPH,0.6666667,ANLN,0.91525424,False,NCAPH,ANLN,0.86470586,0.8155422210693359
PBK,0.6666667,CCNB2,0.9677419,False,PBK,CCNB2,0.8117647,0.8153910636901855
KIF4A,0.71666664,SKA3,0.86212337,False,KIF4A,SKA3,0.85882354,0.8125378489494324
KIF18B,0.6666667,CCNB2,0.93333334,False,KIF18B,CCNB2,0.8352941,0.8117647171020508
SKA1,0.6666667,SKA3,0.93553305,False,SKA1,SKA3,0.83235294,0.8115175366401672
PTTG1,0.6333333,MYBL2,0.9836066,False,PTTG1,MYBL2,0.8147059,0.8105486035346985
UHRF1,0.6666667,FAM111B,0.93333334,False,UHRF1,FAM111B,0.82941175,0.8098039627075195
NUSAP1,0.6333333,LMNB1,0.984127,False,NUSAP1,LMNB1,0.8117647,0.8097416758537292
E2F2,0.65,PCLAF,0.93333334,False,E2F2,PCLAF,0.84411764,0.8091502785682678
ASF1B,0.68333334,SKA3,0.90827006,False,ASF1B,SKA3,0.83235294,0.8079854846000671
SPC24,0.6166667,NCAPG,1.0,False,SPC24,NCAPG,0.80588233,0.80751633644104
SGO1,0.6333333,SPC24,0.9677419,False,SGO1,SPC24,0.82058823,0.8072211146354675
SOWAHB,0.7590818,LINC02154,0.79113686,False,SOWAHB,LINC02154,0.8711307,0.8071164488792419
SPAG5,0.65,MYBL2,0.9677419,False,SPAG5,MYBL2,0.8029412,0.8068943023681641
DLGAP5,0.6666667,CDC25C,0.90827006,False,DLGAP5,CDC25C,0.84411764,0.8063514828681946
