interaction;name
EVI2B;DOCK2
IFNE;MIR31HG
SASH3;DOCK2
CD84;SLC37A2
CTSS;DOCK2
PRC1-AS1;CDK1
C1QC;APBB1IP
C1QC;C1QB
ARHGAP30;DOCK2
FPR3;DOCK2
TNFSF13B;C1QB
PRC1;CDK1
KNL1;CKAP2
ICAM1;C1QB
PAQR4;CLSPN
CD68;DOCK2
GPR171;APBB1IP
LILRB4;DOCK2
ARHGAP30;APBB1IP
CD48;DOCK2
ADM2;MIOX
ITGB2;DOCK2
TFEC;DOCK2
CCR5;DOCK2
CD68;SLC37A2
EVI2A;DOCK2
LOC107986126;CKAP2
IL12RB1;DOCK2
FPR3;C1QB
DLX6-AS1;DLX6
ARHGAP30;C1QB
SP140;APBB1IP
ITGAL;DOCK2
NUSAP1;CKAP2
CEP152;CDK1
CCNB1;FOXM1
SLAMF8;DOCK2
PTPRC;DOCK2
IFI30;SLC37A2
RIMBP3;RIMBP3B
CCR1;C1QB
C1QC;DOCK2
DENND2D;DOCK2
TACC3;FOXM1
CENPN;GINS3
IL2RG;DOCK2
CDC20;CLSPN
TYMP;C1QB
LILRB4;SLC37A2
NSD2;CDK1
BUB1B;CKAP2
EVI2B;APBB1IP
SAMSN1;DOCK2
SIGLEC9;SLC37A2
CALHM6;C1QB
LOC112268460;FOXM1
WDR76;CKAP2
TCF19;CLSPN
SP140;DOCK2
CD4;C1QB
NFAM1;DOCK2
CYTIP;DOCK2
SLAMF8;SLC37A2
LAPTM5;SLC37A2
GTSE1;FOXM1
DOCK2;C1QB
CD4;SLC37A2
SASH3;C1QB
KLHL6;DOCK2
FAM72C;CKAP2
KIF18B;CLSPN
HAVCR2;DOCK2
FBXO5;CKAP2
CORO1A;APBB1IP
IL7R;C1QB
ITGB2;SLC37A2
ITGAL;APBB1IP
TPX2;CLSPN
SLAMF7;DOCK2
OIP5;CKAP2
NCF2;DOCK2
NCAPG;CKAP2
CDCA5;GINS3
IFI30;DOCK2
CD180;SLC37A2
CENPI;CDK1
SIGLEC7;SLC37A2
CORO1A;DOCK2
BATF;DOCK2
IL7R;APBB1IP
ETV7;C1QB
CD86;C1QB
SAMSN1;C1QB
EVI2B;C1QB
CD84;DOCK2
CYTIP;SLC37A2
CD86;SLC37A2
NCAPG;CLSPN
IL7R;DOCK2
FAM72D;CLSPN
FAM72D;CKAP2
TNFSF13B;DOCK2
APBB1IP;DOCK2
GPR171;DOCK2
IGSF6;DOCK2
SP140;C1QB
APBB1IP;C1QB
DIPK2B;EMCN
BUB1B;CDK1
FAM72B;CKAP2
CSTA;C1QB
SMC4;CKAP2
NUF2;CLSPN
OSM;RGS1
SIRPG;C1QB
CKS2;CKAP2
ZNF367;CKAP2
SPN;DOCK2
KLHL6;SLC37A2
MKI67;FOXM1
