interaction;name
LINC01971;TMEM171
DLX6-AS1;GAGE12H
MCIDAS;ICMT-DT
FRGCA;ICMT-DT
LOC105378179;RN7SL1
RN7SL2;RN7SL1
RNU2-1;RN7SL1
RRM2;BIRC5
DLGAP5;BIRC5
SCARNA5;RN7SL1
CD8A;ITK
CDCA5;PTTG1
CENPF;BIRC5
SLAMF7;P2RY10
CDC20;PTTG1
LOC105372115;CSAG3
LOC107985492;FOXD3-AS1
CEP55;SHCBP1
MKI67;PTTG1
TACC3;PTTG1
AURKB;PTTG1
RRM2;PTTG1
TOP2A;PCLAF
ISOC1;PEG3
DLGAP5;PTTG1
SP140;P2RY10
DACT2;STMN2
AURKB;BIRC5
APOC4-APOC2;APOC2
CD5;TMEM156
LOC105374986;OGFRP1
SYTL1;IGHG3
CCNB2;BIRC5
PTTG1;BIRC5
BCL11B;ITK
RAD51;PTTG1
CCL5;P2RY10
LOC105374986;SLC26A9
KIF20A;BIRC5
ASPM;PTTG1
H3C14;HTR1D
CDCA5;BIRC5
SOCS2-AS1;CRADD-AS1
P3H2;BIRC5
CCNB2;PTTG1
CDK1;SHCBP1
KIF20A;PCLAF
E2F1;RUNX2
IL2RG;ITGAX
IL2RB;P2RY10
PRC1;PRC1-AS1
SCN7A;PHF24
CDC20;BIRC5
MKI67;BIRC5
NCAPG;PCLAF
ZFHX4;PMAIP1
SMOC2;PHF24
MAD2L1;RAD51AP1
KIF4A;BIRC5
SLAMF8;CRTAM
ASPM;BIRC5
DTL;PCLAF
IGF1;PTTG1
IGHM;TMEM156
NUF2;NCAPH
MCM10;PCLAF
LOC105375027;KCNK6
NCAPG;BIRC5
TK1;PTTG1
SCARNA5;STARD13-AS
UHRF1;PCLAF
CDC20;MYBL2
CENPF;PTTG1
KLK5;KLK7
CD3E;ITGAX
C7;STMN2
RAD51;BIRC5
RECQL4;CDT1
NRN1;LOC105374898
LOC107984131;RN7SL1
GBP5;ITK
CKAP2L;BIRC5
ITGAX;TMEM156
CDK1;HJURP
ASPM;HJURP
CCNB2;HJURP
TOP2A;SHCBP1
TK1;BIRC5
IQGAP3;PTTG1
LOC107984763;LPAR3
CD8B;ITK
TROAP;PTTG1
CYTIP;ITK
IL2RG;P2RY10
KIF4A;HJURP
ANO9;ITGAX
CDK1;NCAPH
TTK;NCAPH
TROAP;BIRC5
NUSAP1;SHCBP1
CDC25C;BIRC5
HMMR;NCAPH
ECT2;RAD51AP1
COL11A2;COL8A1
PBK;BIRC5
RRM2;PCLAF
CEP55;NCAPH
SERINC2;STEAP1B
ISOC1;LOC102723654
CENPM;MYBL2
RAB11FIP4;RUNX2
SP140;ITGAX
CD96;ITK
NUF2;SHCBP1
PBK;HJURP
CDC45;MYBL2
LINC01605;FHAD1
APOBR;MEI1
THBS4;COL8A1
APOBEC3B;ITPRIPL1
IGHM;ITGAX
SPC25;BIRC5
PRR9;KRT71
KIF18B;PTTG1
RRM2;HJURP
RGS16;MCM2
BUB1;NCAPH
CENPF;HJURP
RRM2;SHCBP1
CEP55;HJURP
MELK;SHCBP1
NCAPG;HJURP
IQGAP3;BIRC5
TREM2;OLR1
HMMR;SHCBP1
GLRA4;NEFL
CDC25C;PTTG1
SPC25;PTTG1
CD2;ITGAX
SCARNA21;RAD51AP1
PRR11;MYBL2
PBK;SHCBP1
ARL4C;RNF157
SFRP1;TMEM163
CENPM;BIRC5
EOMES;ITGAX
CEP55;BIRC5
AURKB;HJURP
KIF18B;HJURP
EXO1;BIRC5
MELK;NCAPH
OASL;P2RY10
SAPCD2;MYBL2
IGHM;IGHG3
LOC100288637;NCAPH
TENM2;IRF6
DLGAP5;HJURP
MKI67;SHCBP1
CD96;P2RY10
NUSAP1;NCAPH
PCLAF;BIRC5
WNT10B;SEL1L3
