"interaction","name","selected","shared interaction","shared name"
"interacts with","BRCA2 (interacts with) TOP2A","false","interacts with","BRCA2 (interacts with) TOP2A"
"interacts with","BRCA2 (interacts with) STIL","false","interacts with","BRCA2 (interacts with) STIL"
"interacts with","BRCA2 (interacts with) ZNF367","false","interacts with","BRCA2 (interacts with) ZNF367"
"interacts with","BRCA2 (interacts with) FAM72D","false","interacts with","BRCA2 (interacts with) FAM72D"
"interacts with","BRCA2 (interacts with) HMMR-AS1","false","interacts with","BRCA2 (interacts with) HMMR-AS1"
"interacts with","BRCA2 (interacts with) DEPDC1-AS1","false","interacts with","BRCA2 (interacts with) DEPDC1-AS1"
"interacts with","BRCA2 (interacts with) RN7SL2","false","interacts with","BRCA2 (interacts with) RN7SL2"
"interacts with","BRCA2 (interacts with) PLK4","false","interacts with","BRCA2 (interacts with) PLK4"
"interacts with","BRCA2 (interacts with) FAM83D","false","interacts with","BRCA2 (interacts with) FAM83D"
"interacts with","BRCA2 (interacts with) GPR61","false","interacts with","BRCA2 (interacts with) GPR61"
"interacts with","BRCA2 (interacts with) CENPE","false","interacts with","BRCA2 (interacts with) CENPE"
"interacts with","BRCA2 (interacts with) PRC1","false","interacts with","BRCA2 (interacts with) PRC1"
"interacts with","BRCA2 (interacts with) CCND2","false","interacts with","BRCA2 (interacts with) CCND2"
"interacts with","BRCA2 (interacts with) PBK","false","interacts with","BRCA2 (interacts with) PBK"
"interacts with","BRCA2 (interacts with) NCAPG2","false","interacts with","BRCA2 (interacts with) NCAPG2"
"interacts with","BRCA2 (interacts with) FANCD2OS","false","interacts with","BRCA2 (interacts with) FANCD2OS"
"interacts with","BRCA2 (interacts with) KIF18B","false","interacts with","BRCA2 (interacts with) KIF18B"
"interacts with","BRCA2 (interacts with) NUF2","false","interacts with","BRCA2 (interacts with) NUF2"
"interacts with","BRCA2 (interacts with) RNU2-1","false","interacts with","BRCA2 (interacts with) RNU2-1"
"interacts with","BRCA2 (interacts with) NSD2","false","interacts with","BRCA2 (interacts with) NSD2"
"interacts with","BRCA2 (interacts with) BDKRB1","false","interacts with","BRCA2 (interacts with) BDKRB1"
"interacts with","BRCA2 (interacts with) NEIL3","false","interacts with","BRCA2 (interacts with) NEIL3"
"interacts with","BRCA2 (interacts with) ESCO2","false","interacts with","BRCA2 (interacts with) ESCO2"
"interacts with","BRCA2 (interacts with) ANLN","false","interacts with","BRCA2 (interacts with) ANLN"
"interacts with","BRCA2 (interacts with) NCAPG","false","interacts with","BRCA2 (interacts with) NCAPG"
"interacts with","BRCA2 (interacts with) LOC105378179","false","interacts with","BRCA2 (interacts with) LOC105378179"
"interacts with","BRCA2 (interacts with) TRIM59","false","interacts with","BRCA2 (interacts with) TRIM59"
"interacts with","BRCA2 (interacts with) PITX1","false","interacts with","BRCA2 (interacts with) PITX1"
"interacts with","BRCA2 (interacts with) CDCA8","false","interacts with","BRCA2 (interacts with) CDCA8"
"interacts with","BRCA2 (interacts with) IQGAP3","false","interacts with","BRCA2 (interacts with) IQGAP3"
"interacts with","BRCA2 (interacts with) MYBL1","false","interacts with","BRCA2 (interacts with) MYBL1"
"interacts with","BRCA2 (interacts with) ATAD2","false","interacts with","BRCA2 (interacts with) ATAD2"
"interacts with","BRCA2 (interacts with) ARHGAP11B","false","interacts with","BRCA2 (interacts with) ARHGAP11B"
"interacts with","BRCA2 (interacts with) AKR1C2","false","interacts with","BRCA2 (interacts with) AKR1C2"
"interacts with","BRCA2 (interacts with) CDK1","false","interacts with","BRCA2 (interacts with) CDK1"
"interacts with","BRCA2 (interacts with) HMGB2","false","interacts with","BRCA2 (interacts with) HMGB2"
"interacts with","BRCA2 (interacts with) CENPH","false","interacts with","BRCA2 (interacts with) CENPH"
"interacts with","BRCA2 (interacts with) CENPK","false","interacts with","BRCA2 (interacts with) CENPK"
"interacts with","BRCA2 (interacts with) PRC1-AS1","false","interacts with","BRCA2 (interacts with) PRC1-AS1"
