"__glayCluster","name","selected","shared name"
"2","AURKA","false","AURKA"
"2","UBE2C","false","UBE2C"
"29","ZWINT","false","ZWINT"
"25","NUSAP1","false","NUSAP1"
"2","SKA3","false","SKA3"
"2","WDR62","false","WDR62"
"2","TACC3","false","TACC3"
"2","KIF14","false","KIF14"
"2","MYBL2","false","MYBL2"
"2","CEP55","false","CEP55"
"2","AURKB","false","AURKB"
"2","GTSE1","false","GTSE1"
"2","FAM111B","false","FAM111B"
"2","CKAP2L","false","CKAP2L"
"2","BUB1B","false","BUB1B"
"2","SGO1-AS1","false","SGO1-AS1"
"2","CDCA8","false","CDCA8"
"2","FOXM1","false","FOXM1"
"2","KIF23","false","KIF23"
"2","NEK2","false","NEK2"
"2","DEPDC1","false","DEPDC1"
"2","TOP2A","false","TOP2A"
"2","IL37","false","IL37"
"2","ERCC6L","false","ERCC6L"
"2","KIF4A","false","KIF4A"
"2","HMMR","false","HMMR"
"2","EXO1","false","EXO1"
"2","KIF2C","false","KIF2C"
"2","LOC100288637","false","LOC100288637"
"2","NCAPG","false","NCAPG"
"2","LOC107985017","false","LOC107985017"
"21","DIAPH3","false","DIAPH3"
"2","HASPIN","false","HASPIN"
"2","TPX2","false","TPX2"
"16","PRR11","false","PRR11"
"2","BLM","false","BLM"
"2","RRM2","false","RRM2"
"12","HJURP","false","HJURP"
"2","KNL1","false","KNL1"
"10","IQGAP3","false","IQGAP3"
"2","TTK","false","TTK"
"2","BUB1","false","BUB1"
"11","CENPE","false","CENPE"
"2","KIF18A","false","KIF18A"
"2","NT5DC4","false","NT5DC4"
"15","E2F7","false","E2F7"
"2","LHX2","false","LHX2"
"2","CDC20","false","CDC20"
"2","DEPDC1B","false","DEPDC1B"
"2","SAPCD2","false","SAPCD2"
"2","NCAPH","false","NCAPH"
"2","MIR924HG","false","MIR924HG"
"2","CCNB1","false","CCNB1"
"2","ESCO2","false","ESCO2"
"2","NUF2","false","NUF2"
"2","CDC25C","false","CDC25C"
"2","KIF18B","false","KIF18B"
"2","PBK","false","PBK"
"2","TBX18","false","TBX18"
"2","E2F8","false","E2F8"
"2","IRX5","false","IRX5"
"2","POLQ","false","POLQ"
"2","PLK1","false","PLK1"
"2","FAM72A","false","FAM72A"
"2","NEIL3","false","NEIL3"
"2","HOXD13","false","HOXD13"
"22","PRC1","false","PRC1"
"2","CENPF","false","CENPF"
"22","PRC1-AS1","false","PRC1-AS1"
"2","BIRC5","false","BIRC5"
"2","DLGAP5","false","DLGAP5"
"2","KIF15","false","KIF15"
"2","CDK1","false","CDK1"
"2","ASF1B","false","ASF1B"
"2","FAM72D","false","FAM72D"
"2","LMNB1","false","LMNB1"
"2","MKI67","false","MKI67"
"2","SPC24","false","SPC24"
"2","SPC25","false","SPC25"
"2","CDCA2","false","CDCA2"
"2","MELK","false","MELK"
"2","SKA1","false","SKA1"
"2","LOC105369315","false","LOC105369315"
"19","CENPA","false","CENPA"
"2","E2F2","false","E2F2"
"2","CDC45","false","CDC45"
"2","PCLAF","false","PCLAF"
"2","ESPL1","false","ESPL1"
"2","ZIC2","false","ZIC2"
"2","KIFC1","false","KIFC1"
"2","UHRF1","false","UHRF1"
"2","LOC105371050","false","LOC105371050"
"2","SHCBP1","false","SHCBP1"
"2","FAM72C","false","FAM72C"
"17","LOC112268460","false","LOC112268460"
"2","MTFR2","false","MTFR2"
"2","KIF11","false","KIF11"
"2","SGO1","false","SGO1"
