__glayCluster,name,selected,shared name
9,KCNMB2,False,KCNMB2
9,STIL,False,STIL
9,E2F8,False,E2F8
9,EZH2,False,EZH2
9,CDKN2B-AS1,False,CDKN2B-AS1
9,ASF1B,False,ASF1B
9,CDK2,False,CDK2
9,TOP2A,False,TOP2A
9,NUF2,False,NUF2
9,LHX2,False,LHX2
9,CCDC18,False,CCDC18
9,ATAD5,False,ATAD5
9,EP300-AS1,False,EP300-AS1
9,E2F1,False,E2F1
9,ARHGAP11A,False,ARHGAP11A
9,CDCA8,False,CDCA8
9,WDR76,False,WDR76
9,NEIL3,False,NEIL3
9,BUB1B,False,BUB1B
9,IGFBPL1,False,IGFBPL1
9,TMEM106C,False,TMEM106C
9,TBX18,False,TBX18
9,MCM2,False,MCM2
9,CKS2,False,CKS2
9,KIF20A,False,KIF20A
9,FAM111B,False,FAM111B
9,ZNF367,False,ZNF367
9,TMPO-AS1,False,TMPO-AS1
9,WDR62,False,WDR62
9,KIF18B,False,KIF18B
9,CDC7,False,CDC7
9,TMEM201,False,TMEM201
9,FANCD2,False,FANCD2
9,LOC107986126,False,LOC107986126
9,NCAPG,False,NCAPG
9,CENPE,False,CENPE
9,NCAPG2,False,NCAPG2
9,LOC100288637,False,LOC100288637
9,NUSAP1,False,NUSAP1
9,NSD2,False,NSD2
9,CENPF,False,CENPF
9,CDCA7L,False,CDCA7L
9,PRC1-AS1,False,PRC1-AS1
9,DEPDC1,False,DEPDC1
9,PRC1,False,PRC1
9,ATP6V0E2,False,ATP6V0E2
9,BRIP1,False,BRIP1
9,PTEN,False,PTEN
9,CELSR3,False,CELSR3
9,KNL1,False,KNL1
9,ESPL1,False,ESPL1
9,CCND2,False,CCND2
9,LRRC37A8P,False,LRRC37A8P
9,FBXO5,False,FBXO5
9,CENPU,False,CENPU
9,CDK1,False,CDK1
9,BUB1B-PAK6,False,BUB1B-PAK6
9,CHAF1A,False,CHAF1A
9,MND1,False,MND1
9,GASK1B,False,GASK1B
9,TFDP1,False,TFDP1
9,ANLN,False,ANLN
9,CKAP2L,False,CKAP2L
10,C5orf34,False,C5orf34
9,ATAD2,False,ATAD2
9,SMC2,False,SMC2
2,TIMELESS,False,TIMELESS
9,POLQ,False,POLQ
9,DSN1,False,DSN1
9,PCDHAC1,False,PCDHAC1
9,MMS22L,False,MMS22L
2,DNMT1,False,DNMT1
9,PSRC1,False,PSRC1
9,IQGAP3,False,IQGAP3
9,EMC3-AS1,False,EMC3-AS1
9,LIG1,False,LIG1
9,HPCAL1,False,HPCAL1
2,BCL2L11,False,BCL2L11
9,BRME1,False,BRME1
9,HMGB2,False,HMGB2
9,PHF19,False,PHF19
15,ICAM1,False,ICAM1
15,TNFRSF9,False,TNFRSF9
15,C1QB,False,C1QB
15,DOCK2,False,DOCK2
15,BCL11B,False,BCL11B
15,SLC37A2,False,SLC37A2
15,APBB1IP,False,APBB1IP
15,TNFRSF18,False,TNFRSF18
15,DOK2,False,DOK2
15,CD48,False,CD48
15,CTSS,False,CTSS
15,GK,False,GK
5,NKD1,False,NKD1
15,CCR5,False,CCR5
15,ETV7,False,ETV7
15,LAPTM5,False,LAPTM5
15,EPSTI1,False,EPSTI1
15,ANKRD22,False,ANKRD22
15,BATF2,False,BATF2
