"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"CC","GO:1990531","phospholipid-translocating ATPase complex","1/6","14/19886",0.00421717897074869,0.0253030738244922,0.0177565430347313,"161291",1
"MF","GO:0055056","D-glucose transmembrane transporter activity","1/8","12/18496",0.0051795187167778,0.0329788901455711,0.0135839822109904,"154091",1
"MF","GO:0071837","HMG box domain binding","1/8","13/18496",0.00561008373789196,0.0329788901455711,0.0135839822109904,"60529",1
"MF","GO:0034483","heparan sulfate sulfotransferase activity","1/8","15/18496",0.00647072463403964,0.0329788901455711,0.0135839822109904,"9956",1
"MF","GO:0140327","flippase activity","1/8","16/18496",0.0069008006149347,0.0329788901455711,0.0135839822109904,"161291",1
"MF","GO:0005355","glucose transmembrane transporter activity","1/8","25/18496",0.0107641599467965,0.0329788901455711,0.0135839822109904,"154091",1
"MF","GO:0015149","hexose transmembrane transporter activity","1/8","25/18496",0.0107641599467965,0.0329788901455711,0.0135839822109904,"154091",1
"MF","GO:0140326","ATPase-coupled intramembrane lipid transporter activity","1/8","27/18496",0.0116208961350637,0.0329788901455711,0.0135839822109904,"161291",1
"MF","GO:0015145","monosaccharide transmembrane transporter activity","1/8","28/18496",0.0120490207130552,0.0329788901455711,0.0135839822109904,"154091",1
"MF","GO:0051119","sugar transmembrane transporter activity","1/8","30/18496",0.0129047831004409,0.0329788901455711,0.0135839822109904,"154091",1
"MF","GO:0140303","intramembrane lipid transporter activity","1/8","42/18496",0.018025750028392,0.0385802962429707,0.0158911975371504,"161291",1
"MF","GO:0015144","carbohydrate transmembrane transporter activity","1/8","43/18496",0.0184514460292469,0.0385802962429707,0.0158911975371504,"154091",1
"MF","GO:0008146","sulfotransferase activity","1/8","53/18496",0.0226995330540668,0.043507438353628,0.0179206839900527,"9956",1
"MF","GO:0005548","phospholipid transporter activity","1/8","64/18496",0.0273538399068545,0.0483952552198194,0.0199339724017563,"161291",1
"MF","GO:0016782","transferase activity, transferring sulphur-containing groups","1/8","71/18496",0.0303055629109348,0.0497877104965357,0.0205075237743168,"9956",1
