"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","43/210","158/8865",1.6756266108394e-34,4.02150386601457e-32,3.79220759295234e-32,"1017/1869/701/4171/8317/57082/9700/894/26271/983/7027/1031/990/1032/4175/898/10926/4998/4085/157570/23594/7272/991/90381/8318/151648/995/699/890/1870/9133/891/10403/4173/9319/9212/10459/1111/993/113130/81620/9232/9088",43
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","15/210","55/8865",1.29931573150613e-12,1.55917887780736e-10,1.47027832775694e-10,"2177/83990/55215/5888/116028/7398/80010/641/672/29089/2187/6119/2178/7156/91442",15
"Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","19/210","139/8865",5.61368198603999e-10,4.49094558883199e-08,4.23488290174947e-08,"1017/9700/26271/983/107/898/4085/991/151648/995/699/3479/9133/891/6790/286151/10459/9232/9088",19
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","10/210","36/8865",6.67156006865531e-09,4.00293604119318e-07,3.77469845989708e-07,"4171/3978/4175/5983/5422/5427/4173/2237/6119/10535",10
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","13/210","75/8865",1.77244387049044e-08,8.50773057835413e-07,8.02264067695674e-07,"1017/5728/894/983/5366/51512/898/6241/3479/9133/891/1111/64393",13
"Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","10/210","41/8865",2.65319583535564e-08,1.06127833414226e-06,1.00076685017801e-06,"83990/5888/8438/580/7516/641/672/6119/7156/25788",10
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","15/210","111/8865",4.60647676999032e-08,1.57936346399668e-06,1.48931203841792e-06,"1017/983/107/4085/995/699/890/3479/9133/891/6790/10459/993/9088/3835",15
"Cellular Processes","Cell motility","hsa04814","Motor proteins","18/210","197/8865",8.89398505675933e-07,2.6681955170278e-05,2.51606156210955e-05,"10112/146909/1062/9928/7135/9493/81930/24137/8701/56992/3832/3833/9585/11004/10383/3835/285643/7277",18
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","15/210","157/8865",4.31236306858112e-06,0.000114996348495496,0.000108439539151455,"1017/1869/5728/894/983/2305/898/890/1870/9133/891/4605/1111/993/1978",15
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","17/210","224/8865",2.19038144940056e-05,0.000525691547856135,0.000495717906969601,"1017/1869/701/5728/9700/894/1031/107/898/4085/991/890/1870/9133/1111/5902/9232",17
"Metabolism","Nucleotide metabolism","hsa00240","Pyrimidine metabolism","7/210","58/8865",0.000408475129363822,0.00891218464066521,0.00840403376203079,"6241/7298/6240/284958/953/7083/7371",7
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","8/210","93/8865",0.00157377327014403,0.0314754654028806,0.029680811673769,"1017/1869/1164/5728/898/1870/1163/9618",8
"Genetic Information Processing","Replication and repair","hsa03430","Mismatch repair","4/210","23/8865",0.00190223346021226,0.0326097164607816,0.0307503905222282,"3978/5983/9156/6119",4
"Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","4/210","23/8865",0.00190223346021226,0.0326097164607816,0.0307503905222282,"760/358/1468/477",4
