Origin	Destination	Weight1	Weight2	Weight3
653820	64151	0.98539865	0.86764705	0.9558824
653820	701	0.98539865	0.8382353	0.95343137
653820	57082	0.98539865	0.8382353	0.9558824
653820	4751	0.98539865	0.8382353	0.95343137
653820	729533	0.98539865	0.9264706	0.9877451
653820	728833	0.97036463	0.89705884	0.96813726
983	100507118	1.0	0.86764705	0.9632353
983	9055	1.0	0.85294116	0.95343137
64151	701	1.0	0.85294116	0.9607843
64151	57082	1.0	0.88235295	0.96568626
64151	9824	1.0	0.89705884	0.9583333
64151	7153	1.0	0.8382353	0.9607843
64151	728833	0.98539865	0.9117647	0.98284316
10460	112268460	0.98539865	0.9117647	0.98039216
11065	7272	1.0	0.86764705	0.9632353
11065	100874028	1.0	0.85294116	0.9607843
83540	55247	0.98539865	0.85294116	0.95343137
22974	51512	1.0	0.89705884	0.97794116
22974	3833	1.0	0.86764705	0.9632353
4001	995	0.98539865	0.86764705	0.96568626
4001	4288	1.0	0.88235295	0.9705882
4001	9833	1.0	0.85294116	0.9558824
701	51203	1.0	0.9117647	0.98284316
701	57082	1.0	0.85294116	0.96568626
701	728833	0.98539865	0.8235294	0.95343137
5650	25818	0.75889504	0.9714286	0.99622643
51203	57082	1.0	0.9117647	0.97794116
54821	4288	1.0	0.8382353	0.95098037
54821	3833	1.0	0.86764705	0.95343137
150468	157313	1.0	0.88235295	0.9754902
150468	4751	1.0	0.8382353	0.9558824
150468	699	1.0	0.89705884	0.9754902
150468	7153	1.0	0.85294116	0.95343137
57082	9824	1.0	0.8382353	0.95098037
57082	728833	0.98539865	0.85294116	0.9607843
151648	9133	1.0	0.8382353	0.95343137
151648	100874028	1.0	0.86764705	0.9607843
9133	6241	1.0	0.8382353	0.95098037
100507118	9055	1.0	0.9558824	0.99264705
54443	10721	1.0	0.9117647	0.9754902
100289137	253650	0.9522031	0.93846154	0.98263025
259266	9928	0.98539865	0.88235295	0.9730392
81930	55789	1.0	0.86764705	0.9705882
9582	100874530	0.98539865	0.86764705	0.95343137
8318	9156	1.0	0.86764705	0.9632353
8318	100874028	1.0	0.8235294	0.95343137
344	100533990	0.983801	1.0	1.0
157313	4751	1.0	0.8382353	0.95343137
157313	699	1.0	0.86764705	0.9632353
157313	7153	1.0	0.8235294	0.95098037
4751	728833	0.98539865	0.85294116	0.95343137
9824	81624	1.0	0.8382353	0.9558824
100126311	84419	0.9161209	0.9705882	0.99264705
554282	728833	0.97036463	0.85294116	0.9607843
51512	891	1.0	0.86764705	0.9607843
51512	3833	1.0	0.8235294	0.95098037
11130	55143	0.98539865	0.86764705	0.9583333
3833	24137	1.0	0.88235295	0.9730392
