Gene1	Gene2	Weight
344	100533990	0.9946003
653820	729533	0.96653813
701	51203	0.96486926
54443	10721	0.96241826
100126311	84419	0.9597854
10460	112268460	0.9591852
22974	51512	0.9583333
100289137	253650	0.9577649
150468	699	0.9575164
150468	157313	0.95261437
64151	9824	0.9517974
3833	24137	0.9517974
4001	4288	0.95098037
259266	9928	0.9469302
81930	55789	0.9460785
653820	728833	0.9451869
983	100507118	0.9436274
11065	7272	0.9436274
22974	3833	0.9436274
8318	9156	0.9436274
151648	100874028	0.9428105
51512	891	0.9428105
54821	3833	0.9403594
4001	995	0.93957734
11065	100874028	0.9379085
11130	55143	0.93712634
653820	64151	0.93630934
4001	9833	0.9362745
9582	100874530	0.93549234
983	9055	0.9354575
64151	7153	0.9330066
150468	4751	0.9313726
9824	81624	0.9313726
83540	55247	0.9305904
151648	9133	0.9305556
54821	4288	0.9297386
9133	6241	0.9297386
554282	728833	0.92803
653820	57082	0.9265054
653820	701	0.92568845
653820	4751	0.92568845
8318	100874028	0.92565364
5650	25818	0.90885
653820	729533	0.96653813
