interaction,Kendall,name,NMI,selected,shared interaction,shared name,Spearman,Weight
GAGE12H,1.0,DLX6-AS1,1.0,False,GAGE12H,DLX6-AS1,1.0,1.0
FRGCA,1.0,ICMT-DT,1.0,False,FRGCA,ICMT-DT,1.0,1.0
TMEM171,1.0,LINC01971,1.0,False,TMEM171,LINC01971,1.0,1.0
MCIDAS,1.0,ICMT-DT,1.0,False,MCIDAS,ICMT-DT,1.0,1.0
C4orf19,0.81666666,COL27A1,0.984127,False,C4orf19,COL27A1,0.95,0.9169312119483948
AURKB,0.8333333,MKI67,0.984127,False,AURKB,MKI67,0.93235296,0.916604459285736
CEP55,0.8,PBK,0.984127,False,CEP55,PBK,0.9352941,0.906473696231842
ITGAL,0.8,EOMES,0.9677419,False,ITGAL,EOMES,0.92941177,0.8990511894226074
SLAMF7,0.8451957,P2RY10,0.8965517,False,SLAMF7,P2RY10,0.9448126,0.8955199718475342
RRM2,0.8,MKI67,0.984127,False,RRM2,MKI67,0.9,0.8947089314460754
CDC20,0.8,MKI67,0.9677419,False,CDC20,MKI67,0.9147059,0.8941493034362793
RSAD2,0.78333336,IFI44,0.984127,False,RSAD2,IFI44,0.9117647,0.8930749893188477
CSAG3,0.83094895,LOC105372115,1.0,False,CSAG3,LOC105372115,0.8438159,0.8915882706642151
ASPM,0.78333336,MKI67,0.9677419,False,ASPM,MKI67,0.9235294,0.8915348649024963
ARL6IP1,0.76666665,TFDP1,1.0,False,ARL6IP1,TFDP1,0.90588236,0.8908496499061584
PTTG1,0.76666665,MKI67,0.984127,False,PTTG1,MKI67,0.92058825,0.8904606699943542
MMP9,0.8,SLC12A5-AS1,0.9508197,False,MMP9,SLC12A5-AS1,0.9117647,0.887528121471405
DLGAP5,0.76666665,MKI67,0.984127,False,DLGAP5,MKI67,0.9117647,0.8875194191932678
LIG1,0.76666665,SEC31B,0.984127,False,LIG1,SEC31B,0.9117647,0.8875194191932678
CD8A,0.76666665,EVI2B,0.984127,False,CD8A,EVI2B,0.90882355,0.8865390419960022
HMMR,0.78333336,PBK,0.9677419,False,HMMR,PBK,0.90294117,0.8846721649169922
LCK,0.7782495,P2RY10,0.9508197,False,LCK,P2RY10,0.9212659,0.8834450244903564
RAD51,0.75,MKI67,0.984127,False,RAD51,MKI67,0.9147059,0.8829442858695984
SP140,0.82845914,P2RY10,0.88932383,False,SP140,P2RY10,0.9300959,0.8826262950897217
CEMIP2,0.76666665,ZDHHC13,1.0,False,CEMIP2,ZDHHC13,0.87941176,0.8820261359214783
KIF4A,0.8,PBK,0.9265807,False,KIF4A,PBK,0.91764706,0.881409227848053
NUSAP1,0.75,MELK,0.984127,False,NUSAP1,MELK,0.90294117,0.8790227770805359
C1QB,0.75,JAK3,0.984127,False,C1QB,JAK3,0.9,0.8780423998832703
APOC4-APOC2,0.9178263,APOC2,0.7470848,False,APOC4-APOC2,APOC2,0.96732014,0.8774104118347168
OGFRP1,0.8101915,LOC105374986,1.0,False,OGFRP1,LOC105374986,0.819782,0.8766577839851379
ARMC9,0.75,HOXD3,0.9677419,False,ARMC9,HOXD3,0.9117647,0.8765022158622742
TACC1,0.76666665,PILRA,0.9508197,False,TACC1,PILRA,0.9117647,0.8764169812202454
CCNB2,0.75,MKI67,0.9677419,False,CCNB2,MKI67,0.90294117,0.8735610842704773
LOC105375027,0.78333336,LINC01016,0.90827006,False,LOC105375027,LINC01016,0.9264706,0.8726913332939148
IGF1,0.71666664,MKI67,1.0,False,IGF1,MKI67,0.9,0.8722222447395325
CENPF,0.75,MKI67,0.9614192,False,CENPF,MKI67,0.9,0.8704730868339539
CCL5,0.76151294,P2RY10,0.9508197,False,CCL5,P2RY10,0.8962475,0.8695266842842102
LOC105374986,0.797925,SLC26A9,1.0,False,LOC105374986,SLC26A9,0.81053984,0.8694882392883301
MTFP1,0.71666664,SYTL3,1.0,False,MTFP1,SYTL3,0.89117646,0.8692810535430908
TOP2A,0.75,PBK,0.984127,False,TOP2A,PBK,0.87352943,0.8692188262939453
CD48,0.7782495,P2RY10,0.93333334,False,CD48,P2RY10,0.8947758,0.8687862753868103
RMI1,0.71666664,TFDP1,1.0,False,RMI1,TFDP1,0.8882353,0.8683006763458252
MAST4,0.75,LOC101929657,0.9508197,False,MAST4,LOC101929657,0.90294117,0.8679203391075134
USP1,0.73333335,MZT1,0.984127,False,USP1,MZT1,0.88529414,0.8675848841667175
CA12,0.73333335,LINC01016,0.984127,False,CA12,LINC01016,0.88529414,0.8675848841667175
IL2RG,0.73333335,DENND2D,0.9677419,False,IL2RG,DENND2D,0.9,0.8670250773429871
CEP55,0.75,MELK,0.9677419,False,CEP55,MELK,0.88235295,0.8666982650756836
H3C14,0.7856742,HTR1D,1.0,False,H3C14,HTR1D,0.8125112,0.8660618662834167
BUB1,0.75,MELK,0.93333334,False,BUB1,MELK,0.9147059,0.8660130500793457
ARHGAP30,0.73333335,DOCK2,0.984127,False,ARHGAP30,DOCK2,0.87941176,0.8656240105628967
TK1,0.71666664,MKI67,1.0,False,TK1,MKI67,0.87941176,0.8653594851493835
FMNL1,0.71666664,DENND2D,0.984127,False,FMNL1,DENND2D,0.89411765,0.8649704456329346
LOC100129455,0.76666665,BCAR3,0.9677419,False,LOC100129455,BCAR3,0.85882354,0.8644106984138489
LOC107985492,0.9310345,LUCAT1,0.6706538,False,LOC107985492,LUCAT1,0.9911111,0.8642664551734924
IQGAP3,0.73333335,MKI67,1.0,False,IQGAP3,MKI67,0.85588235,0.8630719184875488
ARL4C,0.73333335,ST6GALNAC5,0.9677419,False,ARL4C,ST6GALNAC5,0.88529414,0.8621231913566589
CD3E,0.71666664,DENND2D,0.984127,False,CD3E,DENND2D,0.88529414,0.8620292544364929
WWC3,0.73333335,BCAR3,0.9677419,False,WWC3,BCAR3,0.88235295,0.8611428141593933
SASH3,0.71666664,DENND2D,0.984127,False,SASH3,DENND2D,0.88235295,0.8610488772392273
RN7SL1,0.71666664,TFDP1,1.0,False,RN7SL1,TFDP1,0.86470586,0.8604574799537659
C6orf141,0.76666665,LOC105377402,0.9508197,False,C6orf141,LOC105377402,0.8617647,0.8597503304481506
IL2RB,0.76151294,P2RY10,0.91525424,False,IL2RB,P2RY10,0.89771914,0.8581621050834656
P3H2,0.7,DRD2,1.0,False,P3H2,DRD2,0.87352943,0.8578431606292725
KIF18B,0.71666664,MKI67,0.9677419,False,KIF18B,MKI67,0.8882353,0.8575479388237
WFS1,0.73333335,LOC101929657,0.9508197,False,WFS1,LOC101929657,0.8882353,0.8574628233909607
ADAM19,0.73333335,HOXD3,0.9677419,False,ADAM19,HOXD3,0.87058824,0.8572211861610413
UHRF1,0.71666664,PBK,0.984127,False,UHRF1,PBK,0.87058824,0.8571272492408752
NRIP2,0.71666664,JAK3,0.984127,False,NRIP2,JAK3,0.86764705,0.8561468720436096
BIRC5,0.71666664,MKI67,1.0,False,BIRC5,MKI67,0.85,0.855555534362793
ITGAL,0.71666664,DENND2D,0.984127,False,ITGAL,DENND2D,0.86470586,0.855166494846344
GPR22,0.72803986,HOXD3,0.9508197,False,GPR22,HOXD3,0.8859458,0.8549351096153259
SH3BGRL3,0.7,RFC3,1.0,False,SH3BGRL3,RFC3,0.86470586,0.8549019694328308
EZR,0.71666664,SYTL3,1.0,False,EZR,SYTL3,0.84705883,0.8545751571655273
CENPF,0.73333335,PBK,0.9614192,False,CENPF,PBK,0.86764705,0.8541331887245178
IGFBP4,0.7,ZDHHC13,1.0,False,IGFBP4,ZDHHC13,0.8617647,0.8539215922355652
SLC26A9-AS1,0.73333335,BCAR3,0.9677419,False,SLC26A9-AS1,BCAR3,0.85882354,0.853299617767334
CRTAM,0.75,SLAMF8,0.91525424,False,CRTAM,SLAMF8,0.89411765,0.8531239628791809
CDCA5,0.7,MKI67,1.0,False,CDCA5,MKI67,0.85588235,0.8519608378410339
CDK2,0.7,TFDP1,1.0,False,CDK2,TFDP1,0.85588235,0.8519608378410339
HGF,0.7,LINC01016,0.984127,False,HGF,LINC01016,0.87058824,0.8515717387199402
SKA2,0.68333334,TFDP1,1.0,False,SKA2,TFDP1,0.86764705,0.8503268361091614
ESCO2,0.75,PBK,0.90827006,False,ESCO2,PBK,0.89117646,0.8498155474662781
ATP8B4,0.73333335,LOC101929657,0.9508197,False,ATP8B4,LOC101929657,0.86470586,0.8496196269989014
NUF2,0.7,MELK,0.984127,False,NUF2,MELK,0.86470586,0.8496109843254089
RUNX3,0.71666664,EOMES,0.9508197,False,RUNX3,EOMES,0.87941176,0.8489660620689392
CD274,0.71666664,C1GALT1,0.9677419,False,CD274,C1GALT1,0.8617647,0.8487244248390198
LPAR2,0.73333335,JAK3,0.9508197,False,LPAR2,JAK3,0.8617647,0.8486392498016357
BST2,0.68333334,IRF7,1.0,False,BST2,IRF7,0.8617647,0.8483660221099854
KIF22,0.68333334,TFDP1,1.0,False,KIF22,TFDP1,0.85882354,0.8473856449127197
COL4A5,0.6666667,CLHC1,1.0,False,COL4A5,CLHC1,0.87352943,0.8467320799827576
LOC105378179,0.68333334,TFDP1,1.0,False,LOC105378179,TFDP1,0.85588235,0.8464052677154541
TCF21,0.7,HOXD3,0.9677419,False,TCF21,HOXD3,0.87058824,0.8461100459098816
FBXO5,0.71666664,MZT1,0.93333334,False,FBXO5,MZT1,0.8882353,0.8460783958435059
APOL6,0.7,E2F3,0.984127,False,APOL6,E2F3,0.85294116,0.8456893563270569
SRL,0.7,HOXD4,0.984127,False,SRL,HOXD4,0.85294116,0.8456893563270569
CDC25C,0.73333335,MKI67,0.9265807,False,CDC25C,MKI67,0.87647057,0.8454615473747253
TPD52,0.75,TIFA,0.93333334,False,TPD52,TIFA,0.85294116,0.8454248309135437
RAC2,0.7,DENND2D,0.9677419,False,RAC2,DENND2D,0.86764705,0.845129668712616
LSP1,0.71666664,PILRA,0.9508197,False,LSP1,PILRA,0.86764705,0.8450444340705872
ANLN,0.71666664,MELK,0.9508197,False,ANLN,MELK,0.86764705,0.8450444340705872
RAD51AP1,0.7,MZT1,0.984127,False,RAD51AP1,MZT1,0.85,0.8447089791297913
BATF,0.73333335,JAK3,0.9265807,False,BATF,JAK3,0.87352943,0.8444811701774597
SPN,0.75,EOMES,0.88932383,False,SPN,EOMES,0.89411765,0.8444805145263672
TRAF3IP3,0.7113033,P2RY10,0.9508197,False,TRAF3IP3,P2RY10,0.87122905,0.8444506525993347
LOC107984131,0.7,TFDP1,0.9677419,False,LOC107984131,TFDP1,0.86470586,0.8441492915153503
ITK,0.68333334,EVI2B,0.984127,False,ITK,EVI2B,0.86470586,0.8440554141998291
DENND2D,0.71666664,SLAMF8,0.9677419,False,DENND2D,SLAMF8,0.84705883,0.8438224792480469
MZT1,0.73333335,PAX6,0.93333334,False,MZT1,PAX6,0.86470586,0.8437908291816711
DIPK2B,0.71666664,LOC102723996,0.9508197,False,DIPK2B,LOC102723996,0.8617647,0.8430836796760559
EFCC1,0.71666664,LOC102723996,0.9508197,False,EFCC1,LOC102723996,0.8617647,0.8430836796760559
CORO1A,0.68333334,DENND2D,0.984127,False,CORO1A,DENND2D,0.8617647,0.8430750370025635
MT2A,0.6666667,RFC3,1.0,False,MT2A,RFC3,0.85882354,0.8418300747871399
RGMB,0.6666667,HOXD4,0.984127,False,RGMB,HOXD4,0.87352943,0.8414409756660461
ITGAL,0.6945667,P2RY10,0.9508197,False,ITGAL,P2RY10,0.8785874,0.8413246273994446
CD5,0.71666664,EOMES,0.92403245,False,CD5,EOMES,0.88235295,0.8410174250602722
CIAO2A,0.7,MZT1,0.984127,False,CIAO2A,MZT1,0.8382353,0.840787410736084
IL12RB1,0.73333335,DENND2D,0.91525424,False,IL12RB1,DENND2D,0.87352943,0.8407056927680969
LOC107984763,0.765559,LPAR3,0.93286014,False,LOC107984763,LPAR3,0.82358265,0.8406672477722168
GINS2,0.68333334,DRD2,0.984127,False,GINS2,DRD2,0.85294116,0.8401338458061218
CDK1,0.68333334,PBK,0.984127,False,CDK1,PBK,0.85294116,0.8401338458061218
CENPM,0.6666667,DRD2,1.0,False,CENPM,DRD2,0.85294116,0.8398693203926086
RIN1,0.7,PILRA,0.9508197,False,RIN1,PILRA,0.86764705,0.8394889235496521
SKA1,0.7,MELK,0.9442873,False,SKA1,MELK,0.87352943,0.8392722606658936
RRM2,0.68333334,PBK,0.984127,False,RRM2,PBK,0.85,0.8391534686088562
IL2RG,0.7113033,P2RY10,0.93333334,False,IL2RG,P2RY10,0.87122905,0.8386219143867493
IL33,0.6666667,MZT1,0.984127,False,IL33,MZT1,0.86470586,0.8384998440742493
FEN1,0.6666667,IGFBP4,0.984127,False,FEN1,IGFBP4,0.86470586,0.8384998440742493
GMIP,0.7,DDIAS,0.984127,False,GMIP,DDIAS,0.82941175,0.8378462791442871
HAUS8,0.6666667,ALYREF,0.984127,False,HAUS8,ALYREF,0.8617647,0.8375194668769836
IL33,0.6666667,RFC3,1.0,False,IL33,RFC3,0.84411764,0.836928129196167
CBR3,0.6666667,CLHC1,1.0,False,CBR3,CLHC1,0.84411764,0.836928129196167
MSC,0.68333334,MSC-AS1,0.9677419,False,MSC,MSC-AS1,0.85882354,0.8366329073905945
SASH3,0.6666667,SLAMF8,0.984127,False,SASH3,SLAMF8,0.85882354,0.836539089679718
