interaction,Kendall,name,NMI,selected,shared interaction,shared name,Spearman,Weight
MIR31HG,0.92781705,IFNE,0.94629127,False,MIR31HG,IFNE,0.9789931,0.9510338306427002
CXCL10,0.8235294,CXCL9,1.0,False,CXCL10,CXCL9,0.9436275,0.9223856925964355
DLX6-AS1,0.8793571,DLX6,0.9110675,False,DLX6-AS1,DLX6,0.9653174,0.9185807108879088
ARHGAP11A,0.8235294,AURKA,0.98539865,False,ARHGAP11A,AURKA,0.9338235,0.9142505526542664
TACC3,0.8235294,AURKA,0.98539865,False,TACC3,AURKA,0.9289216,0.9126165509223938
CDC20,0.8088235,SHCBP1,0.98539865,False,CDC20,SHCBP1,0.9387255,0.9109825491905212
WDR62,0.8235294,AURKA,0.98539865,False,WDR62,AURKA,0.9191176,0.9093485474586488
KLK5,0.9714286,KLK7,0.75889504,False,KLK5,KLK7,0.99622643,0.9088500142097472
RUNX3-AS1,0.8191938,RUNX3,0.9489113,False,RUNX3-AS1,RUNX3,0.9454324,0.9045124650001526
HJURP,0.7941176,AURKA,0.98539865,False,HJURP,AURKA,0.92401963,0.9011785984039308
CENPF,0.7794118,AURKA,0.98539865,False,CENPF,AURKA,0.9313725,0.8987276554107666
LOC112268460,0.7941176,AURKA,0.97036463,False,LOC112268460,AURKA,0.9289216,0.8978012204170227
LOC100506071,0.8088235,COCH,0.9560848,False,LOC100506071,COCH,0.9264706,0.8971262574195862
GBP5,0.7647059,CXCL9,1.0,False,GBP5,CXCL9,0.9166667,0.8937909007072449
CCNB1,0.7794118,SHCBP1,0.98539865,False,CCNB1,SHCBP1,0.9117647,0.8921917080879211
GTSE1,0.7647059,SHCBP1,0.98539865,False,GTSE1,SHCBP1,0.92156863,0.8905577659606934
CD80,0.7794118,CXCL9,0.97036463,False,CD80,CXCL9,0.92156863,0.8904483318328857
UBE2C,0.7647059,AURKA,0.98539865,False,UBE2C,AURKA,0.9044118,0.8848387598991394
KIF4A,0.7647059,AURKA,0.98539865,False,KIF4A,AURKA,0.89705884,0.8823878169059753
CCNF,0.7647059,AURKA,0.97036463,False,CCNF,AURKA,0.90686274,0.8806443810462952
LINC01551,0.8222867,FOXG1,0.88723207,False,LINC01551,FOXG1,0.9310899,0.8802029490470886
NEK2,0.75,AURKA,0.98539865,False,NEK2,AURKA,0.89460784,0.8766688704490662
BUB1,0.75,AURKA,0.98539865,False,BUB1,AURKA,0.89215684,0.8758518099784851
KIF18A,0.7647059,SHCBP1,0.98539865,False,KIF18A,SHCBP1,0.875,0.8750348091125488
CKAP2L,0.7647059,SHCBP1,0.98539865,False,CKAP2L,SHCBP1,0.875,0.8750348091125488
NCAPH,0.75,SHCBP1,0.98539865,False,NCAPH,SHCBP1,0.8872549,0.8742178082466125
FAM72D,0.7794118,AURKA,0.97036463,False,FAM72D,AURKA,0.87009805,0.8732914924621582
NEK2,0.75,SHCBP1,0.98539865,False,NEK2,SHCBP1,0.877451,0.870949923992157
CLSPN,0.7352941,SHCBP1,0.98539865,False,CLSPN,SHCBP1,0.89215684,0.870949923992157
SAPCD2,0.7352941,AURKA,0.98539865,False,SAPCD2,AURKA,0.8897059,0.8701329231262207
KIFC1,0.7352941,SHCBP1,0.98539865,False,KIFC1,SHCBP1,0.8897059,0.8701329231262207
KIF11,0.75,SHCBP1,0.98539865,False,KIF11,SHCBP1,0.875,0.8701329231262207
CDKN3,0.75,SHCBP1,0.98539865,False,CDKN3,SHCBP1,0.875,0.8701329231262207
CENPF,0.75,SHCBP1,0.98539865,False,CENPF,SHCBP1,0.875,0.8701329231262207
TPX2,0.7205882,AURKA,0.98539865,False,TPX2,AURKA,0.9019608,0.8693158626556396
FAM72D,0.75,SHCBP1,0.97036463,False,FAM72D,SHCBP1,0.8872549,0.8692064881324768
GTSE1,0.7352941,AURKA,0.98539865,False,GTSE1,AURKA,0.88480395,0.8684988617897034
CDCA2,0.7352941,AURKA,0.98539865,False,CDCA2,AURKA,0.88480395,0.8684988617897034
