"interaction","Kendall","name","NMI","selected","shared interaction","shared name","Spearman","Weight"
"107987206","1.0","6029","1.0","false","107987206","6029","1.0","1.0"
"102724852","1.0","283120","1.0","false","102724852","283120","1.0","1.0"
"344","1.0","100533990","0.983801","false","344","100533990","1.0","0.9946002960205078"
"9055","0.9558824","100507118","1.0","false","9055","100507118","0.99264705","0.9828431010246277"
"1794","0.9264706","2124","1.0","false","1794","2124","0.9852941","0.970588207244873"
"105378179","0.9264706","378706","1.0","false","105378179","378706","0.97794116","0.968137264251709"
"653820","0.9264706","729533","0.98539865","false","653820","729533","0.9877451","0.96653813123703"
"100526825","0.9411765","84182","0.9634854","false","100526825","84182","0.99019605","0.9649526476860046"
"701","0.9117647","51203","1.0","false","701","51203","0.98284316","0.9648692607879639"
"103344718","0.9117647","283120","1.0","false","103344718","283120","0.98039216","0.9640522599220276"
"57082","0.9117647","51203","1.0","false","57082","51203","0.97794116","0.9632351994514465"
"10721","0.9117647","54443","1.0","false","10721","54443","0.9754902","0.962418258190155"
"9833","0.9117647","3619","1.0","false","9833","3619","0.9754902","0.962418258190155"
"728833","0.9117647","64151","0.98539865","false","728833","64151","0.98284316","0.9600021839141846"
"84419","0.9705882","100126311","0.9161209","false","84419","100126311","0.99264705","0.9597854018211365"
"10460","0.9117647","112268460","0.98539865","false","10460","112268460","0.98039216","0.9591851830482483"
"100289137","0.93846154","253650","0.9522031","false","100289137","253650","0.98263025","0.9577649235725403"
"9837","0.89705884","220134","1.0","false","9837","220134","0.9754902","0.9575163722038269"
"55388","0.89705884","78995","1.0","false","55388","78995","0.9705882","0.9558823704719543"
"112267876","0.89705884","283120","1.0","false","112267876","283120","0.96568626","0.9542483687400818"
"942","0.89705884","1230","0.98539865","false","942","1230","0.9754902","0.9526492953300476"
"962","0.88235295","1520","1.0","false","962","1520","0.9730392","0.9517974257469177"
"9824","0.89705884","64151","1.0","false","9824","64151","0.9583333","0.9517974257469177"
"24137","0.88235295","3833","1.0","false","24137","3833","0.9730392","0.9517974257469177"
"5788","0.88235295","2124","1.0","false","5788","2124","0.9705882","0.9509803652763367"
"968","0.88235295","56833","1.0","false","968","56833","0.9705882","0.9509803652763367"
"4288","0.88235295","4001","1.0","false","4288","4001","0.9705882","0.9509803652763367"
"7060","0.88235295","101929215","1.0","false","7060","101929215","0.96813726","0.9501633644104004"
"57082","0.88235295","64151","1.0","false","57082","64151","0.96568626","0.9493463635444641"
"9928","0.88235295","259266","0.98539865","false","9928","259266","0.9730392","0.9469302296638489"
"10051","0.88235295","57082","1.0","false","10051","57082","0.9583333","0.9468954205513"
"219855","0.86764705","8832","1.0","false","219855","8832","0.9730392","0.9468954205513"
"81930","0.86764705","55789","1.0","false","81930","55789","0.9705882","0.9460784792900085"
"55215","0.88235295","990","0.98539865","false","55215","990","0.96813726","0.9452962875366211"
"8832","0.86764705","56833","1.0","false","8832","56833","0.96813726","0.9452614784240723"
