interaction,Kendall,name,NMI,selected,shared interaction,shared name,Spearman,Weight
GAGE12H,1.0,DLX6-AS1,1.0,False,GAGE12H,DLX6-AS1,1.0,1.0
FRGCA,1.0,MCIDAS,1.0,False,FRGCA,MCIDAS,1.0,1.0
ICMT-DT,1.0,MCIDAS,1.0,False,ICMT-DT,MCIDAS,1.0,1.0
TMEM171,1.0,LINC01971,1.0,False,TMEM171,LINC01971,1.0,1.0
RN7SL2,0.98333335,LOC105378179,1.0,False,RN7SL2,LOC105378179,0.9970588,0.9934640526771544
IGF2,0.98333335,INS-IGF2,1.0,False,IGF2,INS-IGF2,0.9970588,0.9934640526771544
RN7SL1,0.96666664,LOC105378179,1.0,False,RN7SL1,LOC105378179,0.9941176,0.986928164958954
THBS4,0.9166667,THBS4-AS1,0.984127,False,THBS4,THBS4-AS1,0.9823529,0.9610488414764404
RNU2-1,0.8833333,LOC105378179,1.0,False,RNU2-1,LOC105378179,0.9647059,0.949346363544464
BIRC5,0.8833333,RRM2,0.984127,False,BIRC5,RRM2,0.9647059,0.9440553784370422
RAB7B,0.8666667,SLC26A9-AS1,1.0,False,RAB7B,SLC26A9-AS1,0.9617647,0.9428104758262634
CCL5,0.8833333,SLAMF7,0.9508197,False,CCL5,SLAMF7,0.9647059,0.9329529404640198
IL2RG,0.85,CD3E,0.984127,False,IL2RG,CD3E,0.9588235,0.9309834837913512
SCARNA5,0.85,LOC105378179,0.984127,False,SCARNA5,LOC105378179,0.9470588,0.9270618557929992
ANLN,0.8666667,CEP55,0.9508197,False,ANLN,CEP55,0.94411767,0.920534610748291
DLGAP5,0.8333333,AURKB,0.9677419,False,DLGAP5,AURKB,0.9529412,0.9180054664611816
IQGAP3,0.8333333,AURKB,0.984127,False,IQGAP3,AURKB,0.9352941,0.9175848364830016
MKI67,0.8333333,AURKB,0.984127,False,MKI67,AURKB,0.93235296,0.916604459285736
IFI30,0.8,TYMP,1.0,False,IFI30,TYMP,0.9382353,0.9127450585365297
E2F1,0.81666666,EPO,0.9677419,False,E2F1,EPO,0.94411767,0.9095087051391602
CDK1,0.81666666,CEP55,0.9677419,False,CDK1,CEP55,0.9382353,0.9075479507446288
COCH,0.8786688,LOC100506071,0.8777288,False,COCH,LOC100506071,0.965416,0.9072712063789368
PBK,0.8,CEP55,0.984127,False,PBK,CEP55,0.9352941,0.906473696231842
HMMR,0.81666666,CEP55,0.9508197,False,HMMR,CEP55,0.95,0.9058287739753724
F2RL2,0.81666666,GTF2A1L,0.9677419,False,F2RL2,GTF2A1L,0.9235294,0.902646005153656
CENPF,0.81666666,RRM2,0.9442873,False,CENPF,RRM2,0.94411767,0.9016904830932616
CENPF,0.81666666,AURKB,0.9442873,False,CENPF,AURKB,0.9411765,0.9007101058959961
ASPM,0.81666666,AURKB,0.9508197,False,ASPM,AURKB,0.92941177,0.8989660143852234
RRM2,0.8,AURKB,0.9677419,False,RRM2,AURKB,0.92058825,0.8961100578308105
P2RY10,0.8451957,SLAMF7,0.8965517,False,P2RY10,SLAMF7,0.9448126,0.8955199718475342
MKI67,0.8,RRM2,0.984127,False,MKI67,RRM2,0.9,0.8947089314460754
CDC20,0.8,AURKB,0.9508197,False,CDC20,AURKB,0.93235296,0.894390881061554
TOP2A,0.78333336,CEP55,0.9677419,False,TOP2A,CEP55,0.9264706,0.892515242099762
RAD51,0.78333336,AURKB,0.9677419,False,RAD51,AURKB,0.9264706,0.892515242099762
NCAPG,0.76666665,RRM2,0.984127,False,NCAPG,RRM2,0.9235294,0.8914410471916199
GIPC3,0.76666665,HOPX,1.0,False,GIPC3,HOPX,0.90588236,0.8908496499061584
SHCBP1,0.78333336,CEP55,0.9677419,False,SHCBP1,CEP55,0.92058825,0.8905544877052307
