interaction,Kendall,name,NMI,selected,shared interaction,shared name,Spearman,Weight
CD3D,0.9558824,CCL5,0.98539865,False,CD3D,CCL5,0.99019605,0.977159023284912
NUSAP1,0.9117647,BUB1B,1.0,False,NUSAP1,BUB1B,0.98284316,0.964869260787964
MIR147B,0.9705882,C15orf48,0.9161209,False,MIR147B,C15orf48,0.99264705,0.9597854018211364
LOC112268460,0.9117647,TACC3,0.98539865,False,LOC112268460,TACC3,0.98039216,0.9591851830482484
FAM95C,0.93846154,ANKRD18A,0.9522031,False,FAM95C,ANKRD18A,0.98263025,0.9577649235725404
BUB1,0.89705884,CKAP2L,1.0,False,BUB1,CKAP2L,0.9754902,0.9575163722038268
HROB,0.89705884,MCM10,1.0,False,HROB,MCM10,0.9705882,0.9558823704719543
CD2,0.9117647,CCL5,0.97036463,False,CD2,CCL5,0.97794116,0.9533568024635316
CDCA2,0.88235295,CKAP2L,1.0,False,CDCA2,CKAP2L,0.9754902,0.9526143670082092
NCAPG,0.89705884,ARHGAP11A,1.0,False,NCAPG,ARHGAP11A,0.9583333,0.9517974257469176
MIR31HG,0.92781705,IFNE,0.94629127,False,MIR31HG,IFNE,0.9789931,0.9510338306427002
THBS4,0.88235295,THBS4-AS1,1.0,False,THBS4,THBS4-AS1,0.96813726,0.9501633644104004
UBASH3A,0.9225155,CCL5,0.9327679,False,UBASH3A,CCL5,0.9797672,0.945016860961914
LINC01583,0.9331953,LOC105370924,0.922679,False,LINC01583,LOC105370924,0.9760432,0.9439725279808044
SGO1-AS1,0.86764705,SGO1,1.0,False,SGO1-AS1,SGO1,0.9607843,0.9428104758262634
LCORL,0.86764705,CDKN3,1.0,False,LCORL,CDKN3,0.95343137,0.9403594136238098
CYTIP,0.86764705,SLAMF8,0.98539865,False,CYTIP,SLAMF8,0.96568626,0.939577341079712
NRN1,0.86764705,LOC105374898,0.98539865,False,NRN1,LOC105374898,0.96568626,0.939577341079712
KNL1,0.85294116,BUB1B,1.0,False,KNL1,BUB1B,0.96568626,0.9395424723625184
SIT1,0.88235295,CCL5,0.97036463,False,SIT1,CCL5,0.96568626,0.9394679665565492
NCAPG,0.86764705,CKAP2L,1.0,False,NCAPG,CKAP2L,0.9485294,0.938725471496582
NCAPG,0.85294116,BUB1B,1.0,False,NCAPG,BUB1B,0.9607843,0.9379084706306458
LMNB1,0.85294116,MELK,1.0,False,LMNB1,MELK,0.9558824,0.936274528503418
APOBEC3B-AS1,0.86764705,APOBEC3B,0.98539865,False,APOBEC3B-AS1,APOBEC3B,0.95343137,0.9354923367500304
TOP2A,0.85294116,CKAP2L,1.0,False,TOP2A,CKAP2L,0.95343137,0.9354575276374816
CDK1,0.85294116,PRC1,1.0,False,CDK1,PRC1,0.95343137,0.9354575276374816
PLK4,0.85294116,MAD2L1,1.0,False,PLK4,MAD2L1,0.95098037,0.9346404671669006
TOP2A,0.85294116,ARHGAP11A,1.0,False,TOP2A,ARHGAP11A,0.9485294,0.9338235259056092
LOC105373581,0.86764705,STEAP3,0.97036463,False,LOC105373581,STEAP3,0.9632353,0.93374902009964
P2RY10,0.87823474,CCL5,0.9489113,False,P2RY10,CCL5,0.9724097,0.9331852793693542
CCL5,0.85294116,GPR174,0.98539865,False,CCL5,GPR174,0.9583333,0.9322243332862854
SLC26A9-AS1,0.85294116,RAB7B,0.9849595,False,SLC26A9-AS1,RAB7B,0.9583333,0.932077944278717
DIAPH3,0.8382353,ARHGAP11A,1.0,False,DIAPH3,ARHGAP11A,0.9558824,0.9313725829124452
NEK2,0.8382353,CKAP2L,1.0,False,NEK2,CKAP2L,0.9558824,0.9313725829124452
NUF2,0.85294116,NEIL3,0.98539865,False,NUF2,NEIL3,0.95343137,0.9305903911590576
CCNB2,0.8382353,SGO1,1.0,False,CCNB2,SGO1,0.95343137,0.9305555820465088
CD52,0.8382353,CCL5,1.0,False,CD52,CCL5,0.95098037,0.9297385811805724
KNL1,0.8382353,ARHGAP11A,1.0,False,KNL1,ARHGAP11A,0.95098037,0.9297385811805724
ANLN,0.85294116,NEIL3,0.98539865,False,ANLN,NEIL3,0.9485294,0.9289564490318298
CENPF,0.8382353,ARHGAP11A,1.0,False,CENPF,ARHGAP11A,0.9485294,0.928921639919281
UHRF1,0.8382353,MAD2L1,1.0,False,UHRF1,MAD2L1,0.9485294,0.928921639919281
ESCO2,0.8382353,CKAP2L,1.0,False,ESCO2,CKAP2L,0.9460784,0.9281045794487
FAM72B,0.8382353,BUB1B,0.98539865,False,FAM72B,BUB1B,0.95343137,0.9256884455680848
CDCA5,0.8382353,CENPM,0.98539865,False,CDCA5,CENPM,0.95343137,0.9256884455680848
ADM2,0.88235295,MIOX,0.93891907,False,ADM2,MIOX,0.95343137,0.9249011874198914
TTK,0.8382353,MELK,1.0,False,TTK,MELK,0.9362745,0.9248366355895996
ERCC6L,0.8382353,MELK,1.0,False,ERCC6L,MELK,0.9338235,0.9240196347236632
CD5,0.8487143,CCL5,0.97036463,False,CD5,CCL5,0.9527899,0.9239562153816224
FAM72D,0.8382353,ARHGAP11A,0.98539865,False,FAM72D,ARHGAP11A,0.9460784,0.9232375025749208
SP140,0.8235294,CCL5,1.0,False,SP140,CCL5,0.9460784,0.9232026934623718
IL2RG,0.8382353,CCL5,1.0,False,IL2RG,CCL5,0.9289216,0.9223856925964355
CD8B,0.85294116,CCL5,0.97036463,False,CD8B,CCL5,0.9436275,0.9223111271858216
SLAMF7,0.8382353,GPR174,0.98539865,False,SLAMF7,GPR174,0.9411765,0.9216034412384032
WDR76,0.8235294,BUB1B,1.0,False,WDR76,BUB1B,0.9411765,0.9215686321258544
PLK4,0.8235294,MELK,1.0,False,PLK4,MELK,0.9411765,0.9215686321258544
NCAPH,0.8235294,KIF11,1.0,False,NCAPH,KIF11,0.9411765,0.9215686321258544
CD3D,0.8382353,GPR174,0.97036463,False,CD3D,GPR174,0.9558824,0.9214940667152404
