interaction;name
GAGE12H;DLX6-AS1
FRGCA;ICMT-DT
TMEM171;LINC01971
MCIDAS;ICMT-DT
C4orf19;COL27A1
AURKB;MKI67
CEP55;PBK
ITGAL;EOMES
SLAMF7;P2RY10
RRM2;MKI67
CDC20;MKI67
RSAD2;IFI44
CSAG3;LOC105372115
ASPM;MKI67
ARL6IP1;TFDP1
PTTG1;MKI67
MMP9;SLC12A5-AS1
DLGAP5;MKI67
LIG1;SEC31B
CD8A;EVI2B
HMMR;PBK
LCK;P2RY10
RAD51;MKI67
SP140;P2RY10
CEMIP2;ZDHHC13
KIF4A;PBK
NUSAP1;MELK
C1QB;JAK3
APOC4-APOC2;APOC2
OGFRP1;LOC105374986
ARMC9;HOXD3
TACC1;PILRA
CCNB2;MKI67
LOC105375027;LINC01016
IGF1;MKI67
CENPF;MKI67
CCL5;P2RY10
LOC105374986;SLC26A9
MTFP1;SYTL3
TOP2A;PBK
CD48;P2RY10
RMI1;TFDP1
MAST4;LOC101929657
USP1;MZT1
CA12;LINC01016
IL2RG;DENND2D
CEP55;MELK
H3C14;HTR1D
BUB1;MELK
ARHGAP30;DOCK2
TK1;MKI67
FMNL1;DENND2D
LOC100129455;BCAR3
LOC107985492;LUCAT1
IQGAP3;MKI67
ARL4C;ST6GALNAC5
CD3E;DENND2D
WWC3;BCAR3
SASH3;DENND2D
RN7SL1;TFDP1
C6orf141;LOC105377402
IL2RB;P2RY10
P3H2;DRD2
KIF18B;MKI67
WFS1;LOC101929657
ADAM19;HOXD3
UHRF1;PBK
NRIP2;JAK3
BIRC5;MKI67
ITGAL;DENND2D
GPR22;HOXD3
SH3BGRL3;RFC3
EZR;SYTL3
CENPF;PBK
IGFBP4;ZDHHC13
SLC26A9-AS1;BCAR3
CRTAM;SLAMF8
CDCA5;MKI67
CDK2;TFDP1
HGF;LINC01016
SKA2;TFDP1
ESCO2;PBK
ATP8B4;LOC101929657
NUF2;MELK
RUNX3;EOMES
CD274;C1GALT1
LPAR2;JAK3
BST2;IRF7
KIF22;TFDP1
COL4A5;CLHC1
LOC105378179;TFDP1
TCF21;HOXD3
FBXO5;MZT1
APOL6;E2F3
SRL;HOXD4
CDC25C;MKI67
TPD52;TIFA
RAC2;DENND2D
LSP1;PILRA
ANLN;MELK
RAD51AP1;MZT1
BATF;JAK3
SPN;EOMES
TRAF3IP3;P2RY10
LOC107984131;TFDP1
ITK;EVI2B
DENND2D;SLAMF8
MZT1;PAX6
DIPK2B;LOC102723996
EFCC1;LOC102723996
CORO1A;DENND2D
MT2A;RFC3
RGMB;HOXD4
ITGAL;P2RY10
CD5;EOMES
CIAO2A;MZT1
IL12RB1;DENND2D
LOC107984763;LPAR3
GINS2;DRD2
CDK1;PBK
CENPM;DRD2
RIN1;PILRA
SKA1;MELK
RRM2;PBK
IL2RG;P2RY10
IL33;MZT1
FEN1;IGFBP4
GMIP;DDIAS
HAUS8;ALYREF
IL33;RFC3
CBR3;CLHC1
MSC;MSC-AS1
SASH3;SLAMF8
UPP1;SYTL3
SLC29A2;LOC102723996
C21orf58;CEP15
BOK;C1GALT1
TRNV;ECM1
RN7SL2;TFDP1
ECT2;TFDP1
FBXO5;RFC3
TAP1;BATF
RIN1;STAC3
LOC101928202;DDIAS
BIRC5;PBK
SLC29A2;SYTL3
TMEM107;TFDP1
CDKN2B;HOXD4
NCAPG;MKI67
CACNA2D4;TRPV2
NUDT8;SYTL3
P3H2-AS1;DRD2
RANGAP1;MZT1
PTCHD4;HOXD4
IFI44;CHAF1B
CD96;EOMES
CENPN-AS1;MKI67
HJURP;PBK
ASRGL1;RGS1
GFI1;C1GALT1
NEK2;PBK
MIR4435-2HG;MMP1
APOL6;APLP1
FMNL1;CENPH
SAMD5;BCAR3
SUV39H1;C1GALT1
DOP1B;HOXD3
SYTL3;RFC3
RGS16;MCM2
SPN;P2RY10
CCR5;DENND2D
SKA1;PBK
LYZ;VSTM4
CEP55;GASK1B
NHSL3;HOXD4
TAGLN2;KLHDC7B-DT
KRT8;TRPV2
IL2RG;EOMES
TROAP;MKI67
EZR;HOXD4
SHCBP1;MELK
KIFC2;SYTL3
LOC100129455;HOXD3
SASH3;P2RY10
RANBP1;ALYREF
GLRA4;NEFL
UHRF1;MELK
SKA3;PBK
OAS2;IFI44
SLC25A10;SYTL3
RAB42;PBK
DAPP1;JAK3
HMMR;GASK1B
PEG3;CLHC1
SHCBP1;PBK
POLE2;BCAR3
CXCL16;BCAR3
SP140;EOMES
ITGAX;EOMES
HAUS8;LINC00472
LOC107984886;CLHC1
CD8A;E2F3
RAB7B;BCAR3
NCAPH;MELK
SVIP;DRD2
CD8B;EVI2B
ACAN;MIR675
KYNU;EIF4EBP1
DOP1B;HOXD4
NUF2;PBK
ETV1;TUBB4B
ANP32E;PAX6
HMMR;MELK
OASL;P2RY10
RIPK2;IGFBP4
MAP4K1;DENND2D
PSD4;EOMES
MAD2L1;MZT1
TPX2;MKI67
HSD11B2;COL27A1
CKS1B;ZDHHC13
CDK1;GASK1B
CASP1;IFI44
SHCBP1;MKI67
C6orf141;MSC-AS1
TYMP;JAK3
EPM2A;CEP15
LDHA;ZNF114
MND1;ETV7
CD96;P2RY10
TRAF3IP3;EOMES
FOXH1;TFDP1
SPAG5;MKI67
LSP1;ECM1
LOC105374898;PSRC1
IL2RB;DENND2D
RNU2-1;TFDP1
CKAP2;TFDP1
ATP6V0E2;LEFTY2
BUB1B;HOXD3
CXCR6;TMEM108
TRAF3IP3;DENND2D
CD3E;EOMES
ANLN;PBK
NXT2;MZT1
AURKB;PBK
TICRR;IFI44
CCR1;IFI44
GZMA;P2RY10
JCHAIN;P2RY10
RAET1K;LUCAT1
JAZF1-AS1;LOC101929657
NCAPH;GASK1B
PCK2;IGFBPL1
DTNB;SYTL3
LOC401021;ZDHHC13
RAC2;P2RY10
CXCL9;P2RY10
CD3D;P2RY10
CTSW;CCL5
IQGAP3;MELK
LAPTM5;BATF
LOC401021;HOXD3
CCNB2;PBK
SAMSN1;RFC3
KCNK6;LINC01016
MAST4;OLFML2B
TOP3A;GASK1B
RUNX3;P2RY10
RRM2;MELK
ZNF267;ALYREF
RYR3;HOXD4
ETV4;MMP1
KIF4A;MKI67
BEGAIN;DDIAS
RAD54L;ALYREF
STMN2;JAK3
FOXP4-AS1;BCAR3
ZBP1;EVI2B
IL33;PAX6
ANP32E;MZT1
TFEC;RFC3
S100A3;ASB5
LAMB3;PAX6
CBR3;RFC3
CTSS;IFI44
WNT2B;MSC-AS1
ICAM1;CENPH
RIPK2;ZDHHC13
HSD11B2;HOXD4
PTPRC;EVI2B
THRIL;HOXD3
LOC101928658;JAK3
CDT1;DRD2
IFI44L;IFI44
LCK;EOMES
PDK1;SIGLEC7
SMC2;ASB5
GBP5;DENND2D
RAC2;EOMES
CLHC1;HOXD4
GALNT6;LOC102723996
SAP30;BCAR3
HAVCR2;JAK3
GPR174;CCL5
BST1;MSC-AS1
APOC1;SBK1
ALX4;JAK3
PYHIN1;P2RY10
LOC105373150;LUARIS
IL33;TFDP1
GPR183;E2F3
MTFP1;RFC3
SPDYE2B;PAX6
SLC20A1;SYTL3
SH3BGRL3;CLHC1
MIR100HG;TRPV2
CTSZ;RFC3
MATK;DENND2D
NDRG2;RFC3
SIRPG;DENND2D
PLEK;DOCK2
ISOC1;CLHC1
KRT8;PAX6
PCK2;JAK3
UPP1;RFC3
BARD1;MZT1
SPC25;MKI67
RGS1;CXCR4
PSRC1;CHAF1B
ARMC9;SLC12A5-AS1
