GEN1,GEN2
BRCA2,TOP2A
BRCA2,STIL
BRCA2,ZNF367
BRCA2,FAM72D
BRCA2,HMMR-AS1
BRCA2,DEPDC1-AS1
BRCA2,RN7SL2
BRCA2,PLK4
BRCA2,FAM83D
BRCA2,GPR61
BRCA2,CENPE
BRCA2,PRC1
BRCA2,CCND2
BRCA2,PBK
BRCA2,NCAPG2
BRCA2,FANCD2OS
BRCA2,KIF18B
BRCA2,NUF2
BRCA2,RNU2-1
BRCA2,NSD2
BRCA2,BDKRB1
BRCA2,NEIL3
BRCA2,ESCO2
BRCA2,ANLN
BRCA2,NCAPG
BRCA2,LOC105378179
BRCA2,TRIM59
BRCA2,PITX1
BRCA2,CDCA8
BRCA2,IQGAP3
BRCA2,MYBL1
BRCA2,ATAD2
BRCA2,ARHGAP11B
BRCA2,AKR1C2
BRCA2,CDK1
BRCA2,HMGB2
BRCA2,CENPH
BRCA2,CENPK
BRCA2,PRC1-AS1
BRCA2,CDKN2B-AS1
BRCA2,SLC7A5
BRCA2,HASPIN
BRCA2,POLQ
BRCA2,LOC100288637
BRCA2,CLGN
TOP2A,BUB1
TOP2A,STIL
TOP2A,BUB1B-PAK6
TOP2A,SKA1
TOP2A,PBK
BUB1B-PAK6,KIF4A
BUB1B-PAK6,CDKN2B-AS1
BUB1B-PAK6,GTSE1
BUB1B-PAK6,KCNMB2
BUB1B-PAK6,OIP5
BUB1B-PAK6,DEPDC1B
BUB1B-PAK6,ASF1B
BUB1B-PAK6,FAM72C
BUB1B-PAK6,LCORL
BUB1B-PAK6,KIF20A
BUB1B-PAK6,NEK2
BUB1B-PAK6,LOC105370705
BUB1B-PAK6,FOXE3
BUB1B-PAK6,PRC1
BUB1B-PAK6,ANLN
BUB1B-PAK6,CCND2
BUB1B-PAK6,RDM1
BUB1B-PAK6,NCAPG
BUB1B-PAK6,CAMK2N2
BUB1B-PAK6,NUSAP1
BUB1B-PAK6,GAS2L3
BUB1B-PAK6,NCAPG2
BUB1B-PAK6,CDKN3
BUB1B-PAK6,CDCA8
BUB1B-PAK6,PMAIP1
BUB1B-PAK6,ATAD2
BUB1B-PAK6,FAM72B
BUB1B-PAK6,NUF2
BUB1B-PAK6,CKAP2L
BUB1B-PAK6,KIF18B
BUB1B-PAK6,WDR62
BUB1B-PAK6,NSD2
BUB1B-PAK6,SACS-AS1
BUB1B-PAK6,TPX2
BUB1B-PAK6,EP300-AS1
BUB1B-PAK6,NEIL3
BUB1B-PAK6,BUB1B
BUB1B-PAK6,E2F8
BUB1B-PAK6,TTK
BUB1B-PAK6,ARHGAP11A
BUB1B-PAK6,WDR76
BUB1B-PAK6,SYT4
BUB1B-PAK6,TCF19
BUB1B-PAK6,KIF15
BUB1B-PAK6,CENPF
BUB1B-PAK6,F2RL2
BUB1B-PAK6,ZNF367
BUB1B-PAK6,EZH2
BUB1B-PAK6,FAM72D
BUB1B-PAK6,RAD51AP1
BUB1B-PAK6,ENHO
BUB1B-PAK6,PAQR4
BUB1B-PAK6,IQGAP3
BUB1B-PAK6,CDKN2A-AS1
BUB1B-PAK6,ARHGAP11B
BUB1B-PAK6,CDK1
BUB1B-PAK6,HMGB2
BUB1B-PAK6,CENPK
BUB1B-PAK6,PRRG4
BUB1B-PAK6,PRC1-AS1
BUB1B-PAK6,SOCS2-AS1
BUB1B-PAK6,FAM72A
BUB1B-PAK6,FANCD2
BUB1B-PAK6,CLSPN
BUB1B-PAK6,DCST1-AS1
BUB1B-PAK6,IL37
BUB1B-PAK6,LOC100288637
BUB1B-PAK6,LHX2
BUB1B-PAK6,CLGN
BUB1B-PAK6,CKS2
BUB1B-PAK6,DRAXIN
BUB1B-PAK6,STIL
BUB1B-PAK6,KNL1
BUB1B-PAK6,FAM111B
BUB1B-PAK6,PBK
BUB1B-PAK6,FBXO43
BUB1B-PAK6,MCM2
BUB1B-PAK6,ZWINT
BUB1B-PAK6,DEPDC1
KIF4A,PNPLA3
KIF4A,SKA1
KIF4A,HROB
