"interaction","name","selected","shared interaction","shared name"
"interacts with","KCNMB2 (interacts with) LOC105370337","false","interacts with","KCNMB2 (interacts with) LOC105370337"
"interacts with","KCNMB2 (interacts with) STIL","false","interacts with","KCNMB2 (interacts with) STIL"
"interacts with","KCNMB2 (interacts with) E2F8","false","interacts with","KCNMB2 (interacts with) E2F8"
"interacts with","KCNMB2 (interacts with) EZH2","false","interacts with","KCNMB2 (interacts with) EZH2"
"interacts with","KCNMB2 (interacts with) CDKN2B-AS1","false","interacts with","KCNMB2 (interacts with) CDKN2B-AS1"
"interacts with","KCNMB2 (interacts with) ASF1B","false","interacts with","KCNMB2 (interacts with) ASF1B"
"interacts with","KCNMB2 (interacts with) CDK2","false","interacts with","KCNMB2 (interacts with) CDK2"
"interacts with","KCNMB2 (interacts with) TOP2A","false","interacts with","KCNMB2 (interacts with) TOP2A"
"interacts with","KCNMB2 (interacts with) NUF2","false","interacts with","KCNMB2 (interacts with) NUF2"
"interacts with","KCNMB2 (interacts with) LHX2","false","interacts with","KCNMB2 (interacts with) LHX2"
"interacts with","KCNMB2 (interacts with) CCDC18","false","interacts with","KCNMB2 (interacts with) CCDC18"
"interacts with","KCNMB2 (interacts with) ATAD5","false","interacts with","KCNMB2 (interacts with) ATAD5"
"interacts with","KCNMB2 (interacts with) EP300-AS1","false","interacts with","KCNMB2 (interacts with) EP300-AS1"
"interacts with","KCNMB2 (interacts with) E2F1","false","interacts with","KCNMB2 (interacts with) E2F1"
"interacts with","KCNMB2 (interacts with) ARHGAP11A","false","interacts with","KCNMB2 (interacts with) ARHGAP11A"
"interacts with","KCNMB2 (interacts with) CDCA8","false","interacts with","KCNMB2 (interacts with) CDCA8"
"interacts with","KCNMB2 (interacts with) WDR76","false","interacts with","KCNMB2 (interacts with) WDR76"
"interacts with","KCNMB2 (interacts with) NEIL3","false","interacts with","KCNMB2 (interacts with) NEIL3"
"interacts with","KCNMB2 (interacts with) MIR3198-2","false","interacts with","KCNMB2 (interacts with) MIR3198-2"
"interacts with","KCNMB2 (interacts with) BUB1B","false","interacts with","KCNMB2 (interacts with) BUB1B"
"interacts with","KCNMB2 (interacts with) SMCO3","false","interacts with","KCNMB2 (interacts with) SMCO3"
"interacts with","KCNMB2 (interacts with) IGFBPL1","false","interacts with","KCNMB2 (interacts with) IGFBPL1"
"interacts with","KCNMB2 (interacts with) TMEM106C","false","interacts with","KCNMB2 (interacts with) TMEM106C"
"interacts with","KCNMB2 (interacts with) TBX18","false","interacts with","KCNMB2 (interacts with) TBX18"
"interacts with","KCNMB2 (interacts with) MCM2","false","interacts with","KCNMB2 (interacts with) MCM2"
"interacts with","KCNMB2 (interacts with) CKS2","false","interacts with","KCNMB2 (interacts with) CKS2"
"interacts with","KCNMB2 (interacts with) KIF20A","false","interacts with","KCNMB2 (interacts with) KIF20A"
"interacts with","KCNMB2 (interacts with) FAM111B","false","interacts with","KCNMB2 (interacts with) FAM111B"
"interacts with","KCNMB2 (interacts with) ZNF367","false","interacts with","KCNMB2 (interacts with) ZNF367"
"interacts with","KCNMB2 (interacts with) TMPO-AS1","false","interacts with","KCNMB2 (interacts with) TMPO-AS1"
"interacts with","KCNMB2 (interacts with) WDR62","false","interacts with","KCNMB2 (interacts with) WDR62"
"interacts with","KCNMB2 (interacts with) KIF18B","false","interacts with","KCNMB2 (interacts with) KIF18B"
"interacts with","KCNMB2 (interacts with) CDC7","false","interacts with","KCNMB2 (interacts with) CDC7"
"interacts with","KCNMB2 (interacts with) TMEM201","false","interacts with","KCNMB2 (interacts with) TMEM201"
"interacts with","KCNMB2 (interacts with) FANCD2","false","interacts with","KCNMB2 (interacts with) FANCD2"
"interacts with","KCNMB2 (interacts with) LOC107986126","false","interacts with","KCNMB2 (interacts with) LOC107986126"
"interacts with","KCNMB2 (interacts with) NCAPG","false","interacts with","KCNMB2 (interacts with) NCAPG"
"interacts with","KCNMB2 (interacts with) CENPE","false","interacts with","KCNMB2 (interacts with) CENPE"
"interacts with","KCNMB2 (interacts with) NCAPG2","false","interacts with","KCNMB2 (interacts with) NCAPG2"
"interacts with","KCNMB2 (interacts with) LOC100288637","false","interacts with","KCNMB2 (interacts with) LOC100288637"
"interacts with","KCNMB2 (interacts with) NUSAP1","false","interacts with","KCNMB2 (interacts with) NUSAP1"
"interacts with","KCNMB2 (interacts with) NSD2","false","interacts with","KCNMB2 (interacts with) NSD2"
"interacts with","KCNMB2 (interacts with) CENPF","false","interacts with","KCNMB2 (interacts with) CENPF"
"interacts with","KCNMB2 (interacts with) CDCA7L","false","interacts with","KCNMB2 (interacts with) CDCA7L"
"interacts with","KCNMB2 (interacts with) PRC1-AS1","false","interacts with","KCNMB2 (interacts with) PRC1-AS1"
"interacts with","KCNMB2 (interacts with) DEPDC1","false","interacts with","KCNMB2 (interacts with) DEPDC1"
"interacts with","KCNMB2 (interacts with) PRC1","false","interacts with","KCNMB2 (interacts with) PRC1"
"interacts with","KCNMB2 (interacts with) ATP6V0E2","false","interacts with","KCNMB2 (interacts with) ATP6V0E2"
"interacts with","KCNMB2 (interacts with) BRIP1","false","interacts with","KCNMB2 (interacts with) BRIP1"
"interacts with","KCNMB2 (interacts with) PTEN","false","interacts with","KCNMB2 (interacts with) PTEN"
"interacts with","KCNMB2 (interacts with) CELSR3","false","interacts with","KCNMB2 (interacts with) CELSR3"
"interacts with","KCNMB2 (interacts with) KNL1","false","interacts with","KCNMB2 (interacts with) KNL1"
"interacts with","KCNMB2 (interacts with) ESPL1","false","interacts with","KCNMB2 (interacts with) ESPL1"
"interacts with","KCNMB2 (interacts with) CCND2","false","interacts with","KCNMB2 (interacts with) CCND2"
"interacts with","KCNMB2 (interacts with) LRRC37A8P","false","interacts with","KCNMB2 (interacts with) LRRC37A8P"
"interacts with","KCNMB2 (interacts with) FBXO5","false","interacts with","KCNMB2 (interacts with) FBXO5"
"interacts with","KCNMB2 (interacts with) CENPU","false","interacts with","KCNMB2 (interacts with) CENPU"
"interacts with","KCNMB2 (interacts with) CDK1","false","interacts with","KCNMB2 (interacts with) CDK1"
"interacts with","KCNMB2 (interacts with) BUB1B-PAK6","false","interacts with","KCNMB2 (interacts with) BUB1B-PAK6"
"interacts with","KCNMB2 (interacts with) CHAF1A","false","interacts with","KCNMB2 (interacts with) CHAF1A"
"interacts with","KCNMB2 (interacts with) MND1","false","interacts with","KCNMB2 (interacts with) MND1"
"interacts with","KCNMB2 (interacts with) GASK1B","false","interacts with","KCNMB2 (interacts with) GASK1B"
"interacts with","KCNMB2 (interacts with) TFDP1","false","interacts with","KCNMB2 (interacts with) TFDP1"
"interacts with","KCNMB2 (interacts with) ANLN","false","interacts with","KCNMB2 (interacts with) ANLN"
"interacts with","KCNMB2 (interacts with) CKAP2L","false","interacts with","KCNMB2 (interacts with) CKAP2L"
"interacts with","KCNMB2 (interacts with) C5orf34","false","interacts with","KCNMB2 (interacts with) C5orf34"
"interacts with","KCNMB2 (interacts with) ATAD2","false","interacts with","KCNMB2 (interacts with) ATAD2"
"interacts with","KCNMB2 (interacts with) SMC2","false","interacts with","KCNMB2 (interacts with) SMC2"
"interacts with","KCNMB2 (interacts with) TIMELESS","false","interacts with","KCNMB2 (interacts with) TIMELESS"
"interacts with","KCNMB2 (interacts with) POLQ","false","interacts with","KCNMB2 (interacts with) POLQ"
"interacts with","KCNMB2 (interacts with) DSN1","false","interacts with","KCNMB2 (interacts with) DSN1"
"interacts with","KCNMB2 (interacts with) PCDHAC1","false","interacts with","KCNMB2 (interacts with) PCDHAC1"
"interacts with","KCNMB2 (interacts with) MMS22L","false","interacts with","KCNMB2 (interacts with) MMS22L"
"interacts with","KCNMB2 (interacts with) DNMT1","false","interacts with","KCNMB2 (interacts with) DNMT1"
"interacts with","KCNMB2 (interacts with) PSRC1","false","interacts with","KCNMB2 (interacts with) PSRC1"
"interacts with","KCNMB2 (interacts with) IQGAP3","false","interacts with","KCNMB2 (interacts with) IQGAP3"
"interacts with","KCNMB2 (interacts with) EMC3-AS1","false","interacts with","KCNMB2 (interacts with) EMC3-AS1"
