"__glayCluster","name","selected","shared name"
"12","BRCA2","false","BRCA2"
"12","TOP2A","false","TOP2A"
"12","STIL","false","STIL"
"12","ZNF367","false","ZNF367"
"12","FAM72D","false","FAM72D"
"12","HMMR-AS1","false","HMMR-AS1"
"12","DEPDC1-AS1","false","DEPDC1-AS1"
"15","RN7SL2","false","RN7SL2"
"12","PLK4","false","PLK4"
"12","FAM83D","false","FAM83D"
"25","GPR61","false","GPR61"
"12","CENPE","false","CENPE"
"12","PRC1","false","PRC1"
"12","CCND2","false","CCND2"
"12","PBK","false","PBK"
"12","NCAPG2","false","NCAPG2"
"12","FANCD2OS","false","FANCD2OS"
"12","KIF18B","false","KIF18B"
"12","NUF2","false","NUF2"
"15","RNU2-1","false","RNU2-1"
"12","NSD2","false","NSD2"
"13","BDKRB1","false","BDKRB1"
"12","NEIL3","false","NEIL3"
"12","ESCO2","false","ESCO2"
"12","ANLN","false","ANLN"
"12","NCAPG","false","NCAPG"
"15","LOC105378179","false","LOC105378179"
"12","TRIM59","false","TRIM59"
"34","PITX1","false","PITX1"
"12","CDCA8","false","CDCA8"
"12","IQGAP3","false","IQGAP3"
"12","MYBL1","false","MYBL1"
"12","ATAD2","false","ATAD2"
"12","ARHGAP11B","false","ARHGAP11B"
"12","AKR1C2","false","AKR1C2"
"12","CDK1","false","CDK1"
"12","HMGB2","false","HMGB2"
"12","CENPH","false","CENPH"
"12","CENPK","false","CENPK"
"12","PRC1-AS1","false","PRC1-AS1"
"13","CDKN2B-AS1","false","CDKN2B-AS1"
"12","SLC7A5","false","SLC7A5"
"12","HASPIN","false","HASPIN"
"12","POLQ","false","POLQ"
"12","LOC100288637","false","LOC100288637"
"12","CLGN","false","CLGN"
"12","BUB1","false","BUB1"
"12","BUB1B-PAK6","false","BUB1B-PAK6"
"12","SKA1","false","SKA1"
"12","KIF4A","false","KIF4A"
"12","GTSE1","false","GTSE1"
"12","KCNMB2","false","KCNMB2"
"12","OIP5","false","OIP5"
"12","DEPDC1B","false","DEPDC1B"
"12","ASF1B","false","ASF1B"
"12","FAM72C","false","FAM72C"
"12","LCORL","false","LCORL"
"12","KIF20A","false","KIF20A"
"12","NEK2","false","NEK2"
"12","LOC105370705","false","LOC105370705"
"12","FOXE3","false","FOXE3"
"12","RDM1","false","RDM1"
"26","CAMK2N2","false","CAMK2N2"
"12","NUSAP1","false","NUSAP1"
"12","GAS2L3","false","GAS2L3"
"12","CDKN3","false","CDKN3"
"12","PMAIP1","false","PMAIP1"
"12","FAM72B","false","FAM72B"
"12","CKAP2L","false","CKAP2L"
"12","WDR62","false","WDR62"
"19","SACS-AS1","false","SACS-AS1"
"12","TPX2","false","TPX2"
"12","EP300-AS1","false","EP300-AS1"
"12","BUB1B","false","BUB1B"
"12","E2F8","false","E2F8"
"12","TTK","false","TTK"
"12","ARHGAP11A","false","ARHGAP11A"
"12","WDR76","false","WDR76"
"13","SYT4","false","SYT4"
"12","TCF19","false","TCF19"
"12","KIF15","false","KIF15"
"12","CENPF","false","CENPF"
"12","F2RL2","false","F2RL2"
"12","EZH2","false","EZH2"
"12","RAD51AP1","false","RAD51AP1"
"13","ENHO","false","ENHO"
"12","PAQR4","false","PAQR4"
"13","CDKN2A-AS1","false","CDKN2A-AS1"
"12","PRRG4","false","PRRG4"
"12","SOCS2-AS1","false","SOCS2-AS1"
"12","FAM72A","false","FAM72A"
"12","FANCD2","false","FANCD2"
"12","CLSPN","false","CLSPN"
