"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0009306","protein secretion","14/126","368/18870",1.72036788902282e-07,0.000140393066542969,0.000119719961994588,"3783/5798/55240/54209/8622/6865/111/594855/3557/2696/84830/1813/4825/1946",14
"BP","GO:0035592","establishment of protein localization to extracellular region","14/126","369/18870",1.77822521652915e-07,0.000140393066542969,0.000119719961994588,"3783/5798/55240/54209/8622/6865/111/594855/3557/2696/84830/1813/4825/1946",14
"BP","GO:0015833","peptide transport","12/126","262/18870",1.9126244594109e-07,0.000140393066542969,0.000119719961994588,"5798/760/8622/6865/111/594855/3557/2696/338557/1813/4825/1946",12
"BP","GO:0071692","protein localization to extracellular region","14/126","377/18870",2.30814741542078e-07,0.000140393066542969,0.000119719961994588,"3783/5798/55240/54209/8622/6865/111/594855/3557/2696/84830/1813/4825/1946",14
"BP","GO:0030072","peptide hormone secretion","11/126","241/18870",6.55965699584453e-07,0.000279197485259303,0.000238085207106707,"5798/8622/6865/111/594855/3557/2696/338557/1813/4825/1946",11
"BP","GO:0042886","amide transport","13/126","354/18870",7.25079396837423e-07,0.000279197485259303,0.000238085207106707,"5798/760/8622/6865/111/594855/3557/2696/366/338557/1813/4825/1946",13
"BP","GO:0002790","peptide secretion","11/126","246/18870",8.03280886483816e-07,0.000279197485259303,0.000238085207106707,"5798/8622/6865/111/594855/3557/2696/338557/1813/4825/1946",11
"BP","GO:0046879","hormone secretion","12/126","308/18870",1.06972472511453e-06,0.000325330032025457,0.000277424662263256,"5798/5008/8622/6865/111/594855/3557/2696/338557/1813/4825/1946",12
"BP","GO:0009914","hormone transport","12/126","319/18870",1.5438985550611e-06,0.000417367242718184,0.000355909245850927,"5798/5008/8622/6865/111/594855/3557/2696/338557/1813/4825/1946",12
"BP","GO:0030073","insulin secretion","9/126","199/18870",7.65628830769826e-06,0.00186277494526299,0.00158847834257613,"5798/8622/111/594855/3557/2696/1813/4825/1946",9
"BP","GO:0034284","response to monosaccharide","9/126","206/18870",1.01139368634316e-05,0.00213168341041643,0.00181778960431383,"5798/54209/860/8622/111/2696/4825/5080/1946",9
"BP","GO:0001678","intracellular glucose homeostasis","8/126","157/18870",1.05138515926828e-05,0.00213168341041643,0.00181778960431383,"5798/54209/8622/111/4825/3099/5080/1946",8
"BP","GO:0023061","signal release","13/126","484/18870",2.16543554890137e-05,0.00405269591575157,0.00345592993270008,"5798/5008/8622/6865/111/594855/55784/3557/2696/338557/1813/4825/1946",13
"BP","GO:0009743","response to carbohydrate","9/126","230/18870",2.43011806978097e-05,0.00422319804555506,0.00360132535002878,"5798/54209/860/8622/111/2696/4825/5080/1946",9
"BP","GO:0071333","cellular response to glucose stimulus","7/126","136/18870",3.58091309738543e-05,0.00574629453233816,0.00490014343272914,"5798/54209/8622/111/4825/5080/1946",7
"BP","GO:0071331","cellular response to hexose stimulus","7/126","138/18870",3.93188451226679e-05,0.00574629453233816,0.00490014343272914,"5798/54209/8622/111/4825/5080/1946",7
"BP","GO:0071326","cellular response to monosaccharide stimulus","7/126","140/18870",4.31062771485011e-05,0.00574629453233816,0.00490014343272914,"5798/54209/8622/111/4825/5080/1946",7
